Species	Strain	Source_ID	Temp
Salmonella enterica subsp. enterica serotype oranienburg	9087 (K 42)	NCTC 5743	37
Salmonella enterica subsp. enterica serotype potsdam	5744 K43 (9781) 6, 7:l, v:e, n, z15	NCTC 5744	37
Salmonella enterica subsp. enterica serotype bareilly	5745 3213 (K 44) 6, 7:y:1. 5	NCTC 5745	37
Salmonella enterica subsp. enterica serotype mikawasima	56 (K 45)	NCTC 5746	37
Salmonella enterica subsp. enterica serotype montevideo	623 (K 46)	NCTC 5747	37
Salmonella enterica subsp. enterica serotype oslo	K 47	NCTC 5748	37
Salmonella enterica subsp. enterica serotype amersfoort	5749 K 48 6, 7:d:e, n, x	NCTC 5749	37
Salmonella enterica subsp. enterica serotype braenderup	3022 (K 49)	NCTC 5750	37
Salmonella enterica subsp. enterica serotype newport	563 (K 50)	NCTC 5751	37
Salmonella enterica subsp. enterica serotype newport	K 51	NCTC 5752	37
Salmonella enterica subsp. enterica serotype kottbus	5753 4179 (K 52) 6, 8:e, h:1, 5	NCTC 5753	37
Salmonella enterica subsp. enterica serotype bovis-morbificans	3640 (K 53)	NCTC 5754	37
Salmonella enterica subsp. enterica serotype muenchen	K 54	NCTC 5755	37
Salmonella enterica subsp. enterica serotype narashino	5756 K 55 6, 8:a:e, n, x	NCTC 5756	37
Salmonella enterica subsp. enterica serotype glostrup	4324 (K 56)	NCTC 5757	37
Salmonella enterica subsp. enterica serotype typhi	2 V (K59)	NCTC 5760	37
Salmonella enterica subsp. enterica serotype typhi	Watson Vi (K60)	NCTC 5761	37
Salmonella enterica subsp. enterica serotype typhi	R 2 rough (K63)	NCTC 5764	37
Salmonella enterica subsp. enterica serotype enteritidis	1891 (K64)	NCTC 5765	37
Salmonella enterica subsp. enterica serotype rostock	K 66	NCTC 5767	37
Salmonella enterica subsp. enterica serotype blegdam	22 (K 68)	NCTC 5769	37
Salmonella enterica subsp. enterica serotype berta	K 69	NCTC 5770	37
Salmonella enterica subsp. enterica serotype eastbourne	5771 K 70 9, 12:e, h:1, 5	NCTC 5771	37
Salmonella enterica subsp. enterica serotype sendai	571 (K 71)	NCTC 5772	37
Salmonella enterica subsp. salamae serotype dar-es-salaam	K 72	NCTC 5773	37
Salmonella enterica subsp. enterica serotype panama	K 73	NCTC 5774	37
Salmonella enterica subsp. enterica serotype pullorum	971 (K 75)	NCTC 5776	37
Salmonella enterica subsp. enterica serotype london	5777 1446 (K 76) 3, 10:l, v:1, 6	NCTC 5777	37
Salmonella enterica subsp. enterica serotype give	316 (K 77)	NCTC 5778	37
Salmonella enterica subsp. enterica serotype anatum	293 (K 78)	NCTC 5779	37
Salmonella enterica subsp. enterica serotype muenster	5780 4546 (K 79) 3, 10:e, h:1, 5	NCTC 5780	37
Salmonella enterica subsp. enterica serotype nyborg	1527 (K 80)	NCTC 5781	37
Salmonella enterica subsp. enterica serotype amager	K 81 (2399) (CN 4102)	NCTC 5782	37
Salmonella enterica subsp. enterica serotype zanzibar	K 82 (455/37, CN 6648)	NCTC 5783	37
Salmonella enterica subsp. enterica serotype shangani	5784 5630 (K 83) 3, 10:d:1, 5	NCTC 5784	37
Salmonella enterica subsp. enterica serotype newington	C2 (K 84, CN 1139)	NCTC 5785	37
Salmonella enterica subsp. enterica serotype selandia	5786 7482 (K 85) 3, 15:e, h:1, 7	NCTC 5786	37
Salmonella enterica subsp. enterica serotype newbrunswick	5787 5411 (K 86, CN 1136) 3, 15:l, v:1, 7	NCTC 5787	37
Salmonella enterica subsp. enterica serotype senftenberg	3007 (K 87)	NCTC 5788	37
Salmonella enterica subsp. enterica serotype niloese	1236 (K 88, CN 1133)	NCTC 5789	37
Salmonella enterica subsp. enterica serotype newington	1928 (K 89)	NCTC 5790	37
Salmonella enterica subsp. enterica serotype aberdeen	(K 90)	NCTC 5791	37
Salmonella enterica subsp. enterica serotype poona	5792 K 91 13, 22:z:1, 6	NCTC 5792	37
Salmonella sp.	29 (K 92)	NCTC 5793	37
Salmonella enterica subsp. enterica serotype carrau	34 (K 93) (CN 1132)	NCTC 5794	37
Salmonella enterica subsp. enterica serotype onderstepoort	5795 282 (K 94) 1, 6, 14, 25:e, h:1, 5	NCTC 5795	37
Salmonella enterica subsp. enterica serotype rubislaw	5796 K95 (CN 1097) 16:b:e, n, x	NCTC 5796	37
Salmonella enterica subsp. enterica serotype gaminara	974 (K 96, ATCC 8324, CN 3661)	NCTC 5797	37
Salmonella enterica subsp. enterica serotype kirkee	K 97	NCTC 5798	37
Salmonella enterica subsp. enterica serotype kentucky	5799 21883 (K 98) 8, 20:i:z6	NCTC 5799	37
Salmonella enterica subsp. enterica serotype minnesota	21 (K 99, CN 1091)	NCTC 5800	37
Morganella morganii	Argentina	NCTC 5845	37
Bacillus circulans	Crab	NCTC 5846	37
Campylobacter fetus subsp. fetus	Milton	NCTC 5850	37
Acinetobacter lwoffii	Lwoff (1)	NCTC 5866	37
Acinetobacter lwoffii	Lwoff (2)	NCTC 5867	37
Pasteurella multocida	Lamont	NCTC 5868	37
Proteus mirabilis	Harding & Nicholson	NCTC 5887	37
Bacillus coagulans	G 514	NCTC 5895	37
Bacillus sphaericus	G 34	NCTC 5896	37
Cronobacter sakazakii	502 (NCIB 5920)	NCTC 5920	37
Yersinia pestis	Soemedang	NCTC 5923	37
Yersinia pestis	Tjiwidej	NCTC 5924	37
Escherichia coli	106	NCTC 5933	37
Escherichia coli	107	NCTC 5934	37
Pseudomonas aeruginosa	Dowson	NCTC 5940	37
Bordetella parapertussis	522	NCTC 5952	37
Staphylococcus warneri	AMC 263	NCTC 5955	37
Enterococcus faecalis	ATCC 6055	NCTC 5957	37
Streptococcus sp.	ATCC 6642	NCTC 5968	37
Streptococcus dysgalactiae subsp. equisimilis	ATCC 6644	NCTC 5969	37
Salmonella enterica subsp. enterica serotype reading	5992 Rauss 4, 5, 12:e, (h):1, 5	NCTC 5992	37
Bacillus megaterium	Fig	NCTC 6005	37
Salmonella enterica subsp. enterica serotype uganda	5880 (K 101, CN 6704)	NCTC 6015	37
Salmonella enterica subsp. enterica serotype rubislaw	193 (K 102, CN 1099)	NCTC 6016	37
Salmonella enterica subsp. enterica serotype abony	6017 74 (K 103) 1, 4, 5, 12:b:e, n, x	NCTC 6017	37
Salmonella enterica subsp. enterica serotype california	55 (K 104, CN 162)	NCTC 6018	37
Salmonella enterica subsp. enterica serotype wichita	6019 (K 105)	NCTC 6019	37
Salmonella enterica subsp. enterica serotype telaviv	876 (K 106, CN 1098)	NCTC 6020	37
Salmonella enterica subsp. enterica serotype saintpaul	110 (K 108)	NCTC 6022	37
Salmonella enterica subsp. enterica serotype meleagridis	6023 K 109 (156) 3, 10:e, h:l, w	NCTC 6023	37
Salmonella enterica subsp. enterica serotype sandiego	123 (K 110)	NCTC 6024	37
Salmonella enterica subsp. enterica serotype bredeney	K 112 (25/1, CN 1228)	NCTC 6026	37
Enterobacter cloacae	11391	NCTC 6027	37
Salmonella enterica subsp. enterica serotype litchfield	K 114	NCTC 6028	37
Salmonella enterica subsp. enterica serotype typhi	T2 AS (K115)	NCTC 6029	37
Salmonella enterica subsp. enterica serotype onarimon	6047 Kisida 1, 9, 12:b:1, 2	NCTC 6047	37
Citrobacter freundii	1	NCTC 6071	37
Clostridium butyricum	75	NCTC 6084	37
Salmonella enterica subsp. enterica serotype arechavaleta	5567	NCTC 6087	37
Bacillus megaterium	Soil 2	NCTC 6094	37
Corynebacterium diphtheriae	Dublin 38	NCTC 6111	37
Clostridium perfringens	4229 E?	NCTC 6121	37
Staphylococcus aureus	MS 174	NCTC 6131	37
Staphylococcus aureus	MS 39	NCTC 6133	37
Staphylococcus aureus	MS 69	NCTC 6134	37
Staphylococcus aureus	MS 41	NCTC 6135	37
Staphylococcus aureus	MS 150	NCTC 6136	37
Staphylococcus aureus	MS 63	NCTC 6137	37
Corynebacterium diphtheriae	Dublin 9 WPRL	NCTC 6138	37
Streptococcus equi subsp. zooepidemicus	Loewenthal M	NCTC 6176	37
Streptococcus equi subsp. zooepidemicus	Loewenthal O	NCTC 6177	37
Streptococcus equisimilis	Mare 1	NCTC 6179	37
Streptococcus equi subsp. zooepidemicus	Mare 2	NCTC 6180	37
Streptococcus dysgalactiae subsp. equisimilis	Mare 3 Capsulated	NCTC 6181	37
Proteus mirabilis	Rex R.	NCTC 6197	37
Streptococcus canis	SHC 433	NCTC 6198	37
Salmonella enterica subsp. enterica serotype pretoria	810	NCTC 6234	37
Salmonella enterica subsp. enterica serotype durban	6235 717 9, 12:a:e, n, z15	NCTC 6235	37
Salmonella enterica subsp. enterica serotype kaapstad	6236 1013 (CN 1156) 4, 12:e, h:1, 7	NCTC 6236	37
Salmonella enterica subsp. enterica serotype arechavaleta	6239 Edwards 4, 5, 12:a:1, 7	NCTC 6239	37
Salmonella enterica subsp. enterica serotype lexington	Edwards	NCTC 6244	37
Salmonella enterica subsp. enterica serotype manhattan	6245	NCTC 6245	37
Salmonella enterica subsp. enterica serotype muenchen	6246 Edwards 6, 8:d:1, 2, 3	NCTC 6246	37
Salmonella enterica subsp. enterica serotype salinatis	151	NCTC 6247	37
Salmonella enterica subsp. enterica serotype urbana	6248 Edwards 30:b:e, n, x	NCTC 6248	37
Salmonella enterica subsp. enterica serotype goettingen	1277	NCTC 6258	37
Salmonella enterica subsp. enterica serotype vejle	6260 CDC 10144/40 3, 10:e, h:1, 2	NCTC 6260	37
Salmonella enterica subsp. enterica serotype dusseldorf	4908	NCTC 6262	37
Citrobacter freundii	2624/36	NCTC 6266	37
Citrobacter freundii	6267 5396/38	NCTC 6267	37
Citrobacter freundii	491/36	NCTC 6269	37
Citrobacter freundii	Zurich	NCTC 6271	37
Citrobacter freundii	B	NCTC 6272	37
Bacillus subtilis	Ropy bread 1	NCTC 6276	37
Clostridium tetani	TH 27	NCTC 6336	37
Shigella dysenteriae	Q 771	NCTC 6340	37
Providencia alcalifaciens	B 105	NCTC 6344	37
Providencia alcalifaciens	B 81	NCTC 6345	37
Bacillus licheniformis	N. R. Smith 243	NCTC 6346	37
Paenibacillus alvei	N. R. Smith 662	NCTC 6352	37
Brevibacillus laterosporus	Laubach	NCTC 6357	37
Haemophilus parasuis	F	NCTC 6359	37
Proteus mirabilis	Edwards	NCTC 6369	37
Salmonella enterica subsp. enterica serotype amherstiana	Mass. 78	NCTC 6385	37
Salmonella enterica subsp. enterica serotype unnamed	Conn 11077 (CN 1138)	NCTC 6386	37
Salmonella enterica subsp. enterica serotype tennessee	6388 Tennessee K1 6, 7:z29:-	NCTC 6388	37
Streptococcus dysgalactiae	A 621	NCTC 6396	37
Streptococcus sp.	SHC 256	NCTC 6400	37
Streptococcus dysgalactiae subsp. equisimilis	SHC 282	NCTC 6406	37
Streptococcus dysgalactiae subsp. equisimilis	SHC 313	NCTC 6407	37
Streptococcus sp.	SHC 177	NCTC 6408	37
Bacillus subtilis	A3	NCTC 6431	37
Bacillus subtilis	MM	NCTC 6432	37
Arcanobacterium pyogenes	3-25	NCTC 6448	37
Trueperella pyogenes	ATCC 8107	NCTC 6450	37
Arcanobacterium pyogenes	ATCC 8108	NCTC 6451	37
Neisseria meningitidis	34447	NCTC 6455	37
Neisseria meningitidis	37A	NCTC 6457	37
Bacillus cereus	M 28	NCTC 6474	37
Salmonella enterica subsp. enterica serotype florida	C 1672 (CN 1141)	NCTC 6480	37
Salmonella enterica subsp. enterica serotype bonariensis	6481 C 12 6, 8:i:e, n, x	NCTC 6481	37
Salmonella enterica subsp. enterica serotype madelia	6482 Minnesota 611 (CN 1134) 1, 6, 14, 25:y:1, 7	NCTC 6482	37
Salmonella enterica subsp. arizonae	CDAI 184	NCTC 6484	37
Salmonella enterica subsp. arizonae	Montana 1	NCTC 6485	37
Salmonella enterica subsp. enterica serotype mississippi	53	NCTC 6487	37
Salmonella enterica subsp. enterica serotype javiana	N 140	NCTC 6495	37
Staphylococcus aureus	Inhibitor	NCTC 6507	37
Staphylococcus epidermidis	108/3	NCTC 6513	37
Salmonella enterica subsp. enterica serotype grumpensis	6533 161 (Cob 220) 13, 23:d:1, 7	NCTC 6533	37
Salmonella enterica subsp. enterica serotype weltevreden	147 (15773)	NCTC 6534	37
Clostridium tetani	8491 (a)	NCTC 6547	37
Staphylococcus aureus	Heatley Oxford	NCTC 6571	37
Hafnia alvei	Cadaveris	NCTC 6578	37
Vibrio cholerae	Subamma	NCTC 6585	37
Salmonella enterica subsp. enterica serotype adelaide	Edwards (CN 1430)	NCTC 6586	37
Salmonella enterica subsp. enterica serotype claibornei	Edwards (JT 151)	NCTC 6587	37
Salmonella enterica subsp. enterica serotype concord	Cal 523	NCTC 6588	37
Salmonella enterica subsp. enterica serotype pomona	6589 Cal 404 28:y:1, 7	NCTC 6589	37
Salmonella enterica subsp. enterica serotype inverness	Fla C 2382	NCTC 6591	37
Salmonella enterica subsp. enterica serotype thompson	D 19970	NCTC 6592	37
Salmonella enterica subsp. enterica serotype enteritidis	Harke Ram	NCTC 6676	37
Lactococcus lactis subsp. lactis	O J	NCTC 6681	37
Clostridium novyi	RB 977	NCTC 6687	37
Burkholderia pseudomallei	Haigh 11787	NCTC 6700	37
Salmonella enterica subsp. enterica serotype infantis	Conn 2076	NCTC 6703	37
Salmonella enterica subsp. enterica serotype newport	6704 Conn 214 6, 8:e, h:1, 2	NCTC 6704	37
Salmonella enterica subsp. enterica serotype lomalinda	174	NCTC 6705	37
Clostridium perfringens	A 118	NCTC 6719	37
Clostridium novyi	Denecke	NCTC 6736	37
Clostridium novyi	Benson	NCTC 6737	37
Clostridium novyi	Hennessy	NCTC 6738	37
Pseudomonas aeruginosa	Radlett	NCTC 6749	37
Pseudomonas aeruginosa	Radlett Feb	NCTC 6750	37
Pseudomonas aeruginosa	Radlett	NCTC 6751	30
Salmonella enterica subsp. enterica	6754 Gard (JT 182) 4, 5, 12:y:1, 2	NCTC 6754	37
Salmonella enterica subsp. enterica serotype heves	Gard (CN 1432)	NCTC 6755	37
Salmonella enterica subsp. enterica serotype schwarzengrund	6756 Gard (CN 1428) 1, 4, 12, 27:d:1, 7	NCTC 6756	37
Salmonella enterica subsp. enterica serotype solt	6757 Sven Gard 11:y:1, 5	NCTC 6757	37
Salmonella enterica subsp. enterica serotype sundsvall	Sven Gard	NCTC 6758	37
Salmonella enterica subsp. enterica serotype taksony	6759 Alpha (CN 1423) 1, 3, 19:i:z6	NCTC 6759	37
Nocardia asteroides	Conant	NCTC 6761	37
Shigella dysenteriae	Bucharest Smooth	NCTC 6781	37
Clostridium bifermentans	A 189 Ad	NCTC 6800	37
Clostridium bifermentans	A 190a	NCTC 6801	37
Salmonella enterica subsp. enterica serotype hartford	Faithful (S 44)	NCTC 6802	37
Bacillus licheniformis	Glaxo 417	NCTC 6816	37
Neisseria gonorrhoeae	Gono 4	NCTC 6820	37
Actinomyces israelii	Burnett	NCTC 6826	37
Actinomyces israelii	Goldberg	NCTC 6827	37
Actinomyces israelii	Ratcliffe	NCTC 6830	37
Actinomyces israelii	West	NCTC 6831	37
Salmonella enterica subsp. enterica serotype georgia	6849 176 6, 7:b:e, n, z15	NCTC 6849	37
Salmonella enterica subsp. enterica serotype papuana	177 (N 158)	NCTC 6850	37
Salmonella enterica subsp. enterica serotype champaign	Illinois 268 (ATCC 9779, CN 4092)	NCTC 6851	37
Salmonella enterica subsp. enterica serotype panama	186	NCTC 6852	37
Salmonella enterica subsp. enterica serotype napoli	6853 417 (187) 9, 12:l, z13:e, n, x	NCTC 6853	37
Clostridium bifermentans	A 506	NCTC 6927	37
Clostridium bifermentans	A 127a	NCTC 6928	37
Clostridium bifermentans	A 112	NCTC 6929	37
Providencia rustigianii	50	NCTC 6932	37
Providencia rustigianii	53028	NCTC 6933	37
Providencia rustigianii	58511	NCTC 6934	37
Salmonella enterica subsp. enterica serotype pensacola	6946 Edwards 9, 12:m, t:-	NCTC 6946	37
Salmonella sp.	Edwards	NCTC 6947	37
Salmonella enterica subsp. salamae serotype canastel	Edwards	NCTC 6948	37
Salmonella enterica subsp. enterica serotype horsham	Taylor	NCTC 6949	37
Salmonella enterica subsp. enterica serotype typhi	Osteomyelitis	NCTC 6964	37
Staphylococcus aureus	133	NCTC 6966	37
Mycobacterium marinum	Neon tetra 1	NCTC 7010	30
Micrococcus luteus	Hutner 2	NCTC 7011	37
Mycobacterium tuberculosis	H 37	NCTC 7016	37
Mycobacterium smegmatis	ATCC 607	NCTC 7017	37
Streptococcus equi	Collett	NCTC 7022	37
Streptococcus equi subsp. zooepidemicus	S 34	NCTC 7023	37
Salmonella enterica subsp. enterica serotype norwich	JT 129	NCTC 7077	37
Aneurinibacillus migulanus	Gramicidin S strain	NCTC 7096	37
Salmonella enterica subsp. enterica serotype cubana	Edwards 207	NCTC 7101	37
Salmonella enterica subsp. enterica serotype daytona	Edwards 205	NCTC 7102	37
Salmonella enterica subsp. enterica serotype gatuni	Edwards	NCTC 7103	37
Salmonella enterica subsp. enterica serotype senegal	7104 Edwards 206 11:r:1, 5	NCTC 7104	37
Salmonella enterica subsp. enterica serotype luciana	7105 Edwards 204 11:a:e, n, z15	NCTC 7105	37
Salmonella enterica subsp. enterica serotype richmond	7107 Edwards 203 6, 7:y:1, 2	NCTC 7107	37
Salmonella enterica subsp. enterica serotype shoreditch	Edwards	NCTC 7108	37
Salmonella enterica subsp. enterica serotype veneziana	Edwards 200	NCTC 7109	37
Salmonella enterica subsp. enterica serotype miami	Edwards	NCTC 7112	37
Staphylococcus aureus	CN 56 (Wood 46)	NCTC 7121	37
Clostridium histolyticum	CN 949 (JS)	NCTC 7123	37
Clostridium histolyticum	CN 920	NCTC 7124	37
Streptococcus dysgalactiae subsp. equisimilis	Milne	NCTC 7136	37
Janthinobacterium lividum	8	NCTC 7150	22
Staphylococcus pseudintermedius	9505/46	NCTC 7151	37
Escherichia coli	alpha Fairbrother	NCTC 7152	34
Clostridium clostridiiforme	132 Nobel	NCTC 7155	37
Streptococcus sp.		NCTC 7161	37
Streptococcus sp.		NCTC 7162	37
Streptococcus sp.		NCTC 7163	37
Streptococcus sp.		NCTC 7164	37
Streptococcus sp.		NCTC 7165	37
Streptococcus sp.		NCTC 7167	37
Streptococcus sp.		NCTC 7168	37
Streptococcus sp.		NCTC 7169	37
Enterococcus hirae		NCTC 7170	37
Enterococcus faecium	Grumbach serotype 11	NCTC 7171	37
Streptococcus sp.		NCTC 7173	37
Enterococcus faecium	Grumbach serotype 14	NCTC 7174	37
Enterococcus hirae		NCTC 7175	37
Enterococcus faecium	Grumbach serotype 16	NCTC 7176	37
Streptococcus sp.		NCTC 7178	37
Enterococcus casseliflavus		NCTC 7179	37
Streptococcus sp.		NCTC 7180	37
Lactococcus garvieae	Grumbach serotype 23	NCTC 7182	37
Streptococcus sp.		NCTC 7183	37
Bacillus licheniformis	Glaxo 6	NCTC 7198	37
Streptococcus dysgalactiae	H 46A	NCTC 7201	37
Corynebacterium xerosis	Shaw	NCTC 7238	37
Klebsiella pneumoniae sensu stricto	Klebsiella 41	NCTC 7242	37
Corynebacterium amycolatum	D 98594	NCTC 7243	37
Pseudomonas aeruginosa	American Cyanamid Co. 140	NCTC 7244	37
Acinetobacter baumannii	Bellairs	NCTC 7250	37
Staphylococcus aureus	Au 18 S	NCTC 7251	37
Vibrio cholerae	Egypt 100	NCTC 7253	37
Vibrio cholerae	102 Egypt	NCTC 7254	37
Vibrio cholerae	Egypt 109	NCTC 7258	37
Vibrio cholerae	Egypt 117	NCTC 7260	37
Vibrio cholerae	Hikojima	NCTC 7270	37
Clostridium botulinum	Beans	NCTC 7273	37
Kocuria rosea	SL 67	NCTC 7281	37
Corynebacterium diphtheriae	Manchester 207	NCTC 7282	37
Corynebacterium diphtheriae	Liverpool 28197	NCTC 7283	37
Corynebacterium diphtheriae	Glasgow 14	NCTC 7284	37
Corynebacterium diphtheriae	Watford 2619	NCTC 7285	37
Corynebacterium diphtheriae	Cork 5	NCTC 7286	37
Corynebacterium diphtheriae	Berlin 113	NCTC 7287	37
Corynebacterium diphtheriae	Hull G 7	NCTC 7288	37
Corynebacterium diphtheriae	Hull 100a	NCTC 7289	37
Corynebacterium diphtheriae	Mass B36	NCTC 7290	37
Staphylococcus warneri	S 34	NCTC 7291	37
Staphylococcus saprophyticus subsp. saprophyticus	S 41	NCTC 7292	37
Salmonella enterica subsp. arizonae	Arizona (Rubin, CN 3070)	NCTC 7293	37
Salmonella enterica subsp. arizonae	Mass 74 (CN 3071)	NCTC 7294	37
Salmonella enterica subsp. arizonae	CDAI 125 (CN 3072)	NCTC 7295	37
Salmonella enterica subsp. arizonae	Pc 126 (CN 3073)	NCTC 7296	37
Salmonella sp.	N 178 (4778-57, CN 3069)	NCTC 7297	37
Salmonella enterica subsp. arizonae	Pc 143	NCTC 7299	37
Salmonella enterica subsp. arizonae	CDAI 44	NCTC 7300	37
Salmonella enterica subsp. arizonae	So 8	NCTC 7301	37
Salmonella enterica subsp. arizonae	So 16 (CN 4245)	NCTC 7302	37
Salmonella enterica subsp. arizonae	S 39	NCTC 7303	37
Salmonella enterica subsp. arizonae	Cal 138	NCTC 7304	37
Salmonella enterica subsp. arizonae	So 105	NCTC 7305	37
Salmonella enterica subsp. arizonae	Pc 107	NCTC 7306	37
Salmonella enterica subsp. arizonae	Cal 166	NCTC 7307	37
Salmonella enterica subsp. arizonae	So 50	NCTC 7308	37
Salmonella enterica subsp. arizonae	CDAI 184	NCTC 7309	37
Salmonella enterica subsp. arizonae	Pc 190	NCTC 7310	37
Salmonella enterica subsp. arizonae	CDAI 426	NCTC 7311	37
Salmonella enterica subsp. arizonae	So 20	NCTC 7312	37
Salmonella enterica subsp. arizonae	So 73	NCTC 7313	37
Salmonella enterica subsp. arizonae	Pc 146	NCTC 7314	37
Salmonella enterica subsp. arizonae	So 102 (CN 4244)	NCTC 7316	37
Salmonella enterica subsp. houtenae serotype wassenaar	N 99	NCTC 7318	37
Salmonella enterica subsp. arizonae	So 64	NCTC 7319	37
Salmonella enterica subsp. arizonae	Va Morton	NCTC 7320	37
Salmonella enterica subsp. arizonae	36608	NCTC 7321	37
Salmonella enterica subsp. arizonae	So 37	NCTC 7322	37
Salmonella enterica subsp. arizonae	Sp B 92	NCTC 7323	37
Salmonella enterica subsp. arizonae	So 1	NCTC 7324	37
Salmonella enterica subsp. arizonae	So 10	NCTC 7325	37
Salmonella enterica subsp. arizonae	Ore 181	NCTC 7326	37
Salmonella enterica subsp. arizonae	Sp 21	NCTC 7327	37
Salmonella enterica subsp. arizonae	So 14	NCTC 7328	37
Salmonella enterica subsp. arizonae	Pc 95	NCTC 7329	37
Salmonella enterica subsp. arizonae	So 41	NCTC 7330	37
Salmonella enterica subsp. arizonae	Pc 101 (CN 4239)	NCTC 7331	37
Salmonella enterica subsp. arizonae	NJ 4	NCTC 7332	37
Salmonella enterica subsp. arizonae	So 61	NCTC 7333	37
Salmonella enterica subsp. arizonae	So 28 1450-53	NCTC 7334	37
Salmonella enterica subsp. arizonae	Hudson	NCTC 7335	37
Salmonella enterica subsp. arizonae	Pc 123	NCTC 7336	37
Salmonella enterica subsp. arizonae	Pc 139	NCTC 7337	37
Salmonella enterica subsp. arizonae	Mont 1	NCTC 7339	37
Salmonella enterica subsp. arizonae	So 5	NCTC 7340	37
Salmonella enterica subsp. arizonae	Pc 145	NCTC 7341	37
Salmonella enterica subsp. arizonae	Pc 148	NCTC 7342	37
Salmonella enterica subsp. arizonae	So 53	NCTC 7343	37
Salmonella enterica subsp. arizonae	7344 Pc 167 21:1, 2, 6	NCTC 7344	37
Salmonella enterica subsp. arizonae	So 82	NCTC 7345	37
Salmonella enterica subsp. arizonae	So 103	NCTC 7346	37
Salmonella enterica subsp. arizonae	So 116	NCTC 7347	37
Salmonella enterica subsp. arizonae	Pc 195	NCTC 7348	37
Salmonella enterica subsp. arizonae	So 57	NCTC 7349	37
Salmonella enterica subsp. arizonae	Pc 166	NCTC 7350	37
Salmonella enterica subsp. arizonae	Pc 155	NCTC 7351	37
Salmonella enterica subsp. arizonae	Pc 196	NCTC 7352	37
Salmonella enterica subsp. arizonae	Pc 110	NCTC 7353	37
Salmonella enterica subsp. arizonae	Pc 211 (CN 4246)	NCTC 7354	37
Salmonella enterica subsp. arizonae	Pc 217 (CN 4242)	NCTC 7355	37
Salmonella enterica subsp. arizonae	Cal 1141	NCTC 7356	37
Pseudomonas chlororaphis	NCTC 7357	NCTC 7357	30
Corynebacterium diphtheriae	Cairo 6	NCTC 7359	37
Escherichia coli	CN 636	NCTC 7360	37
Staphylococcus aureus	Mayo 910	NCTC 7361	37
Escherichia coli	type 19 Stewart	NCTC 7362	37
Acinetobacter baumannii	Poultney	NCTC 7363	37
Acinetobacter baumannii	Carr	NCTC 7364	37
Streptococcus salivarius	Williams	NCTC 7366	37
Salmonella enterica subsp. enterica serotype orion	7370 American 195 3, 10:y:1, 5	NCTC 7370	37
Salmonella enterica subsp. enterica serotype fayed	7371 Col Sal 737/46 (JT 167) 6, 8:l, w:1, 2	NCTC 7371	37
Salmonella enterica subsp. enterica serotype manchester	Col Sal 230/47	NCTC 7372	37
Salmonella enterica subsp. enterica serotype brancaster	Col Sal 100/47 (JT 196)	NCTC 7373	37
Salmonella enterica subsp. enterica serotype chittagong	JT 225 (CN 4093)	NCTC 7374	37
Salmonella enterica subsp. enterica serotype kisangani	7375 752 4, 5, 12:a:1, 2	NCTC 7375	37
Salmonella enterica subsp. enterica serotype singapore	7376 JT 239 6, 7:k:e, n, x	NCTC 7376	37
Streptococcus sp.		NCTC 7377	37
Enterococcus faecium	Grumbach serotype 12	NCTC 7378	37
Enterococcus faecium	Grumbach serotype 17	NCTC 7379	37
Enterococcus faecium	Grumbach serotype 21	NCTC 7380	37
Morganella morganii	2285/93	NCTC 7381	37
Burkholderia pseudomallei	Harries	NCTC 7383	37
Bordetella parapertussis	7010 (Eldering R4a)	NCTC 7385	37
Salmonella enterica subsp. enterica serotype orientalis	Edwards 211	NCTC 7388	37
Salmonella enterica subsp. enterica serotype monschaui	7389 Edwards 212 35:m, t:-	NCTC 7389	37
Salmonella enterica subsp. enterica serotype marseille	Edwards 213	NCTC 7390	37
Salmonella enterica subsp. enterica serotype texas	Edwards 216	NCTC 7393	37
Salmonella enterica subsp. enterica serotype isangi	Edwards 217	NCTC 7394	37
Salmonella enterica subsp. enterica serotype hidalgo	Edwards 218	NCTC 7395	37
Salmonella enterica subsp. enterica serotype lomita	Edwards 221	NCTC 7398	37
Salmonella enterica subsp. enterica serotype riogrande	7399 Edwards 222 (CN 4098) 40:b:1, 5	NCTC 7399	37
Salmonella enterica subsp. enterica serotype stanleyville	Edwards 223	NCTC 7400	37
Salmonella enterica subsp. enterica serotype waycross	7401 Edwards 224 41:z4, z23:-	NCTC 7401	37
Salmonella enterica subsp. enterica serotype memphis	7402 Edwards 225 18:k:1, 5	NCTC 7402	37
Salmonella enterica subsp. enterica serotype chandans	7403 Edwards 226 11:d:e, n, x	NCTC 7403	37
Salmonella enterica subsp. enterica serotype irumu	Edwards 227	NCTC 7404	37
Salmonella enterica subsp. enterica serotype illinois	Edwards 229 (CN 4095)	NCTC 7405	37
Salmonella enterica subsp. enterica serotype sanjuan	7406 Edwards 230 6, 7:a:1, 5	NCTC 7406	37
Salmonella enterica subsp. enterica serotype edinburgh	Edwards 231	NCTC 7407	37
Salmonella enterica subsp. enterica serotype pharr	Edwards 232	NCTC 7408	37
Salmonella enterica subsp. enterica serotype donna	7409 Edwards 233 (CN 4094) 30:l, v:1, 5	NCTC 7409	37
Salmonella enterica subsp. enterica serotype macallen	Edwards 234	NCTC 7410	37
Salmonella enterica subsp. enterica serotype weslaco	Edwards 236 (CN 4101)	NCTC 7411	37
Acinetobacter baumannii	Jones	NCTC 7412	37
