Species	Strain	Source_ID	Temp	ncbiTaxID
Salmonella enterica subsp. arizonae	So 10	NCTC 7325	37	59203
Salmonella enterica subsp. arizonae	Ore 181	NCTC 7326	37	59203
Salmonella enterica subsp. arizonae	Sp 21	NCTC 7327	37	59203
Salmonella enterica subsp. arizonae	So 14	NCTC 7328	37	59203
Salmonella enterica subsp. arizonae	Pc 95	NCTC 7329	37	59203
Salmonella enterica subsp. arizonae	So 41	NCTC 7330	37	59203
Salmonella enterica subsp. arizonae	Pc 101 (CN 4239)	NCTC 7331	37	59203
Salmonella enterica subsp. arizonae	NJ 4	NCTC 7332	37	59203
Salmonella enterica subsp. arizonae	So 61	NCTC 7333	37	59203
Salmonella enterica subsp. arizonae	So 28 1450-53	NCTC 7334	37	59203
Salmonella enterica subsp. arizonae	Hudson	NCTC 7335	37	59203
Salmonella enterica subsp. arizonae	Pc 123	NCTC 7336	37	59203
Salmonella enterica subsp. arizonae	Pc 139	NCTC 7337	37	59203
Salmonella enterica subsp. arizonae	Mont 1	NCTC 7339	37	59203
Salmonella enterica subsp. arizonae	So 5	NCTC 7340	37	59203
Salmonella enterica subsp. arizonae	Pc 145	NCTC 7341	37	59203
Salmonella enterica subsp. arizonae	Pc 148	NCTC 7342	37	59203
Salmonella enterica subsp. arizonae	So 53	NCTC 7343	37	59203
Salmonella enterica subsp. arizonae	7344 Pc 167 21:1, 2, 6	NCTC 7344	37	59203
Salmonella enterica subsp. arizonae	So 82	NCTC 7345	37	59203
Salmonella enterica subsp. arizonae	So 103	NCTC 7346	37	59203
Salmonella enterica subsp. arizonae	So 116	NCTC 7347	37	59203
Salmonella enterica subsp. arizonae	Pc 195	NCTC 7348	37	59203
Salmonella enterica subsp. arizonae	So 57	NCTC 7349	37	59203
Salmonella enterica subsp. arizonae	Pc 166	NCTC 7350	37	59203
Salmonella enterica subsp. arizonae	Pc 155	NCTC 7351	37	59203
Salmonella enterica subsp. arizonae	Pc 196	NCTC 7352	37	59203
Salmonella enterica subsp. arizonae	Pc 110	NCTC 7353	37	59203
Salmonella enterica subsp. arizonae	Pc 211 (CN 4246)	NCTC 7354	37	59203
Salmonella enterica subsp. arizonae	Pc 217 (CN 4242)	NCTC 7355	37	59203
Salmonella enterica subsp. arizonae	Cal 1141	NCTC 7356	37	59203
Pseudomonas chlororaphis	NCTC 7357	NCTC 7357	30	587753
Corynebacterium diphtheriae	Cairo 6	NCTC 7359	37	1717
Escherichia coli	CN 636	NCTC 7360	37	562
Staphylococcus aureus	Mayo 910	NCTC 7361	37	1280
Escherichia coli	type 19 Stewart	NCTC 7362	37	562
Acinetobacter baumannii	Poultney	NCTC 7363	37	470
Acinetobacter baumannii	Carr	NCTC 7364	37	470
Streptococcus salivarius	Williams	NCTC 7366	37	1304
Salmonella enterica subsp. enterica serotype orion	7370 American 195 3, 10:y:1, 5	NCTC 7370	37	-1
Salmonella enterica subsp. enterica serotype fayed	7371 Col Sal 737/46 (JT 167) 6, 8:l, w:1, 2	NCTC 7371	37	-1
Salmonella enterica subsp. enterica serotype manchester	Col Sal 230/47	NCTC 7372	37	-1
Salmonella enterica subsp. enterica serotype brancaster	Col Sal 100/47 (JT 196)	NCTC 7373	37	-1
Salmonella enterica subsp. enterica serotype chittagong	JT 225 (CN 4093)	NCTC 7374	37	-1
Salmonella enterica subsp. enterica serotype kisangani	7375 752 4, 5, 12:a:1, 2	NCTC 7375	37	-1
Salmonella enterica subsp. enterica serotype singapore	7376 JT 239 6, 7:k:e, n, x	NCTC 7376	37	-1
Streptococcus sp.	nan	NCTC 7377	37	-1
Enterococcus faecium	Grumbach serotype 12	NCTC 7378	37	1352
Enterococcus faecium	Grumbach serotype 17	NCTC 7379	37	1352
Enterococcus faecium	Grumbach serotype 21	NCTC 7380	37	1352
Morganella morganii	2285/93	NCTC 7381	37	582
Burkholderia pseudomallei	Harries	NCTC 7383	37	28450
Bordetella parapertussis	7010 (Eldering R4a)	NCTC 7385	37	519
Salmonella enterica subsp. enterica serotype orientalis	Edwards 211	NCTC 7388	37	-1
Salmonella enterica subsp. enterica serotype monschaui	7389 Edwards 212 35:m, t:-	NCTC 7389	37	-1
Salmonella enterica subsp. enterica serotype marseille	Edwards 213	NCTC 7390	37	-1
Salmonella enterica subsp. enterica serotype texas	Edwards 216	NCTC 7393	37	-1
Salmonella enterica subsp. enterica serotype isangi	Edwards 217	NCTC 7394	37	-1
Salmonella enterica subsp. enterica serotype hidalgo	Edwards 218	NCTC 7395	37	-1
Salmonella enterica subsp. enterica serotype lomita	Edwards 221	NCTC 7398	37	-1
Salmonella enterica subsp. enterica serotype riogrande	7399 Edwards 222 (CN 4098) 40:b:1, 5	NCTC 7399	37	-1
Salmonella enterica subsp. enterica serotype stanleyville	Edwards 223	NCTC 7400	37	-1
Salmonella enterica subsp. enterica serotype waycross	7401 Edwards 224 41:z4, z23:-	NCTC 7401	37	-1
Salmonella enterica subsp. enterica serotype memphis	7402 Edwards 225 18:k:1, 5	NCTC 7402	37	-1
Salmonella enterica subsp. enterica serotype chandans	7403 Edwards 226 11:d:e, n, x	NCTC 7403	37	-1
Salmonella enterica subsp. enterica serotype irumu	Edwards 227	NCTC 7404	37	-1
Salmonella enterica subsp. enterica serotype illinois	Edwards 229 (CN 4095)	NCTC 7405	37	-1
Salmonella enterica subsp. enterica serotype sanjuan	7406 Edwards 230 6, 7:a:1, 5	NCTC 7406	37	-1
Salmonella enterica subsp. enterica serotype edinburgh	Edwards 231	NCTC 7407	37	-1
Salmonella enterica subsp. enterica serotype pharr	Edwards 232	NCTC 7408	37	-1
Salmonella enterica subsp. enterica serotype donna	7409 Edwards 233 (CN 4094) 30:l, v:1, 5	NCTC 7409	37	-1
Salmonella enterica subsp. enterica serotype macallen	Edwards 234	NCTC 7410	37	-1
Salmonella enterica subsp. enterica serotype weslaco	Edwards 236 (CN 4101)	NCTC 7411	37	-1
Acinetobacter baumannii	Jones	NCTC 7412	37	470
Staphylococcus aureus	Petre	NCTC 7414	37	1280
Staphylococcus aureus	Hughes	NCTC 7415	37	1280
Mycobacterium tuberculosis	H 37 Rv	NCTC 7416	37	1773
Mycobacterium tuberculosis	H 37 Ra	NCTC 7417	37	1773
Acinetobacter baumannii	Ayers	NCTC 7422	37	470
Clostridium butyricum	Rowett	NCTC 7423	37	1492
Salmonella enterica subsp. enterica serotype isangi	Edwards 288	NCTC 7426	37	-1
Klebsiella pneumoniae	PCI 602	NCTC 7427	37	573
Staphylococcus aureus	S 32a	NCTC 7428	37	1280
Salmonella enterica subsp. enterica serotype takoradi	7430 JT 238 6, 8:i:1, 5	NCTC 7430	37	-1
Burkholderia pseudomallei	Guys	NCTC 7431	37	28450
Haemophilus parasuis	Goldsmith	NCTC 7440	37	-1
Haemophilus parasuis	VRO 8	NCTC 7441	37	-1
Staphylococcus aureus	3916	NCTC 7445	37	1280
Staphylococcus aureus	4016	NCTC 7446	37	1280
Staphylococcus aureus	FDA 209-P	NCTC 7447	37	1280
Corynebacterium renale	Charita a	NCTC 7448	37	1724
Corynebacterium xerosis	W Daisy	NCTC 7449	37	1725
Arcanobacterium pyogenes	B 11	NCTC 7450	37	-1
Pseudomonas sp.	OP 598	NCTC 7452	37	-1
Pseudomonas mendocina	6121	NCTC 7453	37	300
Pseudomonas mendocina	7808	NCTC 7454	37	300
Pseudomonas mendocina	8025	NCTC 7455	37	300
Pasteurella multocida	Exeter 6526	NCTC 7460	37	747
Acinetobacter baumannii	Crook	NCTC 7461	37	470
Acinetobacter baumannii	Hourigan	NCTC 7462	37	470
Bacillus cereus	NRRL 569	NCTC 7464	37	1396
Streptococcus pneumoniae	SV 1	NCTC 7465	37	1313
Bacillus sonorensis	USDA 712	NCTC 7467	37	119858
Brucella abortus	MAU 223	NCTC 7472	37	235
Staphylococcus epidermidis	Smith	NCTC 7474	37	1282
Providencia rettgeri	KB 5	NCTC 7475	37	587
Providencia rettgeri	KB 119	NCTC 7476	37	587
Providencia rettgeri	KB 357	NCTC 7477	37	587
Providencia rettgeri	KB 683	NCTC 7478	37	587
Providencia rettgeri	JB 1893	NCTC 7479	37	587
Providencia rettgeri	KB 712	NCTC 7480	37	587
Providencia rettgeri	KB 772	NCTC 7481	37	587
Staphylococcus aureus	Streatley 1	NCTC 7485	37	1280
Staphylococcus sp.	Streatley 2	NCTC 7486	37	-1
Micrococcus luteus	M4	NCTC 7495	37	1270
Micrococcus luteus	44906	NCTC 7503	37	1270
Staphylococcus aureus	Woollie	NCTC 7507	37	1280
Micrococcus luteus	ATCC 966	NCTC 7508	22	1270
Kocuria rosea	28 (3)	NCTC 7509	22	1275
Kocuria rosea	ATCC 144	NCTC 7511	37	1275
Kocuria rosea	ATCC 177	NCTC 7512	37	1275
Kocuria rosea	ATCC 178	NCTC 7513	37	1275
Kocuria rosea	ATCC 179	NCTC 7514	37	1275
Kocuria rosea	ATCC 418	NCTC 7520	30	1275
Kocuria rosea	ATCC 1186	NCTC 7523	37	1275
Staphylococcus saprophyticus subsp. saprophyticus	B 528	NCTC 7526	37	-1
Kocuria rosea	349	NCTC 7528	37	1275
Staphylococcus saprophyticus subsp. saprophyticus	BCH-c	NCTC 7540	37	-1
Cellulomonas fimi	ATCC 484	NCTC 7547	37	590998
Corynebacterium pseudodiphtheriticum	3-49	NCTC 7549	37	37637
Micrococcus luteus	G 76 Group II B	NCTC 7562	37	1270
Micrococcus luteus	G 36	NCTC 7563	37	1270
Kocuria varians	G 40	NCTC 7565	37	1272
Kocuria varians	G 92	NCTC 7566	37	1272
Brachybacterium nesterenkovii	G 9	NCTC 7567	37	47847
Paenibacillus polymyxa	G 43	NCTC 7575	37	1406
Bacillus pumilus	G 33	NCTC 7576	37	1408
Brevibacillus brevis	G 108	NCTC 7577	37	1393
Paenibacillus chibensis	G 48	NCTC 7578	37	59846
Brevibacillus laterosporus	G 308	NCTC 7579	37	1465
Bacillus megaterium	Gibson	NCTC 7581	37	-1
Bacillus sphaericus	Gibson	NCTC 7582	37	-1
Paenibacillus alvei	G 642 T. Gibson, Edinburgh in 1948	NCTC 7583	37	44250
Bacillus sphaericus	G 1019	NCTC 7585	37	-1
Bacillus mycoides	G 15	NCTC 7586	37	1405
Bacillus cereus	G 12	NCTC 7587	37	1396
Paenibacillus macerans	G 411	NCTC 7588	37	44252
Bacillus licheniformis	G 413	NCTC 7589	37	1402
Aerococcus viridans	H 2	NCTC 7592	37	1377
Aerococcus viridans	H 4	NCTC 7594	37	1377
Aerococcus viridans	H 5	NCTC 7595	37	1377
Aerococcus viridans	H 6	NCTC 7596	37	1377
Aerococcus viridans	H 7	NCTC 7597	37	1377
Aerococcus viridans	H 8	NCTC 7598	37	1377
Aerococcus viridans	H 9	NCTC 7599	37	1377
Aerococcus viridans	H 10	NCTC 7600	37	1377
Aerococcus viridans	H 11	NCTC 7601	37	1377
Aerococcus viridans	H 12	NCTC 7602	37	1377
Staphylococcus warneri	Parker IC-31	NCTC 7612	37	1292
Micrococcus sp.	Parker IC-17	NCTC 7617	30	-1
Kocuria varians	Parker IC-22	NCTC 7619	37	1272
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-26	NCTC 7623	37	-1
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-84	NCTC 7666	37	-1
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-121	NCTC 7687	37	-1
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-122	NCTC 7688	37	-1
Staphylococcus saprophyticus subsp. saprophyticus	Parker IC-131	NCTC 7692	37	-1
Staphylococcus aureus	C 2	NCTC 7718	37	1280
Staphylococcus aureus	9 N Ra	NCTC 7727	37	1280
Kocuria varians	37	NCTC 7729	37	1272
Kocuria rosea	ATCC 9815	NCTC 7738	30	1275
Micrococcus luteus	ATCC 10240	NCTC 7743	37	1270
Salmonella enterica subsp. enterica serotype birkenhead	7744 Col Sal 766/47 (JT 222) 6, 7:c:1, 6	NCTC 7744	37	-1
Bacillus anthracis	282	NCTC 7752	37	1392
Bacillus anthracis	1501	NCTC 7753	37	1392
Streptococcus sp.	SHC 194	NCTC 7760	37	-1
Klebsiella edwardsii var. edwardsii	Klebsiella III	NCTC 7761	37	-1
Aerococcus viridans	MD 3	NCTC 7764	37	1377
Aerococcus viridans	MD 4	NCTC 7765	37	1377
Aerococcus viridans	MD 5	NCTC 7766	37	1377
Pseudomonas aeruginosa	Castellani strain 1	NCTC 7771	37	287
Aerococcus viridans	MD 15	NCTC 7777	37	1377
Moraxella nonliquefaciens	37689	NCTC 7784	37	478
Staphylococcus aureus	Selbie 18	NCTC 7791	37	1280
Klebsiella pneumoniae subsp. rhinoscleromatis	BSI 36208	NCTC 7799	37	39831
Staphylococcus saprophyticus subsp. saprophyticus	BCH 13 (2555)	NCTC 7802	37	-1
Streptomyces griseus	Maxted	NCTC 7807	30	1911
Aeromonas veronii	Kulp P2	NCTC 7810	37	654
Aeromonas hydrophila	Speck	NCTC 7812	37	644
Proteus mirabilis	H X K	NCTC 7827	37	584
Salmonella enterica subsp. enterica serotype corvallis	7830 JT 235 8, 20:z4, z23:-	NCTC 7830	37	-1
Salmonella enterica subsp. enterica serotype butantan	7831 (JT 237)	NCTC 7831	37	-1
Salmonella enterica subsp. enterica serotype nottingham	7832 Col Sal 1043/48 (JT 234) 16:d:e, n, z15	NCTC 7832	37	-1
Salmonella enterica subsp. enterica serotype salford	JT 232 (Col Sal 737/48)	NCTC 7833	37	-1
Salmonella enterica subsp. enterica serotype colorado	7834 JT 236 6, 7:l, w:1, 5	NCTC 7834	37	-1
Salmonella enterica subsp. enterica serotype menston	JT226	NCTC 7836	37	-1
Corynebacterium diphtheriae	DX 18	NCTC 7838	37	1717
Corynebacterium diphtheriae	DX 19	NCTC 7839	37	1717
Corynebacterium diphtheriae	DX 22	NCTC 7840	37	1717
Corynebacterium diphtheriae	DX 24	NCTC 7841	37	1717
Corynebacterium diphtheriae	MID-Durham	NCTC 7842	37	1717
Corynebacterium diphtheriae	19470	NCTC 7843	37	1717
Acinetobacter baumannii	Biol 1	NCTC 7844	37	470
Streptococcus dysgalactiae	H 64	NCTC 7855	37	1334
Staphylococcus aureus	CN 491	NCTC 7856	37	1280
Haemophilus parainfluenzae	Wound	NCTC 7857	37	729
Bacillus subtilis	BAL	NCTC 7861	37	1423
Streptococcus sanguinis	7863	NCTC 7863	37	1305
Streptococcus sanguinis	ATCC 10557	NCTC 7864	37	1305
Streptococcus gordonii	ATCC 10558	NCTC 7865	37	1302
Streptococcus gordonii	Challis	NCTC 7868	37	1302
Streptococcus gordonii	Channon	NCTC 7869	37	1302
Streptococcus gordonii	E 91/46	NCTC 7870	37	1302
Streptococcus gordonii	3437/48	NCTC 7872	37	1302
Staphylococcus aureus	Feline	NCTC 7878	37	1280
Corynebacterium xerosis	Lewisham	NCTC 7883	37	1725
Shigella flexneri	2531	NCTC 7885	37	623
Salmonella enterica subsp. enterica serotype mississippi	7886 4171 13, 23:b:-	NCTC 7886	37	-1
Staphylococcus agnetis	Au 18 L	NCTC 7887	37	985762
Salmonella enterica subsp. enterica serotype aequatoria	7891 JT 246 6, 7:z4, z23:e, n, z15	NCTC 7891	37	-1
Salmonella enterica subsp. enterica serotype mbandaka	JT 240	NCTC 7892	37	-1
Salmonella enterica subsp. enterica serotype tallahassee	JT 249	NCTC 7893	37	-1
Salmonella enterica subsp. enterica serotype kibusi	7895 JT 245 28:r:e, n, x	NCTC 7895	37	-1
Salmonella enterica subsp. enterica serotype makiso	JT 241	NCTC 7896	37	-1
Salmonella enterica subsp. enterica serotype allandale	7898 JT 244 (CN 4087) 1, 40:k:1, 6	NCTC 7898	37	-1
Salmonella enterica subsp. enterica serotype canoga	7899 JT 248 (CN 4087) 3, 15, 34:g, s, t:-	NCTC 7899	37	-1
Corynebacterium ulcerans	EXE	NCTC 7907	37	65058
Corynebacterium ulcerans	6874	NCTC 7908	37	65058
Corynebacterium ulcerans	10034	NCTC 7909	37	65058
Corynebacterium ulcerans	20184	NCTC 7910	37	65058
Moraxella lacunata	ATCC 17952	NCTC 7911	37	477
Streptococcus equi subsp. zooepidemicus	2104	NCTC 7912	37	40041
Staphylococcus aureus	6103	NCTC 7913	37	1280
Pseudomonas putida	7914 SX/30	NCTC 7914	30	303
Dermatophilus congolensis	SFR	NCTC 7915	30	1863
Janthinobacterium lividum	FBA No 2	NCTC 7917	22	29581
Haemophilus influenzae	Rosher 7284 (Bailey) Biotype II	NCTC 7918	37	727
Escherichia coli	2214	NCTC 7921	37	562
Escherichia coli	2213	NCTC 7922	37	562
Escherichia coli	2215	NCTC 7923	37	562
Shigella sonnei	2212	NCTC 7924	37	624
Escherichia coli	120	NCTC 7925	37	562
Escherichia coli	589	NCTC 7926	37	562
Escherichia coli	2378	NCTC 7927	37	562
Escherichia coli	3479	NCTC 7928	37	562
Corynebacterium xerosis	490505	NCTC 7929	37	1725
Streptococcus sp.	143	NCTC 7932	37	-1
Staphylococcus hyicus subsp. hyicus	Aerosols strain	NCTC 7944	37	-1
Staphylococcus aureus	Goat	NCTC 7972	37	1280
Listeria monocytogenes	58 xxiii	NCTC 7973	37	1639
Listeria monocytogenes	B. Ch-G	NCTC 7974	37	1639
Acinetobacter lwoffii	Wheatley	NCTC 7976	37	28090
Streptococcus dysgalactiae	45	NCTC 7982	37	1334
Moraxella lacunata	260	NCTC 7985	37	477
Moraxella lacunata	4238	NCTC 7986	37	477
Staphylococcus aureus	Cat	NCTC 7988	37	1280
Staphylococcus lugdunensis	Kelly	NCTC 7990	37	28035
Erysipelothrix rhusiopathiae	Rouget	NCTC 7999	37	1648
Salmonella enterica subsp. enterica serotype typhi	Kasauli TH	NCTC 8001	37	-1
Salmonella enterica subsp. enterica serotype paratyphi a	Kasauli AH	NCTC 8002	37	-1
Escherichia coli	R 411	NCTC 8003	37	562
Staphylococcus aureus	E 755	NCTC 8004	37	1280
Escherichia dispar	R 825	NCTC 8006	37	-1
Escherichia coli	D 433	NCTC 8007	37	562
Escherichia coli	D 2101	NCTC 8008	37	562
Escherichia coli	D 898	NCTC 8009	37	562
Salmonella enterica subsp. enterica serotype paratyphi a	E 37	NCTC 8010	37	-1
Serratia plymuthica	Parker	NCTC 8015	37	82996
Burkholderia pseudomallei	AHS 1	NCTC 8016	37	28450
Streptococcus agalactiae	MK 104 P	NCTC 8017	37	1311
Streptococcus agalactiae	MK 104 C	NCTC 8020	37	1311
Vibrio cholerae	3	NCTC 8021	37	666
Streptococcus oralis	1360/48	NCTC 8029	37	1303
Streptococcus mitis	3415/48	NCTC 8031	37	28037
Streptococcus mitis	3957(2)/48	NCTC 8033	37	28037
Bacillus cereus	Lederle No 5	NCTC 8035	37	1396
Brucella abortus	S 19	NCTC 8038	37	235
Vibrio cholerae	Cairo IaI	NCTC 8039	37	666
Vibrio cholerae	726/575	NCTC 8040	37	666
Vibrio cholerae	757	NCTC 8041	37	666
Vibrio cholerae non 0:1	Nanking 32/124	NCTC 8042	37	-1
Actinomyces israelii	Bishop	NCTC 8047	37	1659
Aeromonas hydrophila	BPE 143	NCTC 8049	37	644
Vibrio cholerae	Calcutta	NCTC 8050	37	666
Salmonella enterica subsp. enterica serotype paratyphi c	9 H	NCTC 8053	37	-1
Salmonella enterica subsp. enterica serotype paratyphi c	Hayes O	NCTC 8054	37	-1
Providencia alcalifaciens	EEB	NCTC 8055	37	126385
Providencia alcalifaciens	16112	NCTC 8056	37	126385
Providencia alcalifaciens	2634	NCTC 8057	37	126385
Pseudomonas aeruginosa	U 21 (6)	NCTC 8058	37	287
Pseudomonas aeruginosa	U 21 (1)	NCTC 8060	37	287
Clostridium tetani	Toms	NCTC 8065	37	1513
Pediococcus pentosaceus	F 166	NCTC 8066	30	1255
Pseudomonas taetrolens	ATCC 4683	NCTC 8067	30	47884
Pseudomonas mucidolens	Burns 37	NCTC 8068	30	46679
Clostridium chauvoei	G 1	NCTC 8070	37	46867
Pasteurella multocida	H	NCTC 8080	37	747
Acinetobacter sp.	A 267	NCTC 8102	37	-1
Hafnia alvei	32011	NCTC 8105	37	569
Hafnia alvei	32611	NCTC 8106	37	569
Hafnia alvei	26311	NCTC 8107	37	569
Hafnia alvei	70811	NCTC 8108	37	569
Hafnia alvei	56211	NCTC 8109	37	569
Hafnia alvei	44311	NCTC 8110	37	569
Hafnia alvei	63511	NCTC 8111	37	569
Hafnia alvei	68411	NCTC 8112	37	569
Providencia rustigianii	1721	NCTC 8113	37	158850
Enterococcus durans	Hirsch 613	NCTC 8129	37	53345
Enterococcus durans	Roquefort Cheese I. 1	NCTC 8130	37	53345
Enterococcus faecalis	MES D 55	NCTC 8131	37	1351
Enterococcus faecalis	8 GB 37	NCTC 8132	37	1351
Streptococcus gallolyticus subsp. gallolyticus	BR 7	NCTC 8133	37	53354
Haemophilus aegyptius	128 a	NCTC 8134	37	197575
Haemophilus influenzae biotype aegyptius	181 a	NCTC 8135	37	725
Escherichia coli	Elford C 36	NCTC 8136	37	562
Streptococcus bovis	Rosalie 20	NCTC 8140	37	-1
Pasteurella pneumotropica	M 8. 19. 48	NCTC 8141	37	-1
Haemophilus influenzae	680 Biotype II	NCTC 8143	37	727
Salmonella enterica subsp. enterica serotype jerusalem	K 280	NCTC 8146	37	-1
Salmonella enterica subsp. enterica serotype tinda	8147 K 267 1, 4, 12, 27:a:e, n, z15	NCTC 8147	37	-1
Salmonella enterica subsp. enterica serotype sanga	8148 K 283 (8):b:1, 7	NCTC 8148	37	-1
Salmonella enterica subsp. enterica serotype leopoldville	8149 K 274 6, 7:b:z6	NCTC 8149	37	-1
Mycobacterium smegmatis	8150	NCTC 8150	37	-1
Mycobacterium phlei	Timoteo	NCTC 8151	37	-1
Mycobacterium smegmatis	GW	NCTC 8152	37	-1
Mycobacterium smegmatis	R	NCTC 8153	30	-1
Cronobacter sakazakii	F 37/50	NCTC 8155	37	28141
Mycobacterium phlei	Cornell 8a	NCTC 8156	37	-1
Mycobacterium phlei	REG 24	NCTC 8157	30	-1
Mycobacterium smegmatis	ATCC 278	NCTC 8158	30	-1
Mycobacterium smegmatis	Cornell 3	NCTC 8159	30	-1
Erysipelothrix rhusiopathiae	a P15	NCTC 8163	37	1648
Escherichia coli	C 6	NCTC 8164	34	562
Citrobacter freundii	C 18	NCTC 8165	37	546
Klebsiella oxytoca	C 30	NCTC 8167	37	571
Enterobacter cloacae	C 35	NCTC 8168	37	550
Klebsiella pneumoniae subsp. pneumoniae	C 37	NCTC 8172	37	72407
Enterococcus faecium	Cheddar cheese F. II	NCTC 8174	37	1352
Enterococcus faecalis	Elv 2025	NCTC 8175	37	1351
Enterococcus faecalis	2	NCTC 8176	37	1351
Streptococcus bovis	Pearl 11 (No 6)	NCTC 8177	37	-1
Staphylococcus aureus	Newman	NCTC 8178	37	1280
Escherichia coli	D 433y	NCTC 8179	37	562
Streptococcus agalactiae	S 102	NCTC 8180	37	1311
Streptococcus agalactiae	G 19	NCTC 8181	37	1311
Streptococcus agalactiae	G 2	NCTC 8182	37	1311
Streptococcus agalactiae	S 84	NCTC 8183	37	1311
Streptococcus agalactiae	S 122	NCTC 8184	37	1311
Streptococcus agalactiae	S 107	NCTC 8185	37	1311
Streptococcus agalactiae	G 104	NCTC 8186	37	1311
Streptococcus agalactiae	H 36b	NCTC 8187	37	1311
Streptococcus agalactiae	G 42	NCTC 8188	37	1311
Bordetella pertussis	2048	NCTC 8189	37	520
Streptococcus agalactiae	N 49	NCTC 8190	37	1311
Streptococcus pyogenes	Richards (Rich. G III)	NCTC 8191	37	1314
Shigella flexneri	Kasauli	NCTC 8192	37	623
Streptococcus pyogenes	T5 B	NCTC 8193	37	1314
Streptococcus pyogenes	J 17D/50 (R3)	NCTC 8194	37	1314
Streptococcus pyogenes	Quinn (D24/46)	NCTC 8195	37	1314
Escherichia coli	C 3	NCTC 8196	37	562
Streptococcus pyogenes	SF 130	NCTC 8198	37	1314
Streptococcus pyogenes	Lowe	NCTC 8199	37	1314
Brucella abortus	Edward	NCTC 8200	37	235
Pseudomonas aeruginosa	Selbie	NCTC 8203	37	287
Enterococcus faecalis	MES 91; WDCM 00084	NCTC 8213	37	1351
Shigella dysenteriae	Norwich 1944	NCTC 8217	37	622
Shigella dysenteriae	D 214	NCTC 8218	37	622
Shigella sonnei	Wheeler Phase II	NCTC 8219	37	624
Shigella sonnei	Kasauli Phase I	NCTC 8220	37	624
Shigella sonnei	Wheeler Phase III	NCTC 8221	37	624
Streptococcus pyogenes	C 107/24	NCTC 8224	37	1314
Streptococcus pyogenes	44273	NCTC 8225	37	1314
Streptococcus pyogenes	C 119/58	NCTC 8227	37	1314
Streptococcus pyogenes	C 242	NCTC 8228	37	1314
Streptococcus pyogenes	C 95/12B	NCTC 8229	37	1314
Streptococcus pyogenes	C 105	NCTC 8230	37	1314
Streptococcus pyogenes	Henson/Rb 18	NCTC 8231	37	1314
Streptococcus pyogenes	C 744/Rb4/41	NCTC 8232	37	1314
Clostridium perfringens	2204/51	NCTC 8235	37	1502
Bacillus subtilis	ICI 2/4	NCTC 8236	37	1423
Clostridium perfringens	S 107	NCTC 8237	37	1502
Bacillus pumilus	Mill Hill	NCTC 8241	37	1408
Salmonella enterica subsp. enterica serotype zega	8243 Kauffmann 9, 12:d:z6	NCTC 8243	37	-1
Salmonella enterica subsp. enterica serotype abaetetuba	8244 Brazil 1928 (CDC 4905-51) 11:k:1, 5	NCTC 8244	37	-1
Salmonella enterica subsp. enterica serotype morehead	8245 Brazil 2228 (CDC 4937-51) 30:i:1, 5	NCTC 8245	37	-1
Neisseria meningitidis	Maria Mason 8666	NCTC 8249	37	487
Bordetella parapertussis	517	NCTC 8250	37	519
Aerococcus viridans	M 1	NCTC 8251	37	1377
Neisseria gonorrhoeae	B 4780	NCTC 8254	37	485
Neisseria meningitidis	Stafford	NCTC 8255	37	487
Salmonella enterica subsp. enterica serotype cambridge	8256 JT 147 (CN 4985) 3, 15:e, h:l, w	NCTC 8256	37	-1
Salmonella enterica subsp. enterica serotype harrisonburg	CDC 1446-52	NCTC 8258	37	-1
Salmonella enterica subsp. enterica serotype berkeley	8260 CDC 2240-52 (JT 297, CN 4088) 43:a:1, 5	NCTC 8260	37	-1
Salmonella enterica subsp. enterica serotype alachua	8261 2212/52 (JT 298, CN 4086) 35:z4, z23:-	NCTC 8261	37	-1
Salmonella enterica subsp. enterica serotype albuquerque	8262 3531/52 (JT 299) 6, 14, 24:d:z6	NCTC 8262	37	-1
Neisseria flavescens	155	NCTC 8263	37	484
Clostridium botulinum	D 6f	NCTC 8265	37	1491
Salmonella enterica subsp. enterica serotype schoeneberg	K 385	NCTC 8267	37	-1
Salmonella enterica subsp. enterica serotype kimuenza	K 387	NCTC 8268	37	-1
Salmonella enterica subsp. enterica serotype binza	8269 K 390 3, 15:y:1, 5	NCTC 8269	37	-1
Salmonella enterica subsp. enterica serotype cairina	K 391	NCTC 8270	37	-1
Salmonella enterica subsp. enterica serotype blukwa	K 392 (CN 4090, JT 315)	NCTC 8271	37	-1
Salmonella enterica subsp. enterica serotype johannesburg	8272 K 393 40:b:e, n, x	NCTC 8272	37	-1
Salmonella enterica subsp. salamae serotype worcester	K 395	NCTC 8273	37	-1
Salmonella enterica subsp. enterica serotype cairo	K 397	NCTC 8274	37	-1
Salmonella enterica subsp. enterica serotype ituri	8275 K 409 1, 4, 12:z10:1, 5	NCTC 8275	37	-1
Salmonella enterica subsp. enterica serotype wangata	K 421	NCTC 8276	37	-1
Salmonella enterica subsp. enterica serotype coquilhatville	K 425	NCTC 8277	37	-1
Salmonella enterica subsp. enterica serotype kasenyi	K 431	NCTC 8278	37	-1
Salmonella enterica subsp. enterica serotype niarembe	8279 K 433 (CN 4097) 44:a:l, w	NCTC 8279	37	-1
