Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	index	TaxID	Strain
Aciduliprofundum boonei	439481	Archaea	Euryarchaeota	unclassified	unclassified	unclassified	Aquatic	Hydrothermal vent	Chemolithoautotroph 	fermentation	fermented a wide range of carbohydrates, including polysaccharides. Acetate, ethanol and lactate were the fermentation products. Growth was stimulated by elemental sulfur and thiosulfate, which were reduced to hydrogen sulfide		Facultative Anaerobe	3,3	5,8	4,5	50	77	70			0,03		https://pubmed.ncbi.nlm.nih.gov/19643887/		276	439481	T469
Thermomicrobium roseum	309801	Bacteria	Chloroflexi	Thermomicrobia	 Thermomicrobiales	Thermomicrobiaceae	Terrestrial	Heated soil	Chemoorganotroph	nitrate-reduction,aerobic respiration	Growth occurs on simple sugars: D-xylose, D-galactose, Dmannose, D-fructose, cellobiose, maltose, sucrose, trehalose and raffinose. Dextrin, Phytagel, starch, xylan and xanthan act as sole carbon sources, but Avicel and CM-cellulose do not. Grows on short-chain alcohols including methanol, ethanol, 1-propanol, 2-propanol and mannitol, but not sorbitol. Cells also grow on glycerol and sodium acetate, formate, fumarate, lactate, pyruvate and succinate but not citrate. Peptone, tryptone and Casamino acids act as sole carbon sources. Ammonium ions, nitrate ions and yeast extract can act as sole nitrogen sources.		Aerobe	6	9,4	8,2	52	77	67,5			0		https://pubmed.ncbi.nlm.nih.gov/26374291/		277	309801	DSM 5159
Desulfurella multipotens	79269	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Aquatic	Lake 									42	77	59					https://link.springer.com/article/10.1007/BF00248898		278	79269	
Thermorudis pharmacophila	1167092	Bacteria	Chloroflexi	Thermomicrobia	unclassified Thermomicrobia	Thermorudis	Terrestrial	Heated soil	Heterotroph	polysaccharide metabolism,aerobic respiration	No growth is observed on monosaccharides. Sucrose, trehalose and raffinose act as sole carbon sources; lactose, maltose and cellobiose do not. Avicel, CM-cellulose, starch and xylan are hydrolyzed, but chitin, dextrin, gellan gum, galactomannan, glucomannan, pectin and xanthan are not. Cells also grow on Whatman filter paper, glycerol, sorbitol and 0.05% (v/v) methanol or ethanol. Sodium acetate, formate, fumarate, lactate, pyruvate and succinate act as sole carbon sources; sodium citrate, mannitol, galacturonic acid and 0.05% 1-propanol and 2- propanol do not. Cells grow readily on yeast extract, peptone, tryptone and Casamino acids. Growth is inhibited by ampicillin, chloramphenicol, kan		Aerobe	5,9	8,2	6,9	53	76	70,5	101		<1%		https://pubmed.ncbi.nlm.nih.gov/26374291/		279	1167092	
Thermosediminibacter oceani	555079	Bacteria	Firmicutes	Clostridia	 Thermosediminibacterales	Thermosediminibacteraceae	Aquatic	Deep sea	Heterotroph	sulfur-reduction,thiosulfate-reduction	In the presence of 0.02% yeast extract, casamino acids, beef extracts, tryptone, cellobiose, fructose, galactose, glucose, maltose, mannose, raffinose, sucrose, trehalose, xylose, methanol, inositol, mannitol, sorbitol, lactate, pyruvate serve as carbon and energy. Thiosulfate, elemental sulfur, and MnO2 can serve as e acceptors. No indication of sulfate or Fe(III) reduction		Anaerobe	6,3	9,3	7,5	52	76	68			0,01		https://pubmed.ncbi.nlm.nih.gov/15965715/		280	555079	JW/IW-1228P, DSM 16646
Thermosediminibacter litoriperuensis	291989	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Aquatic	Deep-sea sediments									43	76	64					https://pubmed.ncbi.nlm.nih.gov/15965715/		281	291989	
Thermovenabulum ferriorganovorum	159731	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Aquatic	Caldera									45	76	64					https://pubmed.ncbi.nlm.nih.gov/12361281/		282	159731	
Geobacillus stearothermophilus	1422	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring	Chemoorganotroph	carbon monoxide oxidation	Acid production from glucose, lactose, sucrose, litmus milk. Starch digested. Casein digested. Nitrate not reduced. Indol production absent. 		Facultative Anaerobe			6,1	45	76	50	101		<5%	formerly Bacillus stearothermophilus	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC378892/	https://pubmed.ncbi.nlm.nih.gov/12054251/#:~:text=Strain%20COOI3B(T)%20grew%20optimally,%25%2C%20w%2Fv).	283	1422	
Thermoflexus hugenholtzii	1495650	Bacteria	Chloroflexi	 Thermoflexia	 Thermoflexales	Thermoflexaceae	Aquatic	Hot spring	Heterotroph	fermentation	 Only complex carbon and energy sources including peptone, tryptone or yeast extract support growth, and vitamins are required for efficient growth. In the absence of O2, fermentative growth and H2 production are observed. Anaerobic growth is enhanced by fumarate, inhibited by sulfite or elemental sulfur and not affected by nitrate, nitrite, thiosulfate or ferric NTA.		Facultative Anaerobe	6,5	7,75	6,75	67,5	75	73,75	100				https://pubmed.ncbi.nlm.nih.gov/24676733/		284	1495650	
Caldicoprobacter faecalis	937334	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Wastewater	Sewage Sludge 									60	75	71,5					https://pubmed.ncbi.nlm.nih.gov/26297233/		285	937334	
Thermoanaerobacter mathranii	583357	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	Hydrogen sulfide is produced. Grows on amygdalin, L-arabinose, cellobiose, D-fructose, D-glucose, glycogen, lactose, maltose, D-mannitol, mannose, melibiose, melizitose, raffinose, D-ribose, sucrose, trehalose, xylan, and D-xylose, but not on avicel, casein-peptone, cellulose, D-galactose, glycerol, inulin, pectin, Lrhamnose, salicin, sorbitol, or yeast extract (Difco). Yeast extract is required for growth when a vitamin solution is added at 0.1 ml/10 ml culture		Anaerobe	4,7	8,8	7,3	50	75	70					https://pubmed.ncbi.nlm.nih.gov/9238102/		286	583357	
Hydrogenobacter halophilus	2547829	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquatic	Hot spring									60	75	70					https://www.semanticscholar.org/paper/Isolation-of-an-obligately-chemolithoautotrophic%2C-Nishihara-Igarashi/ac35d584bc84a92ea64ee4c2ce2ac216db5577d7		287	2547829	
Archaeoglobus infectus	403219	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Aquatic	Hydrothermal field	Chemolithoheterotroph	sulfate-reduction	 could grow on thiosulfate or sulfite as an electron acceptor in the presence of hydrogen. This strain required acetate as a carbon source for its growth, suggesting that the reductive acetyl CoA pathway for CO2 fixation was incomplete. In addition, coenzyme M (2-mercaptoethanesulfonic acid), which is a known methyl carrier in methanogenesis, was also a requirement for growth of the strain		Anaerobe	6,5	7	6,5	60	75	70	150		0,03		https://pubmed.ncbi.nlm.nih.gov/18398174/		288	403219	
Geobacillus galactosidasius	883812	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Compost heap	Chemoorganotroph	polysaccharide metabolism,aerobic respiration	The strain is positive for catalase, oxidase, tyrosine decomposition, hippurate hydrolysis, nitrate and nitrite reduction, and negative with respect to casein hydrolysis, starch hydrolysis, gelatine hydrolysis and phenylalanine deamination. The strain is not sensitive to lysozyme activity. Good growth is obtained on galactose, raffinose, sucrose, cellobiose, xylose, lactose, sodium acetate, n-decane and n-pentadecane		Aerobe	6	8	7,2	50	75	70				Also known as Parageobacillus galactosidasius 	https://pubmed.ncbi.nlm.nih.gov/21645983/		289	883812	
Thermosipho affectus	660294	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent	Organotroph	fermentation,sulfate-reduction	Obtains energy by fermentation of yeast extract, beef extract, glucose, maltose, sucrose, dextrin, starch, microcrystalline cellulose (Avicel), CMC and cellulose (filter paper). Fructose, arabinose, galactose, xylose, cellobiose, chitin, xylan, dextran, methanol, ethanol, sorbitol, mannitol, acetate, formate, pyruvate, tryptone and peptone do not support growth. The main products of glucose fermentation are H2, CO2 and acetate. Elemental sulphur does not stimulate growth and is reduced in the course of fermentation. Sulphate, thiosulphate and nitrate do not influence growth, while sulfite inhibits it.		Anaerobe	5,6	8,2	6,1	37	75	70	101		0,02		https://pubmed.ncbi.nlm.nih.gov/20562244/		290	660294	
Thermosipho geolei	117503	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Oil reservoir	Organotroph	fermentation,sulfate-reduction	"Strain SL31T showed good growth with peptides like beef extract, peptone, papaic digest of soybean meal and yeast extract. Growth occurred on glucose in the presence of yeast extract (50 mg/l""). Casein, fructose, galactose, ribose, arabinose, xylose, maltose, sucrose, starch, xylan, cellulose, pyruvate, succinate, formate, acetate and methanol did not support growth, even when combined with yeast extract (50 mg l−"") or sulfur. Molecular hydrogen, acetate, alanine and CO# were
the main metabolic products detected after glucose fermentation, irrespective of the presence of sulfur."		Anaerobe	6	9,5	7,5	45	75	70	100		0,025		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-51-4-1327		291	117503	
Thermosipho affectus	660294	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent									37	75	70					https://pubmed.ncbi.nlm.nih.gov/20562244/		290	660294	
Thermosipho geolei	117503	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Oil reservoir									45	75	70					https://pubmed.ncbi.nlm.nih.gov/11491329/		291	117503	
Persephonella guaymasensis	182900	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	hydrogen-oxidation,nitrate-reduction	Utilizes H2 , thiosulfate or S0 as an electron donor and O2 or NO3- as an electron acceptor. N2 is formed from NO3-.		Facultative Anaerobe	4,7	7,5	6	55	75	70	138		0,025		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349		294	182900	
Venenivibrio stagnispumantis	407998	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Aquatic	Hot spring	Chemolithotroph	hydrogen-oxidation	Grew chemolithotrophically under microaerobic conditions utilizing H2, sulfur compounds and CO2 as sole carbon source up to a maximum concentration of 109 cells/ml , with a doubling time of 230 min 		Microaerobe	4,8	5,8	5,4	45	75	70					https://pubmed.ncbi.nlm.nih.gov/18218938/		295	407998	
Metallosphaera tengchongensis	1532350	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic 	Hot spring	Chemolithoautotroph,Heterotroph	aerobic respiration	could oxidize S0 and K2S4O6 for autotrophic growth, and also could use organic materials for heterotrophic growth		Aerobe	1,5	6,5	3,5	55	75	70	101		0,005		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.070870-0	https://www.ncbi.nlm.nih.gov/biosample/SAMN02261413	296	1532350	
Acidianus brierleyi	41673	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic	Hot spring	Chemolithotroph,Organotroph	sulfur-reduction,polysaccharide metabolism	 Growth is chemolithotrophic by means of oxidation or reduction of So or by means of oxidation of ferrous iron. Organotrophic growth occurs in the presence of 02 and yeast extract, peptone, tryptone, beef extract, or Casamino Acids		Facultative Anaerobe	1	6	1,75	45	75	70	300				https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-36-4-559		297	41673	DSM 1651
Acidianus tengchongensis	146920	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic 	Hot fumarole	Autotroph,Heterotroph	hydrogen-oxidation,iron-reduction,proteinaceous metabolism	autotrophically using H2 or S0 as an electron donor and Fe3+ as an electron acceptor, and also could grow heterotrophically using some organic compounds. Fe3+ and O2 served as electron acceptors for growth		Facultative Anaerobe	1	5,5	1,75	60	75	70	101				https://pubmed.ncbi.nlm.nih.gov/15057486/		298	146920	
Pseudothermotoga subterranea	39100	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Oil reservoir	Chemoorganotroph	fermentation,thiosulfate-reduction	Isolate SL1 only grew on complex organic substrates, such as yeast extract, peptone, tryptone, or casein (0.2%). In the presence of defined carbon sources (0.2%), such as glucose, maltose, lactose, ribose, raffinose, glycogen, lactate, and acetate, no growth was observed		Anaerobe	6	8,5	7	50	75	70	100		0,012	formerly Thermotoga subterranea	https://pubmed.ncbi.nlm.nih.gov/8588738/		299	39100	
Caldanaerobacter uzonensis	447594	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	: grows by fermentation of pyruvate, fructose, glucose, galactose, lactose, maltose, mannose, trehalose, xylose, arabinose, cellobiose, sorbitol, peptone, dextrin, starch and agarose. No growth occurs with Casamino acids, inositol, mannitol, raffinose, rhamnose, ribose or xylitol. Acetate, H2, CO2, ethanol and lactate are produced during glucose fermentation; alanine is produced in minor amounts. Thiosulfate is reduced to hydrogen sulfide and stimulates growth. Nitrate, sulfate, sulfite and elemental sulfur are not reduced and do not produce stimulating growth effects.		Anaerobe	4,8	8	6,8	50	75	69			0,005		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.012328-0#tab2		300	447594	
Thermosipho globiformans	380685	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent	Chemoorganotroph	iron-reduction	Grows on yeast extract as the sole growth substrate. Uses tryptone and starch in the presence of yeast extract. Uses elemental sulfur, but not thiosulfate, as an electron acceptor for growth.		Anaerobe	5	8,2	6,8	40	75	68			0,025		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.025106-0?crawler=true		301	380685	
Thermosipho globiformans	380685	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent									40	75	68					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.025106-0		301	380685	
Coprothermobacter proteolyticus	309798	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Bioreactor	DRANCO Digester	Chemoorganotroph	fermentation	Utilizes gelatin, peptone, casein, tryptone and bovine serum albumin in the presence of 1 gil yeast extract. Grows on D-fructose, maltose, sucrose, D-xylose, D-mannose, raffinose, D-glucose and starch when yeast extract (1 gil) is added. Does not grow on D-arabinose, melibiose and cellulose. The major fermentation products from gelatin in the presence of yeast extract are acetic acid, H2, CO2, along with smaller quantities of propionic, isobutyric, and isovaleric acids.		Anaerobe	5	9,4	7,1	35	75	67,5	101				https://www.sciencedirect.com/science/article/abs/pii/S0723202011800214?via%3Dihub		303	309798	DSM 5265
Thermobaculum terrenum	525904	Bacteria	Chloroflexi	Thermobacula			Terrestrial	Thermal soil	Heterotroph	polysaccharide metabolism,aerobic respiration	Growth on yeast extract [required for growth factor(s)], fructose, glucose, ribose, sorbitol, sucrose, xylose, and xylitol.		Aerobe	6	8	7	41	75	67			0,005		https://link.springer.com/article/10.1007%2Fs00203-004-0647-7		304	525904	YNP1, ATCC BAA-798
Pseudothermotoga elfii	38322	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Oil well	Chemoorganotroph	fermentation,thiosulfate-reduction	Oxidizes D-glucose, D-arabinose, D-fructose, lactose, maltose, D-mannose, D-ribose, sucrose, and D-xylose in the presence of thiosulfate but not L-arabitol, D-mannitol, L-rhamnose, L-sorbose, L-xylose, acetate, butyrate, lactate, or propionate. Requires yeast extract and bio-Trypticase for growth. Yeast extract cannot be replaced by Casamino Acids, a vitamin solution, or a mixture of Casamino Acids and vitamins. BioTrypticase can be fermented in the presence of yeast extract. The end products of glucose fermentation in the presence of yeast extract and bio-Trypticase are acetate, CO,, and hydrogen. Uses thiosulfate as an electron acceptor during glucose fermentation, and under these conditions the cell density is greater than the cell density when the organism is grown with no added electron acceptor. H,S is produced from thiosulfate-reduction. Elemental sulfur cannot be used as an electron acceptor, and growth is inhibited by elemental sulfur.		Anaerobe	5,5	9	7,5	45	75	66			0,01	formerly known as Thermotoga elfii	https://pubmed.ncbi.nlm.nih.gov/7537064/		305	38322	
Geobacillus sp	581103	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring	Chemoorganotroph	carbon monoxide oxidation	The organism does possess the ability to import and metabolize monosaccharides, oligosaccharides, sugar alcohols, and sugar acids.  A unique feature of Y4.1MC1 is the presence of the Wood-Ljungdahl pathway, previously only found in strict anaerobes. 		Facultative Anaerobe			8,9		75	65	101			non-anaerobic organism with the Wood-Ljungdahl pathway	https://link.springer.com/article/10.1007/s12155-015-9585-2		306	581103	Y4.1MC1
Geobacillus sp	550542	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring	Chemoorganotroph	polysaccharide metabolism	 appears to utilize only some biomass components such as xylan, arabinoglucuronoxylan, and the arabinan component of arabinogalactan. MC52 shows no genes coding for utilization of other biomass components such as cellulose, mannan, glucomannan, galactomannan, chitin, or pectin, confirming experimental observations. The limited range of substrates suggests MC52 functions as part of a microbial consortium in degrading biomass. 		Facultative Anaerobe	5,5	8	7,5	55	75	65	101				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617443/#MOESM1		307	550542	Y412MC52
Parageobacillus caldoxylosilyticus	81408	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Soil sediment									43	75	65				Also known as Saccharococcus caldoxylosilyticus and Geobacillus caldoxylosilyticus	https://pubmed.ncbi.nlm.nih.gov/10758855/		308	81408	
Caldicoprobacter algeriensis	699281	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Aquatic	Hot spring									55	75	65					https://pubmed.ncbi.nlm.nih.gov/20981546/		309	699281	
Desulfurobacterium indicum	1914305	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Aquatic	Hydrothermal vent									40	75	65					https://pubmed.ncbi.nlm.nih.gov/28150576/		310	1914305	
Thermosipho activus	1462921	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Deep sea	Organotroph	fermentation,sulfate-reduction	Obligate organotroph, generates energy by fermentation of glucose, maltose, arabinose, xylose, cellobiose, dextrin, microcrystalline cellulose (Avicel), cellulose (filter paper), amorphous chitin, chitin, xylan, pectin, xanthan gum, yeast and beef extracts, tryptone, casein, gelatin and b-keratin (feathers). Galactose, fructose, sucrose, CM-cellulose, dextran, starch, lichenan, agarose, lignin, peptone, casein hydrolysate, methanol, ethanol, sorbitol, mannitol, acetate, formate and pyruvate do not support growth. The main products of glucose fermentation are hydrogen, carbon dioxide and acetate. Able to reduce elemental sulphur to sulphide, and ferric iron to ferrous iron with no stimulation of growth. Sulphate, thiosulphate, selenate and nitrate do not influence growth, while sulphite and nitrite inhibit growth		Anaerobe	5,5	8	6	44	75	65	101		0,025		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.063156-0		311	1462921	
Thermosipho activus	1462921	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Deep-sea sediments									44	75	65					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.063156-0		311	1462921	
Kosmotoga shengliensis	501340	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Aquatic	oil reservoir	Chemoorganotroph	sulfur-reduction,sulfate-reduction,thiosulfate-reduction	The following substrates support growth: glycerold, maltose, pyruvate, starch, sucrose, tryptone, and xylose. 		Anaerobe	6	8	7	45	75	65			0,015		https://pubmed.ncbi.nlm.nih.gov/20694719/		313	501340	
Methanobacterium thermaggregans	83982	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Animal	Cattle manure									40	75	65					https://link.springer.com/article/10.1007/BF00693393		314	83982	
Metallosphaera cuprina	1006006	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic	Hot spring	Chemolithoautotroph,Organotrophic	aerobic respiration	facultative life on CO2 and organics and obtains energy from oxidation of sulfidic ores and reduced inorganic sulfuric compounds.		Aerobe	2,2	5,5	3,5	55	75	65	101		0,005		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3133273/	https://pubmed.ncbi.nlm.nih.gov/8934897/	315	1006006	Ar-4
Sulfolobus metallicus	47303	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic	Solfataric field	Chemolithoautotroph,Mixotroph	sulfur-oxidation	They required sulfur or a reduced sulfur compound, and sulfur was oxidized to sulfate. Chemolithoautotrophic or mixotrophic growth utilizing yeast extract or glycogen as carbon sources’,		Anaerobe	1	4,5	2,5	50	75	65	101		0,015	also known as Sulfuracidifex metallicus Kra23	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003981#tab2		316	47303	
Caldinitratiruptor microaerophilus	671077	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Aquatic	Hot spring									50	75	65					https://pubmed.ncbi.nlm.nih.gov/20165893/		317	671077	
Rhabdothermus arcticus	874266	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hydrothermal vent	Heterotroph	sulfur-reduction,nitrate-reduction	Obligately heterotrophic, growing on complex organic substrates like yeast extract, Casamino acids, tryptone and peptone. Pyruvate, acetate, butyrate, rhamnose, sucrose and maltodextrin are used as complementary substrates.		Facultative Anaerobe	6	8	7,3	37	75	65	200		0,03		https://pubmed.ncbi.nlm.nih.gov/20935086/		318	874266	
Thermus thermamylovorans	2509362	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring									37	75	65					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003965		319	2509362	
Planifilum yunnanense	337094	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Aquatic	Hot spring									50	75	65					https://pubmed.ncbi.nlm.nih.gov/17684270/		320	337094	
Thermosulfuriphilus ammonigenes	1936021	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Aquatic	Hydrothermal vent									47	75	65					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002142		321	1936021	
Pseudothermotoga lettingae	416591	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Bioreactor	Bioreactor  	Chemoorganotroph	fermentation,thiosulfate-reduction	complex substrates such as yeast extract, peptone, gelatin, biotrypticase or Casamino acids. Uses thiosulfate, elemental sulfur, Fe(III) and anthraquinone2,6-disulfonate, but not sulfate, sulfite, nitrate or cystine, as electron acceptors. Grows on methanol, lactate, pyruvate, glucose, fructose, galactose, mannose, xylose, lactose, maltose, sucrose, arabinose, ribose, cellobiose, rhamnose, glycerol, pectin, methylamines, starch, xylan, 2-oxoglutarate and serine. In the presence of thiosulfate or a methanogen, it can grow on acetate, betaine, leucine, isoleucine and valine. In the presence of thiosulfate, it grows on formate and H# }CO# but not on choline, benzoate, mannitol, butanol, isobutanol, 2,3-butandiol, propanol, butyrate or succinate. Methanol degradation occurs in syntrophic culture with Methanothermobacter thermautotrophicus ∆H or Thermodesulfovibrio yellowstonii. Thiosulfate enhances the growth rate and substrate conversion.		Anaerobe	6	8,5	7	50	75	65	100		0,01	formerly known as Thermotoga lettingae	https://pubmed.ncbi.nlm.nih.gov/12148651/		322	416591	TMO
Candidatus Nitrosocaldus islandicus	2045011	Archaea	Thaumarchaeota				Aquatic	Hot spring	chemolithoautotroph	fermentation,ammonia-oxidation	Comparative analysis of its closed genome revealed several surprising features like the absence of DNA polymerase D and the lack of canonical NO-generating enzymes, although physiological experiments with a NO-scavenger demonstrated NO-dependent ammonia-oxidation, as described for other AOA		Aerobe	6		7,5	50	75	65					https://www.frontiersin.org/articles/10.3389/fmicb.2018.00193/abstract		323	2045011	
Ardenticatena maritima	872965	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Aquatic	Hydrothermal field	Chemoheterotroph	monosaccharide metabolism,disaccharide metabolism	Aerobic growth is observed with trehalose, sucrose, raffinose, starch, pyruvate, yeast extract and tryptone. Weak growth occurs with asparagine, glutamine, acetate, succinate, butyrate, malate and crotonate. Casamino acids are utilized only in the presence of trace vitamin solution. Glucose and maltose are utilized only in the presence of yeast extract. The following substrates are not utilized: arginine, aspartate, phenylalanine, proline, serine, valine, fructose, arabinose, galactose, xylose, cellobiose, lactose, mannose, ribose, betaine, fumarate, citrate, formate, lactic acid, propionic acid, methanol, ethanol, propanol or glycerol. Ferrihydrite, ferric citrate and nitrate are utilized as electron acceptors under anaerobic conditions. Nitrite, sulfate, sulfite, thiosulfate, elemental sulfur and fumarate are not utilized as electron acceptors.		Facultative Anaerobe	5,5	8	6,75	35	75	62,5	100		0,015		https://pubmed.ncbi.nlm.nih.gov/23378114/		324	872965	
Geobacillus icigianus	1430331	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aquatic	Hot spring	Chemoorganotroph	monosaccharide metabolism	Oxidase-negative, but catalase- and urease-positive. Aesculin and casein are hydrolyzed, but starch and ONPG are not. Growth occurs on yeast extract; glucose and xylose can be utilized as sole carbon sources. Gelatin hydrolysis and nitrate-reduction are positive and the Voges–Proskauer reaction is weak, but citrate utilization, and arginine, lysine, ornithine and malonate production are negative. Utilization of adonitol, sorbitol and dulcitol is weak. Acid is produced from d-xylose but not from lactose or inositol. Production of acids from cellobiose, glucose, mannitol, melibiose, raffinose, rhamnose, sucrose and trehalose is weak.		Facultative Anaerobe	5	9	6,75	50	75	62,5	101		0,01		https://pubmed.ncbi.nlm.nih.gov/25514918/		325	1430331	
Caloramator indicus	33957	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Aquatic	Aquifer									37	75	62,5					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-2-497		326	33957	
Desulfotomaculum salinum	314583	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Wastewater	Wastewater treatment lagoon									45	75	62,5					https://link.springer.com/article/10.1007/s11021-005-0104-x		327	314583	
Methanothermococcus okinawensis	647113	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Aquatic	Hydrothermal vent	Autotroph,Lithotroph	methanogenesis 		Na+	Anaerobe	4,5	8,5	6,5	40	75	62	300		0,0225		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/52/4/0521089a.pdf?expires=1612910536&id=id&accname=guest&checksum=036D0D95F8E16C6DA7EF814174366595		328	647113	IH1
Desulfotomaculum thermocisternum	42471	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Aquatic	Oil well									41	75	62					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-2-397		329	42471	
