Name	Strain	Temp	Source_ID	ncbiTaxID	Genome
Penicillium corylophilum	CBS 312.48	24	CECT 2270	70792	
Pestalotia sp.	EAN 176	24	CECT 2272	-1	
Penicillium steckii	IMI 68229	24	CECT 2273	303698	
Penicillium citrinum	IMI 24306	24	CECT 2274	5077	
Penicillium expansum	IMI 28619	24	CECT 2275	27334	
Penicillium expansum	DSMZ 1282	24	CECT 2278	27334	
Penicillium expansum	DSMZ 1994	24	CECT 2279	27334	
Penicillium expansum	NRRL 2304	24	CECT 2280	27334	
Penicillium hordei	IMI 151748	24	CECT 2290	40994	
Penicillium crustosum	nan	24	CECT 2294	36656	
Penicillium rubens	IMI 15378	26	CECT 2306	1108849	
Penicillium chrysogenum	IMI 38632	24	CECT 2307	5076	
Penicillium brevicompactum	DSMZ 2215	24	CECT 2316	5074	
Penicillium velutinum	CBS 250.32	24	CECT 2318	70106	
Penicillium nordicum	NRRL 6063	24	CECT 2320	229535	
Rhizopus arrhizus	IMI 90340	24	CECT 2339	64495	
Rhizopus arrhizus	QM 1032	24	CECT 2340	64495	
Rhizopus stolonifer	ATCC 24862	24	CECT 2344	4846	
Neocamarosporium betae	DSMZ 63181	24	CECT 2348	1979465	
Phytophthora plurivora	Tuset 295	24	CECT 2351	639000	
Phytophthora citrophthora	Tuset 143	24	CECT 2352	4793	
Phytophthora citrophthora	DSMZ 62669	24	CECT 2353	4793	
Pythium ultimum	IMI 82514	24	CECT 2364	-1	
Pythium ultimum	nan	24	CECT 2365	-1	
Fusarium oxysporum	nan	24	CECT 2368	5507	
Stachybotrys chartarum	nan	26	CECT 2380	74722	
Trichothecium roseum	IMI 50660	26	CECT 2410	47278	
Trichoderma longibrachiatum	IMI 73022	26	CECT 2412	5548	
Trichoderma simmonsii	NBT 34	24	CECT 2413	1491479	
Trichoderma reesei	QM 9414	24	CECT 2414	51453	
Trichoderma reesei	NRRL 11236	26	CECT 2415	51453	
Trichoderma reesei	NRRL 12368	26	CECT 2416	51453	
Trichoderma simmonsii	nan	26	CECT 2423	1491479	
Trichoderma harzianum	NBT 24	24	CECT 2424	5544	
Trichoderma virens	IMI 45553	24	CECT 2460	29875	
Aspergillus versicolor	nan	24	CECT 2544	46472	
Aspergillus tubingensis	nan	24	CECT 2545	5068	
Aspergillus sclerotiorum	nan	24	CECT 2546	138282	
Emericella quadrilineata	IMI 16643	24	CECT 2548	-1	
Neopestalotiopsis sp	nan	24	CECT 2551	-1	
Circinella muscae	ATCC 9025	24	CECT 2565	1171613	
Syncephalastrum racemosum	QM 57a	24	CECT 2569	13706	
Aspergillus brasiliensis	IMI 149007	26	CECT 2574	319629	
Aspergillus tubingensis	IMI 31283	24	CECT 2575	5068	
Eurotium amstelodami	IMI 17455	24	CECT 2586	-1	
Emericella violacea	IMI 61449	24	CECT 2587	-1	
Penicillium griseofulvum	IMI 75832	24	CECT 2605	5078	
Trichoderma orientale	NBT 12	24	CECT 2606	1490998	
Rasamsonia emersonii	IMI 116815	40	CECT 2607	68825	
Neurospora crassa	IMI 53239	26	CECT 2619	5141	
Neurospora crassa	FGSC 487	26	CECT 2621	5141	
Neurospora crassa	FGSC 488	26	CECT 2622	5141	
Neurospora crassa	FGSC 3515	26	CECT 2623	5141	
Neurospora crassa	FGSC 3516	26	CECT 2624	5141	
Neurospora sitophila	IMI 21944	24	CECT 2630	40126	
Mucor mucedo	IMI 103731	24	CECT 2653	29922	
Mucor circinelloides	ATCC 24905	26	CECT 2655	36080	
Aureobasidium melanogenum	CBS 105.22	26	CECT 2658	46634	
Aureobasidium pullulans	nan	24	CECT 2660	5580	
Alternaria alternata	IMI 89344	24	CECT 2662	5599	
Aspergillus terreus	IMI 45543	26	CECT 2663	33178	
Aspergillus versicolor	IMI 49124	24	CECT 2664	46472	
Cladosporium allicinum	IMI 49630	24	CECT 2665	1338630	
Bipolaris bicolor	IMI 118839	24	CECT 2667	102001	
Penicillium chrysogenum	IMI 37767	24	CECT 2668	5076	
Penicillium chrysogenum	Ferrer BIC-1	24	CECT 2669	5076	
Mucor racemosus	IMI 114891	24	CECT 2670	4841	
Rhizopus arrhizus	IMI 61269	24	CECT 2672	64495	
Aspergillus clavatus	IMI 54399	24	CECT 2673	5057	
Aspergillus clavatus	DSM 816	24	CECT 2674	5057	GCF_000002715.2
Chaetomium globosum	IMI 107512	24	CECT 2677	38033	
Aspergillus parasiticus	IMI 120920	24	CECT 2680	5067	
Aspergillus parasiticus	NRRL 2999	24	CECT 2681	5067	
Aspergillus parasiticus	NRRL 3145	24	CECT 2682	5067	
Aspergillus flavus	NRRL 6412	26	CECT 2684	5059	
Aspergillus flavus	nan	26	CECT 2685	5059	
Aspergillus flavus	NRRL 6541	24	CECT 2686	5059	
Aspergillus flavus	NRRL 6540	24	CECT 2687	5059	
Aspergillus parasiticus	NRRL 3386	24	CECT 2688	5067	
Aspergillus parasiticus	ATCC 36537	24	CECT 2689	5067	
Aspergillus parasiticus	nan	24	CECT 2690	5067	
Verticillium albo-atrum	IMI 62131	24	CECT 2693	27335	
Verticillium dahliae	CBS 381.66	24	CECT 2694	27337	
Gibellulopsis nigrescens	IMI 118380	24	CECT 2696	796325	
Aspergillus brasiliensis	IMI 91855	24	CECT 2700	319629	
Chaetomium globosum	IMI 45550	24	CECT 2701	38033	
Talaromyces pinophilus	IMI 87160	24	CECT 2702	128442	
Aureobasidium melanogenum	IMI 145194	24	CECT 2703	46634	
Beauveria bassiana	IMI 12939	24	CECT 2704	176275	
Cordyceps fumosorosea	IMI 58433	24	CECT 2705	114497	
Albifimbria verrucaria	IMI 44743	24	CECT 2713	1859699	
Fusarium oxysporum	IMI 141140	24	CECT 2715	5507	
Exserohilum rostratum	IMI 76563	24	CECT 2716	1659837	
Acremonium chrysogenum	IMI 91579	24	CECT 2718	-1	
Acremonium chrysogenum	Pisano 3C	24	CECT 2719	-1	
Ceratocystis adiposa	IMI 99465	24	CECT 2720	72027	
Acremonium chrysogenum	Lein C-10	24	CECT 2721	-1	
Disporotrichum dimorphosporum	J395	24	CECT 2722	2081349	
Acremonium chrysogenum	nan	24	CECT 2723	-1	GCA_000769265.1
Venturia pyrina	IMI 61539	20	CECT 2725	415593	
Neurospora crassa	nan	26	CECT 2727	5141	
Neurospora crassa	nan	26	CECT 2728	5141	
Neurospora crassa	nan	26	CECT 2729	5141	
Neurospora crassa	nan	26	CECT 2730	5141	
Clonostachys chloroleuca	IMI 40022	24	CECT 2733	1926264	
Trichoderma virens	IMI 146935	24	CECT 2734	29875	
Penicillium raistrickii	Quintanilla 1012	24	CECT 2735	69783	
Penicillium raistrickii	Quintanilla 1024	24	CECT 2736	69783	
Penicillium raistrickii	Quintanilla 1036	24	CECT 2737	69783	
Penicillium mariae-crucis	Quintanilla 957	24	CECT 2738	756381	
Penicillium mariae-crucis	Quintanilla 1022	24	CECT 2739	756381	
Penicillium mariae-crucis	Quintanilla 1034	24	CECT 2740	756381	
Penicillium mariae-crucis	Quintanilla 1131	24	CECT 2741	756381	
Penicillium mariae-crucis	Quintanilla 977	24	CECT 2742	756381	
Penicillium mariae-crucis	Quintanilla 990	24	CECT 2743	756381	
Penicillium smithii	Quintanilla 1097	24	CECT 2744	1167578	
Penicillium smithii	Quintanilla 1112	24	CECT 2745	1167578	
Penicillium simplicissimum	Quintanilla 1111	24	CECT 2746	69488	
Penicillium simplicissimum	Quintanilla 1096	24	CECT 2747	69488	
Aspergillus floccosus	ATCC 11877	24	CECT 2748	658358	
Rhizomucor miehei	IMI 125823	30	CECT 2749	4839	
Fusicoccum tingens	CBS 199.37	24	CECT 2750	-1	
Penicillium sajarovii	Quintanilla 1099	24	CECT 2751	1167548	
Penicillium rubefaciens	Quintanilla 1133	24	CECT 2752	1167576	
Penicillium roseopurpureum	Quintanilla 1134	24	CECT 2753	69786	
Penicillium soppii	Quintanilla 1150	24	CECT 2754	69789	
Penicillium caerulescens	Quintanilla 1147	24	CECT 2755	-1	
Penicillium caerulescens	Quintanilla 1152	24	CECT 2756	-1	
Podospora pauciseta	wild s	24	CECT 2760	2587415	
Penicillium islandicum	nan	24	CECT 2762	-1	
Rhizopus microsporus	CBS 607.73	24	CECT 2763	58291	
Talaromyces coalescens	Quintanilla 1138	24	CECT 2764	1131645	
Talaromyces coalescens	Quintanilla 1144	24	CECT 2765	1131645	
Talaromyces coalescens	Quintanilla 1179	24	CECT 2766	1131645	
Sclerotinia sclerotiorum	IMI 101574	24	CECT 2769	5180	
Talaromyces pittii	Quintanilla 1240	24	CECT 2770	128440	
Talaromyces rademirici	Quintanilla 1248	24	CECT 2771	1131653	
Penicillium minioluteum	Quintanilla 1032	24	CECT 2772	-1	
Penicillium minioluteum	Quintanilla 1283	24	CECT 2773	-1	
Rhizopus arrhizus	NRRL 6400	24	CECT 2774	64495	
Aspergillus niger	NRRL 330	24	CECT 2775	5061	
Bipolaris spicifera	CBS 197.31	24	CECT 2776	-1	
Phanerochaete chrysosporium	ATCC 32629	24	CECT 2777	-1	
Aphysiostroma stercorarium	IJFM A-121	24	CECT 2778	-1	
Phanerochaete chrysosporium	DSM 1556	24	CECT 2779	-1	
Trichophyton mentagrophytes	nan	26	CECT 2783	523103	
Penicillium chrysogenum	Ferrer BIC- 8; Wis 49-2105	24	CECT 2784	5076	
Penicillium rubens	Ferrer BIC-11	24	CECT 2785	1108849	
Penicillium chrysogenum	Ferrer BIC-12	25	CECT 2786	5076	
Penicillium rubens	Ferrer BIC-13	24	CECT 2787	1108849	
Penicillium rubens	Ferrer BIC-14	24	CECT 2788	1108849	
Penicillium chrysogenum	Ferrer BIC-16	24	CECT 2789	5076	
Penicillium chrysogenum	Ferrer BIC-17	24	CECT 2790	5076	
Pithoascus schumacheri	IJFM A-281	24	CECT 2792	-1	
Trichophyton mentagrophytes	CBS 570.80	24	CECT 2793	523103	
Trichophyton rubrum	CBS 218.65	24	CECT 2794	5551	
Trichophyton mentagrophytes	CBS 572.75	24	CECT 2795	523103	
Epidermophyton floccosum	CBS 240.67	30	CECT 2796	34391	
Arthroderma otae	CBS 643.74	28	CECT 2797	-1	
Phanerochaete chrysosporium	CBS 481.73	26	CECT 2798	-1	
Sporothrix pallida	CBS 302.73	26	CECT 2799	431197	
Melanospora tiffanyae	ATCC 15515	24	CECT 2800	2038071	
Aspergillus hennebergii	CBS 118.35	24	CECT 2801	571603	
Penicillium rubens	Ferrer BIC-127	24	CECT 2802	1108849	
Byssochlamys spectabilis	CBS 102.74	24	CECT 2803	-1	
Stachybotrys chartarum	CBS 182.80	26	CECT 2804	74722	
Aspergillus niger	VTT D-77050	24	CECT 2805	5061	
Aspergillus niger	VTT D-77053	26	CECT 2806	5061	
Aspergillus niger	DSM 1957	24	CECT 2807	5061	
Aspergillus terreus	DSM 1958	26	CECT 2808	33178	
Penicillium pinophilum	DSM 1944	24	CECT 2809	-1	
Penicillium ochrochloron	DSM 1945	24	CECT 2810	69780	
Penicillium venetum	CBS 201.57	25	CECT 2812	85081	
Thanatephorus cucumeris	CBS 280.36	26	CECT 2813	107832	
Aspergillus amoenus	DSM 1943	24	CECT 2814	1220191	
Thanatephorus cucumeris	Alfaro 225	26	CECT 2815	107832	
Rosellinia necatrix	Alfaro 69	24	CECT 2817	77044	
Rosellinia necatrix	Alfaro 136	24	CECT 2818	77044	
Thanatephorus cucumeris	Alfaro 28	26	CECT 2819	107832	
Sclerotinia sclerotiorum	Alfaro 306	24	CECT 2822	5180	
Sclerotinia sclerotiorum	Alfaro 1	24	CECT 2823	5180	
Stromatinia gladioli	Alfaro 445	24	CECT 2824	-1	
Stromatinia gladioli	Alfaro 420	24	CECT 2825	-1	
Stromatinia gladioli	Alfaro 414	24	CECT 2826	-1	
Stromatinia gladioli	Alfaro 326	24	CECT 2827	-1	
Thanatephorus cucumeris	nan	26	CECT 2829	107832	
Emericella corrugata	IMI 212201	24	CECT 2830	-1	
Emericellopsis minima	DSM 925	24	CECT 2831	45245	
Emericella nidulans	BIA 1	24	CECT 2833	-1	
Emericella nidulans	Ferrer BIA 2; Peberdy 2.49	26	CECT 2834	-1	
Epicoccum nigrum	Alfaro 346	24	CECT 2848	105696	
Colletotrichum americae-borealis	nan	24	CECT 2849	1585796	
Botryotinia fuckeliana	Alfaro 141	24	CECT 2850	-1	
Botrytis aclada	Alfaro 149	24	CECT 2851	139639	
Cercospora beticola	Alfaro 300	24	CECT 2852	122368	
Colletotrichum coccodes	Alfaro 151	24	CECT 2853	27358	
Colletotrichum nigrum	Alfaro 219	24	CECT 2854	1300063	
Colletotrichum nigrum	Alfaro 218	24	CECT 2855	1300063	
Colletotrichum circinans	Alfaro 222	24	CECT 2856	145973	
Glomerella cingulata	Alfaro 231	24	CECT 2859	-1	
Glomerella cingulata	Alfaro 228	24	CECT 2860	-1	
Colletotrichum destructivum	Alfaro 354	24	CECT 2861	34406	
Fusarium oxysporum	Alfaro 17	24	CECT 2865	5507	
Fusarium oxysporum	Alfaro 20	24	CECT 2866	5507	
Fusarium oxysporum	Alfaro 16	24	CECT 2867	5507	
Fusarium oxysporum	Alfaro 78	24	CECT 2868	5507	
Fusarium oxysporum	Alfaro 79; Magie 2764A	24	CECT 2869	5507	
Fusarium oxysporum	nan	24	CECT 2870	5507	
Fusarium oxysporum	Alfaro 374	24	CECT 2871	5507	
Colletotrichum sojae	Alfaro 212	24	CECT 2873	2175907	
Botryosphaeria dothidea	Alfaro 296	24	CECT 2875	55169	
Pyrenochaeta cava	nan	24	CECT 2876	-1	
Phoma destructiva	Alfaro 516	24	CECT 2877	-1	
Didymella heteroderae	Alfaro 399	24	CECT 2878	1769908	
Didymella pomorum	Alfaro 116	24	CECT 2880	749634	
Diaporthe ambigua	Alfaro 247	24	CECT 2881	73123	
Diaporthe ambigua	nan	24	CECT 2882	73123	
Verticillium dahliae	Alfaro 411	24	CECT 2884	27337	
Penicillium chrysogenum	nan	24	CECT 2885	5076	
Penicillium novae-zeelandiae	nan	24	CECT 2886	434487	
Aspergillus wentii	nan	24	CECT 2887	5066	
Penicillium burgense	Quintanilla 1538	24	CECT 2889	1167485	
Aspergillus versicolor	NRRL 573	26	CECT 2890	46472	
Trichophyton benhamiae	CBS 280.83	24	CECT 2891	63400	
Trichophyton benhamiae	CBS 623.66	24	CECT 2892	63400	
Trichophyton benhamiae	CBS 624.66	24	CECT 2893	63400	
Trichophyton benhamiae	CBS 807.72	24	CECT 2894	63400	
Trichophyton benhamiae	IHEM 4033	26	CECT 2895	63400	
Trichophyton benhamiae	IHEM 3287	24	CECT 2896	63400	
Trichophyton benhamiae	IHEM 3288	24	CECT 2897	63400	
Trichophyton benhamiae	IHEM 4032	24	CECT 2898	63400	
Trichophyton mentagrophytes	IHEM 3289	24	CECT 2899	523103	
Trichophyton mentagrophytes	IHEM 3299	24	CECT 2900	523103	
Trichophyton interdigitale	IHEM 4028	24	CECT 2901	101480	
Trichophyton mentagrophytes	IHEM 4029	24	CECT 2902	523103	
Aspergillus versicolor	nan	24	CECT 2903	46472	
Penicillium roqueforti	IMI 024313	24	CECT 2905	5082	GCA_001599855.1
Aspergillus niger	MUCL 28815	24	CECT 2907	5061	
Nannizzia gypsea	IHEM 3999	26	CECT 2908	63402	
Monascus ruber	DSMZ 1561	24	CECT 2909	89489	
Monascus ruber	IMI 57972	24	CECT 2910	89489	
Talaromyces pinophilus	nan	24	CECT 2911	128442	
Talaromyces pinophilus	DSM 1960	24	CECT 2912	128442	
Talaromyces amestolkiae	nan	24	CECT 2913	1196081	
Talaromyces pinophilus	DSM 62844	24	CECT 2914	128442	
Aspergillus niger	NRRL 567	24	CECT 2915	5061	
Cladosporium pseudocladosporioides	nan	24	CECT 2916	887100	
Aspergillus ostianus	Sanchis 17	25	CECT 2917	138279	
Penicillium polonicum	nan	26	CECT 2918	60169	
Penicillium griseofulvum	Sanchis 2/84/5	26	CECT 2919	5078	
Penicillium griseofulvum	nan	26	CECT 2920	5078	
Trichophyton interdigitale	Emmons NIH 640; EMPA St. Gallen, 334	30	CECT 2921	101480	
Eurotium pseudoglaucum	nan	24	CECT 2922	-1	
Trichoderma afroharzianum	NBT 35	26	CECT 2923	1567482	
Trichoderma afroharzianum	NBT 36	24	CECT 2924	1567482	
Trichoderma breve	NBT 37	24	CECT 2925	2034170	
Trichoderma harzianum	NBT 38	24	CECT 2926	5544	
Trichoderma harzianum	NBT 39	24	CECT 2927	5544	
Trichoderma harzianum	NBT 40	24	CECT 2928	5544	
Trichoderma harzianum	NBT 41	24	CECT 2929	5544	
Trichoderma afroharzianum	NBT 42	24	CECT 2930	1567482	
Trichoderma afroharzianum	NBT 43	24	CECT 2931	1567482	
Trichoderma afroharzianum	NBT 44	26	CECT 2932	1567482	
Trichoderma breve	NBT 45	24	CECT 2933	2034170	
Trichoderma koningiopsis	NBT 14	24	CECT 2934	337941	
Trichoderma afroharzianum	NBT 27	24	CECT 2935	1567482	
Trichoderma koningii	NBT 13	24	CECT 2936	97093	
Trichoderma longibrachiatum	NBT 16	24	CECT 2937	5548	
Trichoderma viride	NBT 2	24	CECT 2938	5547	
Trichoderma viride	NBT 26	26	CECT 2939	5547	
Trichoderma paraviridescens	NBT 29	26	CECT 2940	1383389	
Trichoderma asperellum	nan	24	CECT 2941	101201	
Trichoderma viride	NBT 22	24	CECT 2942	5547	
Trichoderma viride	NBT 23	24	CECT 2943	5547	
Trichoderma viride	NBT 21	24	CECT 2944	5547	
Trichoderma afroharzianum	NBT 28	26	CECT 2945	1567482	
Aspergillus parasiticus	nan	24	CECT 2947	5067	
Aspergillus westerdijkiae	NRRL 3174	24	CECT 2948	357447	
Aspergillus flavus	MUCL 19006	26	CECT 2949	5059	
Talaromyces luteus	nan	24	CECT 2950	-1	
Hirsutella thompsonii	IMI 234140	24	CECT 2951	42368	
Metarhizium anisopliae	MUCL 9815	24	CECT 2952	5530	
Akanthomyces muscarius	MUCL 8115	24	CECT 2953	2231603	
Penicillium digitatum	nan	20	CECT 2954	36651	
Monascus purpureus	IMI 210765	30	CECT 2955	5098	
Trichophyton erinacei	Marples FM 10	28	CECT 2956	523106	
Arthroderma vanbreuseghemii	CBS 845.73	28	CECT 2957	-1	
Arthroderma vanbreuseghemii	B 66-7864	28	CECT 2958	-1	
Passalora fulva	MUCL 31665	20	CECT 2961	-1	
Passalora fulva	MUCL 722	20	CECT 2962	-1	
Monosporascus cannonballus	nan	20	CECT 2963	155416	
Phytophthora cinnamomi	IMI 077375	26	CECT 2965	4785	
Schizophyllum commune	nan	26	CECT 2967	5334	
Aspergillus aculeatus	nan	26	CECT 2968	5053	
Aspergillus ochraceus	nan	24	CECT 2969	40380	
Aspergillus ochraceus	nan	24	CECT 2970	40380	
Mycena citricolor	CBS 193.57	24	CECT 2973	2018698	
Mortierella cystojenkinii	CBS 696.70	20	CECT 2977	-1	
Mortierella globalpina	CBS 360.70	24	CECT 2978	589210	
Mortierella verticillata	Tubaki E-3-4	24	CECT 2979	-1	
Mortierella amoeboidea	CBS 343.66	24	CECT 2980	-1	
Mortierella alpina	CBS 210.32	24	CECT 2981	64518	
Gibberella moniliformis	nan	26	CECT 2982	-1	
Byssochlamys spectabilis	IMI 108007	24	CECT 2983	-1	
Scopulariopsis brevicaulis	IMI 049528	24	CECT 2984	561152	
Scopulariopsis brevicaulis	nan	24	CECT 2985	561152	
Microascus manginii	Cabañes CCFVB 434	24	CECT 2986	-1	
Gibberella moniliformis	Cabañes F10/5E192	24	CECT 2987	-1	
Arthroderma uncinatum	nan	24	CECT 2988	74035	
Paraphyton mirabile	Cabañes M23	26	CECT 2989	1051790	
Microsporum gypseum	Cabañes M60	26	CECT 2990	-1	
Trichophyton ajelloi	Cabañes T2.8al	24	CECT 2991	-1	
Trichophyton verrucosum	Cabañes T16.83/89	24	CECT 2992	63417	
Botryotinia fuckeliana	IMI 124882	24	CECT 2996	-1	
Alternaria linariae	IMI 046816	24	CECT 2997	1568907	
Arthroderma quadrifidum	nan	20	CECT 2998	69888	
Arthroderma uncinatum	MUCL 8232	20	CECT 2999	74035	
Rhodococcus fascians	NRRL B-15096	30	CECT 3001	1828	
Dermatophilus congolensis	DSM 43037	37	CECT 3007	1863	
Rhodococcus erythropolis	NCIMB 8147	30	CECT 3008	1833	
Mycobacterium phlei	NCTC 8151	37	CECT 3009	-1	GCA_001582015.1; GCA_001583415.1
Rhodococcus sp	NCIMB 9457	30	CECT 3012	-1	
Rhodococcus erythropolis	NCIMB 9158	30	CECT 3013	1833	GCA_001552595.1
Rhodococcus sp	NCIMB 10554	30	CECT 3014	-1	
Mycobacterium phlei	IFO 3158	37	CECT 3016	-1	
Mycobacterium smegmatis	NCIMB 9953	37	CECT 3017	-1	
Mycobacterium sp	NRRL B-3805	30	CECT 3018	-1	
Mycolicibacterium vaccae	NCIMB 9937	37	CECT 3019	1810	GCA_001552715.1
Mycolicibacterium smegmatis	NCTC 8159	37	CECT 3020	1772	GCA_001457595.1
Mycolicibacterium alvei	CR-21	30	CECT 3021	67081	
Mycolicibacterium brumae	CR-270	37	CECT 3022	85968	GCA_900073015.1; GCA_002553575.2
Mycolicibacterium peregrinum	DSM 43271	37	CECT 3023	43304	GCA_002102345.1
Mycobacterium sp	NCTC 10270	37	CECT 3026	-1	
Mycolicibacterium flavescens	CCTM La 2409	37	CECT 3027	1776	
Mycolicibacter terrae	CCTM La 434	37	CECT 3028	1788	GCA_002101955.1; GCA_900187145.1
Mycobacterium gordonae	CCTM La 587	37	CECT 3029	1778	
Mycobacterium kansasii	CCTM La 2401	37	CECT 3030	1768	GCA_000157895.2
Mycobacterium smegmatis	CCTM La 954	37	CECT 3032	-1	
Mycolicibacterium smegmatis	CIP 73.26	37	CECT 3033	1772	
Mycobacterium colombiense	10B	37	CECT 3035	339268	GCA_000222105.3; GCA_002105755.1
Nocardia farcinica	NCTC 630	30	CECT 3042	37329	
Actinomadura madurae	NCTC 5654	37	CECT 3043	1993	
Pseudonocardia autotrophica	NCIMB 8939	30	CECT 3044	2074	
Rhodococcus rhodochrous	ATCC 4273	30	CECT 3046	1829	
Rhodococcus sp	NCIMB 11216	30	CECT 3048	-1	
Cellulosimicrobium cellulans	ATCC 27402	30	CECT 3050	1710	
Nocardia asteroides	NCTC 11293	30	CECT 3051	1824	GCA_000308355.2
Nocardia brasiliensis	NCTC 11294	30	CECT 3052	37326	GCA_000308475.2
Nocardia farcinica	NCTC 11134	37	CECT 3053	37329	GCA_001182745.2; GCA_001612925.1
Rhodococcus erythropolis	UPV1	30	CECT 3054	1833	
Tsukamurella paurometabola	DSM 20162	30	CECT 3055	521096	GCA_000092225.1
Nocardia nova	NBRC 15556	37	CECT 3056	1210081	GCA_001613005.1
Skermania piniformis	DSM 43998	26	CECT 3057	39122	GCA_001552855.1
Streptomyces venezuelae	Rodriguez 11	30	CECT 3069	54571	
Streptomyces phaeochromogenes	NCIMB 8505	30	CECT 3070	1923	GCA_001418655.1
Streptomyces achromogenes	ATCC 12767	30	CECT 3074	67255	GCA_000720835.1
Streptomyces achromogenes	NCIMB 9516	30	CECT 3075	67255	
Streptomyces achromogenes	NCIMB 9753	30	CECT 3076	67255	
Streptomyces albus	NCIMB 9558	30	CECT 3077	1888	
Streptomyces violaceoruber	Hopwood A3(2)	30	CECT 3080	1935	
Streptomyces sp	Peberdy IxMP	30	CECT 3084	-1	
Streptomyces violaceoruber	Kutzner 673	30	CECT 3086	1935	
Micromonospora sp	CBS 270.62	30	CECT 3087	-1	
Micromonospora echinospora	ATCC 15835	30	CECT 3088	1877	
Streptomyces griseus	GM	30	CECT 3102	1911	
Streptomyces griseus	NCTC 7807	30	CECT 3106	1911	
Streptomyces griseus	PSA 62	30	CECT 3107	1911	
Streptomyces venezuelae	NCIMB 8231	30	CECT 3113	54571	
Streptomyces griseus	NCIB 8232	30	CECT 3116	1911	
Streptomyces griseus	NCTC 6962	30	CECT 3117	1911	
Streptomyces scabiei	CMI 99049	30	CECT 3120	1930	
Streptomyces griseus	ATCC 19885	30	CECT 3122	1911	
Streptomyces clavuligerus	ATCC 27064	30	CECT 3125	1901	GCA_000148465.1; GCA_000163875.1; GCA_000154925.1
Streptomyces flavovirens	DSM 40990	30	CECT 3129	52258	
Streptomyces anulatus	ATCC 15860	30	CECT 3130	1892	
Streptomyces fradiae	NCIMB 10812	30	CECT 3131	1906	
Streptomyces glaucescens	ATCC 23622	30	CECT 3133	1907	GCA_002154375.1
Streptomyces glaucescens	ETH 22794	30	CECT 3134	1907	
Streptomyces wellingtoniae	DSM 40632	30	CECT 3136	476555	
Streptomyces mordarskii	DSM 40771	30	CECT 3137	1226758	
Streptomyces hygroscopicus	DSM 40821	30	CECT 3138	1912	
Streptomyces ascomycinicus	DSM 40822	30	CECT 3139	476551	
Streptomyces sp	NCIMB 8592	30	CECT 3145	-1	
Streptomyces spectabilis	NCIMB 9733	30	CECT 3146	68270	
Streptomyces flavovirens	CBS 128	30	CECT 3153	52258	
Streptomyces lusitanus	CBS 500.62	30	CECT 3162	68232	
Streptomyces lydicus	DSM 40461	30	CECT 3163	47763	GCA_000717345.1
Streptomyces scabiei	CCM 3197	30	CECT 3167	1930	
Streptomyces odorifer	PSA 104	30	CECT 3178	53450	
Streptomyces flaveolus	PSA 108	30	CECT 3181	67297	
Micromonospora chalcea	CBS 269.62	30	CECT 3195	1874	GCA_002926165.1
Streptomyces violaceus	Muñoz-Ruiz 52	30	CECT 3196	1936	
Streptomyces fradiae	CMI 61202	30	CECT 3197	1906	GCA_002119225.1; GCA_002154445.1
Streptomyces cinnamonensis	ATCC 12308	30	CECT 3198	-1	
Streptomyces cinnamonensis	ATCC 15413	30	CECT 3199	-1	
Saccharopolyspora erythraea	ATCC 11635	30	CECT 3200	1836	GCA_000062885.1; GCA_000171635.1; GCA_002564065.1
Streptomyces griseolus	CBS 344.35	30	CECT 3201	1909	
Streptomyces violaceus	PSA 256	30	CECT 3204	1936	
Streptomyces aureofaciens	PSA 93	30	CECT 3207	-1	
Streptomyces flavovirens	Laborda FL 44	30	CECT 3208	52258	
Streptomyces geysiriensis	CBS 546.70	30	CECT 3209	68207	
Streptomyces ghanaensis	CBS 544.70	30	CECT 3210	-1	GCA_000156435.1
Streptomyces prasinus	ATCC 13879	30	CECT 3211	67345	
Streptomyces ederensis	ATCC 15304	30	CECT 3212	-1	
Streptomyces antibioticus	ATCC 11891	30	CECT 3213	1890	
Streptomyces kanamyceticus	ATCC 21252	30	CECT 3214	1967	
Streptomyces violascens	ATCC 23968	30	CECT 3215	67381	
Streptomyces viridochromogenes	CBS 648.72	30	CECT 3216	1938	
Streptomyces halstedii	CBS 756.72	30	CECT 3217	1944	
Saccharopolyspora rectivirgula	CUB 55	45	CECT 3218	28042	
Thermoactinomyces vulgaris	CUB 749	50	CECT 3219	2026	
Laceyella putida	CUB 731	45	CECT 3220	110101	
Laceyella sacchari	CUB57	50	CECT 3221	37482	
Laceyella sacchari	NCIMB 9780	45	CECT 3222	37482	
Saccharopolyspora rectivirgula	NCIMB 9984	45	CECT 3223	28042	
Streptomyces antibioticus	ETH 13354	30	CECT 3224	1890	
Streptomyces antibioticus	DSM 40234	30	CECT 3225	1890	GCA_001315405.1
Streptomyces albaduncus	DSM 40478	30	CECT 3226	68172	
Streptomyces peucetius	NCIMB 10974	30	CECT 3227	1950	
Streptomyces ardus	CBS 791.72	30	CECT 3228	67273	
Streptomyces flocculus	DSM 40808	30	CECT 3229	-1	
Streptomyces sp	ATCC 15003	30	CECT 3230	-1	
Streptomyces fradiae	CBS 630.71	30	CECT 3231	1906	
Streptomyces antibioticus	DSM 40715	30	CECT 3232	1890	
Streptomyces antibioticus	DSM 40723	30	CECT 3233	1890	
Streptomyces antibioticus	DSM 40725	30	CECT 3234	1890	
Streptomyces violaceus	DSM 40704	30	CECT 3236	1936	
