ProteomeId	Organism	ncbiTaxID	Protein count	Domain
UP000006793	Thermodesulfatator indicus (strain DSM 15286 / JCM 11887 / CIR29812)	667014	2184	Bacteria
UP000006804	Pseudothermotoga thermarum DSM 5069	688269	1928	Bacteria
UP000006851	Coriobacterium glomerans (strain ATCC 49209 / DSM 20642 / JCM 10262 / PW2)	700015	1768	Bacteria
UP000006866	Halanaerobium praevalens (strain ATCC 33744 / DSM 2228 / GSL)	572479	2055	Bacteria
UP000006875	Ilyobacter polytropus (strain ATCC 51220 / DSM 2926 / LMG 16218 / CuHBu1)	572544	2859	Bacteria
UP000006889	Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL)	632518	2133	Bacteria
UP000007030	Marinithermus hydrothermalis (strain DSM 14884 / JCM 11576 / T1)	869210	2194	Bacteria
UP000007039	Calditerrivibrio nitroreducens (strain DSM 19672 / NBRC 101217 / Yu37-1)	768670	2089	Bacteria
UP000007041	Acetoanaerobium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / CCUG 9281 / NCIMB 10654 / HF) (Clostridium sticklandii)	499177	2572	Bacteria
UP000007113	Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)	682795	4804	Bacteria
UP000007161	Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)	443254	2044	Bacteria
UP000007177	Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655 / WB1)	931626	3445	Bacteria
UP000007347	Desulfobacula toluolica (strain DSM 7467 / Tol2)	651182	4189	Bacteria
UP000007364	Galbibacter marinus	555500	3099	Bacteria
UP000007374	Nitratireductor indicus C115	1231190	4821	Bacteria
UP000007382	Leptospirillum ferrooxidans (strain C2-3)	1162668	2413	Bacteria
UP000007397	Halobacillus halophilus (strain ATCC 35676 / DSM 2266 / JCM 20832 / KCTC 3685 / LMG 17431 / NBRC 102448 / NCIMB 2269) (Sporosarcina halophila)	866895	4100	Bacteria
UP000007463	Fluviicola taffensis (strain DSM 16823 / NCIMB 13979 / RW262)	755732	4016	Bacteria
UP000007487	Cellulophaga lytica (strain ATCC 23178 / DSM 7489 / JCM 8516 / NBRC 14961 / NCIMB 1423 / VKM B-1433 / Cy l20)	867900	3281	Bacteria
UP000007587	Corallococcus coralloides (strain ATCC 25202 / DSM 2259 / NBRC 100086 / M2) (Myxococcus coralloides)	1144275	8019	Bacteria
UP000007599	Flavobacterium indicum (strain DSM 17447 / CIP 109464 / GPTSA100-9)	1094466	2649	Bacteria
UP000007652	Caloramator australicus RC3	857293	2679	Bacteria
UP000007718	Deinococcus proteolyticus (strain ATCC 35074 / DSM 20540 / JCM 6276 / NBRC 101906 / NCIMB 13154 / VKM Ac-1939 / CCM 2703 / MRP)	693977	2652	Bacteria
UP000007719	Dictyoglomus turgidum (strain DSM 6724 / Z-1310)	515635	1743	Bacteria
UP000007721	Geotalea daltonii (strain DSM 22248 / JCM 15807 / FRC-32) (Geobacter daltonii)	316067	3798	Bacteria
UP000007730	Afipia carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5) (Oligotropha carboxidovorans)	504832	3624	Bacteria
UP000007803	Sulfurimonas autotrophica (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10)	563040	2155	Bacteria
UP000007880	Caldilinea aerophila (strain DSM 14535 / JCM 11387 / NBRC 104270 / STL-6-O1)	926550	4097	Bacteria
UP000007938	Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601)	596154	4620	Bacteria
UP000007962	Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432)	471853	4195	Bacteria
UP000008075	Xenorhabdus nematophila (strain ATCC 19061 / DSM 3370 / CCUG 14189 / LMG 1036 / NCIMB 9965 / AN6)	406817	4439	Bacteria
UP000008080	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100)	264462	3583	Bacteria
UP000008130	Polymorphum gilvum (strain LMG 25793 / CGMCC 1.9160 / SL003B-26A1)	991905	4354	Bacteria
UP000008139	Hippea maritima (strain ATCC 700847 / DSM 10411 / MH2)	760142	1653	Bacteria
UP000008183	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	243274	1852	Bacteria
UP000008186	Shewanella oneidensis (strain MR-1)	211586	4068	Bacteria
UP000008210	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	381666	6614	Bacteria
UP000008221	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	351607	2157	Bacteria
UP000008229	Conexibacter woesei (strain DSM 14684 / CIP 108061 / JCM 11494 / NBRC 100937 / ID131577)	469383	5912	Bacteria
UP000008332	Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Rhodoferax ferrireducens)	338969	4401	Bacteria
UP000008366	Kineosphaera limosa NBRC 100340	1184609	4422	Bacteria
UP000008457	Mahella australiensis (strain DSM 15567 / CIP 107919 / 50-1 BON)	697281	2858	Bacteria
UP000008495	Austwickia chelonae NBRC 105200	1184607	3048	Bacteria
UP000008550	Heliobacterium modesticaldum (strain ATCC 51547 / Ice1)	498761	2924	Bacteria
UP000008635	Deinococcus maricopensis (strain DSM 21211 / LMG 22137 / NRRL B-23946 / LB-34)	709986	3262	Bacteria
UP000008641	Weeksella virosa (strain ATCC 43766 / DSM 16922 / JCM 21250 / CCUG 30538 / CDC 9751 / IAM 14551 / NBRC 16016 / NCTC 11634 / CL345/78)	865938	2045	Bacteria
UP000008702	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	367928	1629	Bacteria
UP000008718	Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4)	694427	3020	Bacteria
UP000008720	Marivirga tractuosa (strain ATCC 23168 / DSM 4126 / NBRC 15989 / NCIMB 1408 / VKM B-1430 / H-43) (Microscilla tractuosa) (Flexibacter tractuosus)	643867	3748	Bacteria
UP000008721	Sulfuricurvum kujiense (strain ATCC BAA-921 / DSM 16994 / JCM 11577 / YK-1)	709032	2794	Bacteria
UP000008722	Oceanithermus profundus (strain DSM 14977 / NBRC 100410 / VKM B-2274 / 506)	670487	2372	Bacteria
UP000008825	Citrifermentans bemidjiense (strain ATCC BAA-1014 / DSM 16622 / JCM 12645 / Bem) (Geobacter bemidjiensis)	404380	4042	Bacteria
UP000008841	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	290315	2419	Bacteria
UP000008850	Pelagibacterium halotolerans (strain DSM 22347 / JCM 15775 / CGMCC 1.7692 / B2)	1082931	3875	Bacteria
UP000008871	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	393595	2752	Bacteria
UP000008898	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	63186	4708	Bacteria
UP000008908	Muricauda ruestringensis (strain DSM 13258 / CIP 107369 / LMG 19739 / B1)	886377	3425	Bacteria
UP000008914	Intrasporangium calvum (strain ATCC 23552 / DSM 43043 / JCM 3097 / NBRC 12989 / 7 KIP)	710696	3551	Bacteria
UP000008915	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	644966	2324	Bacteria
UP000008922	Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1)	926569	3110	Bacteria
UP000008957	Fretibacterium fastidiosum	651822	1434	Bacteria
UP000008960	Anaerostipes hadrus	649756	2771	Bacteria
UP000009011	Melioribacter roseus (strain JCM 17771 / P3M-2)	1191523	2833	Bacteria
UP000009049	Robiginitalea biformata (strain ATCC BAA-864 / HTCC2501 / KCTC 12146)	313596	3211	Bacteria
UP000009072	Mesomycoplasma mobile (strain ATCC 43663 / 163K / NCTC 11711) (Mycoplasma mobile)	267748	628	Bacteria
UP000009073	Tolumonas auensis (strain DSM 9187 / TA4)	595494	3126	Bacteria
UP000009145	Methylophaga frappieri (strain ATCC BAA-2434 / DSM 25690 / JAM7)	754477	2689	Bacteria
UP000009175	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	326297	3638	Bacteria
UP000009220	Acidithiobacillus ferrivorans SS3	743299	3067	Bacteria
UP000009282	Glaciecola nitratireducens (strain JCM 12485 / KCTC 12276 / FR1064)	1085623	3653	Bacteria
UP000009309	Fibrisoma limi BUZ 3	1185876	6341	Bacteria
UP000009315	Desulforamulus hydrothermalis Lam5 = DSM 18033	1121428	2625	Bacteria
UP000009320	Lactobacillus hominis DSM 23910 = CRBIP 24.179	1423758	1890	Bacteria
UP000009374	Leptospirillum ferrodiazotrophum	412449	2653	Bacteria
UP000009875	Alloiococcus otitis ATCC 51267	883081	1627	Bacteria
UP000010119	Listeria grayi DSM 20601	525367	2621	Bacteria
UP000010296	Enterococcus italicus (strain DSM 15952 / CCUG 50447 / LMG 22039 / TP 1.5)	888064	2404	Bacteria
UP000010301	Gleimia coleocanis DSM 15436	525245	1546	Bacteria
UP000010420	Clostridium celatum DSM 1785	545697	3453	Bacteria
UP000010795	Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4)	717605	3802	Bacteria
UP000010953	Mariniradius saccharolyticus AK6	1239962	4633	Bacteria
UP000011021	Lautropia mirabilis ATCC 51599	887898	2665	Bacteria
UP000011058	Fibrella aestuarina BUZ 2	1166018	5627	Bacteria
UP000011135	Fulvivirga imtechensis AK7	1237149	5952	Bacteria
UP000011189	Arthrobacter nitrophenolicus	683150	3633	Bacteria
UP000011220	Thermoclostridium stercorarium (strain ATCC 35414 / DSM 8532 / NCIMB 11754) (Clostridium stercorarium)	1121335	2669	Bacteria
UP000011717	Pacificimonas flava	1234595	3056	Bacteria
UP000011721	Desulfocapsa sulfexigens (strain DSM 10523 / SB164P1)	1167006	3514	Bacteria
UP000011723	Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	2853	Bacteria
UP000011724	Pseudodesulfovibrio piezophilus (strain DSM 21447 / JCM 15486 / C1TLV30) (Desulfovibrio piezophilus)	1322246	3342	Bacteria
UP000011725	Hydrogenobaculum sp. HO	547144	1578	Bacteria
UP000011746	Salimicrobium jeotgali	1230341	2724	Bacteria
UP000011758	Eggerthia catenaformis OT 569 = DSM 20559	999415	1874	Bacteria
UP000011765	Thermodesulfobium narugense DSM 14796	747365	1797	Bacteria
UP000011864	Paraglaciecola psychrophila 170	1129794	5601	Bacteria
UP000011866	Thalassolituus oleivorans MIL-1	1298593	3634	Bacteria
UP000011910	Cesiribacter andamanensis AMV16	1279009	4225	Bacteria
UP000011919	Bhargavaea cecembensis DSE10	1235279	3168	Bacteria
UP000012015	Paeniglutamicibacter gangotriensis Lz1y	1276920	4017	Bacteria
UP000012019	Methylophaga lonarensis MPL	1286106	2536	Bacteria
UP000012024	Xanthomarina gelatinilytica	1137281	2841	Bacteria
UP000012063	Halanaerobium saccharolyticum subsp. saccharolyticum DSM 6643	1293054	2662	Bacteria
UP000012179	Nitrosospira lacus	1288494	2855	Bacteria
UP000012283	Gracilibacillus halophilus YIM-C55.5	1308866	2968	Bacteria
UP000012317	Psychroflexus gondwanensis ACAM 44	1189619	2907	Bacteria
UP000013097	Clostridium thermobutyricum	29372	3294	Bacteria
UP000013167	Phycicoccus elongatus Lp2	1193181	3089	Bacteria
UP000013378	Caldisalinibacter kiritimatiensis	1304284	2681	Bacteria
UP000013909	Lunatimonas lonarensis	1232681	4825	Bacteria
UP000013963	Spiroplasma syrphidicola EA-1	1276229	1006	Bacteria
UP000014038	Bartonella bovis 91-4	1094491	1267	Bacteria
UP000014113	Enterococcus columbae DSM 7374 = ATCC 51263	1121865	2315	Bacteria
UP000014115	Idiomarina xiamenensis 10-D-4	740709	2673	Bacteria
UP000014127	Enterococcus dispar ATCC 51266	1139219	2622	Bacteria
UP000014136	Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076	1139996	2573	Bacteria
UP000014174	Arcticibacter svalbardensis MN12-7	1150600	4309	Bacteria
UP000014216	Desulfotignum phosphitoxidans DSM 13687	1286635	4515	Bacteria
UP000014227	Chthonomonas calidirosea (strain DSM 23976 / ICMP 18418 / T49)	1303518	2809	Bacteria
UP000014923	Thermobrachium celere DSM 8682	941824	2370	Bacteria
UP000014944	Phascolarctobacterium faecium	33025	2228	Bacteria
UP000014975	Desulfohalovibrio alkalitolerans DSM 16529	1121439	2924	Bacteria
UP000014977	Desulfococcus multivorans DSM 2059	1121405	3844	Bacteria
UP000014983	Spiroplasma diminutum CUAS-1	1276221	858	Bacteria
UP000014984	Spiroplasma taiwanense CT-1	1276220	989	Bacteria
UP000015388	Corynebacterium maris DSM 45190	1224163	2584	Bacteria
UP000015520	Sulfurimonas hongkongensis	1172190	2290	Bacteria
UP000015527	Novosphingobium lindaniclasticum LE124	1096930	4481	Bacteria
UP000015559	Sulfuricella denitrificans (strain DSM 22764 / NBRC 105220 / skB26)	1163617	3071	Bacteria
UP000015961	Enterococcus sulfureus ATCC 49903	1140003	2176	Bacteria
UP000016160	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	1347342	3557	Bacteria
UP000016368	Hylemonella gracilis ATCC 19624	887062	3342	Bacteria
UP000016540	Marinobacter lipolyticus SM19	1318628	3620	Bacteria
UP000016569	Brevundimonas abyssalis TAR-001	1391729	2946	Bacteria
UP000016605	Leifsonia aquatica ATCC 14665	1358026	4862	Bacteria
UP000016895	Vibrio nigripulchritudo	28173	5540	Bacteria
UP000016943	Corynebacterium argentoratense DSM 44202	1348662	1870	Bacteria
UP000017081	Cetobacterium somerae ATCC BAA-474	1319815	2974	Bacteria
UP000017415	Enterococcus cecorum DSM 20682 = ATCC 43198	1121864	2361	Bacteria
UP000017536	Eubacterium brachy ATCC 33089	1321814	1479	Bacteria
UP000017640	Spiribacter curvatus	1335757	1861	Bacteria
UP000017751	Leptospirillum sp. Group IV 'UBA BS'	1260983	1878	Bacteria
UP000017819	Lutibaculum baratangense AMV1	631454	4164	Bacteria
UP000017831	Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	1121098	3865	Bacteria
UP000017837	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	1121022	4617	Bacteria
UP000017842	Methyloglobulus morosus KoM1	1116472	3732	Bacteria
UP000017881	Spiribacter salinus M19-40	1260251	1684	Bacteria
UP000018439	Bacteroides coprosuis DSM 18011	679937	2385	Bacteria
UP000018458	Succinatimonas hippei (strain DSM 22608 / JCM 16073 / KCTC 15190 / YIT 12066)	762983	2169	Bacteria
UP000018680	Salinispira pacifica	1307761	3350	Bacteria
UP000018766	Pelistega indica	1414851	2121	Bacteria
UP000018868	Eubacterium nodatum ATCC 33099	1161902	1690	Bacteria
UP000018877	Neobacillus vireti LMG 21834	1131730	5084	Bacteria
UP000018890	Alkalihalobacillus wakoensis JCM 9140	1236970	4575	Bacteria
UP000018895	Alkalihalobacillus hemicellulosilyticus JCM 9152	1236971	4345	Bacteria
UP000018896	Alkalihalobacillus akibai (strain ATCC 43226 / DSM 21942 / CIP 109018 / JCM 9157 / 1139) (Bacillus akibai)	1236973	4710	Bacteria
UP000018949	Mesobacillus boroniphilus JCM 21738	1294265	5100	Bacteria
UP000019050	Abiotrophia defectiva ATCC 49176	592010	1943	Bacteria
UP000019063	Roseivivax marinus	1379903	4264	Bacteria
UP000019102	Gracilibacillus boraciitolerans JCM 21714	1298598	4450	Bacteria
UP000019113	Halomonas huangheensis	1178482	4209	Bacteria
UP000019151	Gemmatirosa kalamazoonensis	861299	6261	Bacteria
UP000019202	Xenorhabdus szentirmaii DSM 16338	1427518	4565	Bacteria
UP000019222	Corynebacterium vitaeruminis DSM 20294	1224164	2565	Bacteria
UP000019226	Corynebacterium casei LMG S-19264	1285583	2769	Bacteria
UP000019265	Spiroplasma sabaudiense Ar-1343	1276257	924	Bacteria
UP000019277	Actinokineospora spheciospongiae	909613	6610	Bacteria
UP000019401	Nocardia seriolae	37332	7386	Bacteria
UP000019423	Hymenobacter swuensis DY53	1227739	4612	Bacteria
UP000019426	Clostridium bornimense	1216932	3269	Bacteria
UP000019460	Imhoffiella purpurea	1249627	4239	Bacteria
UP000019486	Skermanella stibiiresistens SB22	1385369	7269	Bacteria
UP000019489	Intrasporangium oryzae NRRL B-24470	1386089	4086	Bacteria
UP000019494	Intrasporangium chromatireducens Q5-1	584657	4363	Bacteria
UP000019591	Peptoclostridium acidaminophilum DSM 3953	1286171	2843	Bacteria
UP000019760	Acidomonas methanolica NBRC 104435	1231351	3270	Bacteria
UP000019918	Erwinia mallotivora	69222	3959	Bacteria
UP000020202	Klebsiella michiganensis	1134687	5939	Bacteria
UP000023067	Brachybacterium phenoliresistens	396014	3605	Bacteria
UP000023541	Aquimarina atlantica	1317122	4786	Bacteria
UP000024001	Microbacterium oleivorans	273677	2781	Bacteria
UP000024836	Actibacterium atlanticum	1461693	3126	Bacteria
UP000025229	Rubrobacter radiotolerans	42256	3148	Bacteria
UP000026918	Streptomyces noursei (Streptomyces albulus)	1971	8069	Bacteria
UP000027059	Leptospirillum ferriphilum YSK	1441628	2257	Bacteria
UP000027088	Mycoplasmopsis californica	2113	610	Bacteria
UP000027190	Hyphomonas chukchiensis	1280947	3778	Bacteria
UP000027249	Halomonas campaniensis	213554	3550	Bacteria
UP000027284	Thermoanaerobaculum aquaticum	1312852	2252	Bacteria
UP000027337	Sulfitobacter mediterraneus	83219	3649	Bacteria
UP000027466	Caballeronia glathei	60547	7464	Bacteria
UP000027471	Thioclava indica	1353528	3671	Bacteria
UP000027601	Bacteroides graminisolvens DSM 19988 = JCM 15093	1121097	3344	Bacteria
UP000027647	Erythrobacter longus	1044	3219	Bacteria
UP000027725	Thioclava dalianensis	1185766	4007	Bacteria
UP000027746	Pseudosulfitobacter pseudonitzschiae	1402135	4679	Bacteria
UP000027822	Bacillus manliponensis	574376	4374	Bacteria
UP000027866	Erythrobacter litoralis	39960	2981	Bacteria
UP000027931	Tumebacillus flagellatus	1157490	4452	Bacteria
UP000027946	Peptoclostridium litorale DSM 5388	1121324	2948	Bacteria
UP000027980	Terribacillus goriensis	386490	3230	Bacteria
UP000027982	Fimbriimonas ginsengisoli Gsoil 348	661478	4817	Bacteria
UP000027986	Dermacoccus nishinomiyaensis	1274	2255	Bacteria
UP000027997	Endozoicomonas elysicola	305900	4147	Bacteria
UP000028007	Pedobacter antarcticus 4BY	1358423	3836	Bacteria
UP000028073	Endozoicomonas numazuensis	1137799	4400	Bacteria
UP000028123	Paenibacillus tyrfis	1501230	6455	Bacteria
UP000028481	Thermodesulfobacterium commune DSM 2178	289377	1430	Bacteria
UP000028504	Corynebacterium atypicum	191610	1533	Bacteria
UP000028521	Mangrovimonas yunxiaonensis	1197477	2307	Bacteria
UP000028542	Clostridium sulfidigenes	318464	3148	Bacteria
UP000028549	Metabacillus indicus (Bacillus indicus)	246786	3781	Bacteria
UP000028569	Bifidobacterium indicum LMG 11587 = DSM 20214	1341694	1350	Bacteria
UP000028602	Tatumella ptyseos ATCC 33301	1005995	3337	Bacteria
UP000028636	Flavobacterium gilvum	1492737	3653	Bacteria
UP000028640	Ewingella americana ATCC 33852	910964	4395	Bacteria
UP000028653	Buttiauxella agrestis ATCC 33320	1006004	4332	Bacteria
UP000028680	Planktomarina temperata RCA23	666509	3024	Bacteria
UP000028702	Tepidicaulis marinus	1333998	3398	Bacteria
UP000028709	Chryseobacterium piperi	558152	3502	Bacteria
UP000028725	Hyalangium minutum	394096	8967	Bacteria
UP000028730	Bifidobacterium bombi DSM 19703	1341695	1454	Bacteria
UP000028780	Corynebacterium imitans	156978	2011	Bacteria
UP000028824	Paenirhodobacter enshiensis	1105367	2781	Bacteria
UP000028863	Oceanobacillus picturae	171693	3656	Bacteria
UP000028868	Halobacillus karajensis	195088	3959	Bacteria
UP000028939	Corynebacterium ureicelerivorans	401472	1837	Bacteria
UP000028984	Bifidobacterium reuteri DSM 23975	1437610	2149	Bacteria
UP000029004	Bifidobacterium stellenboschense	762211	2202	Bacteria
UP000029014	Bifidobacterium minimum	1693	1589	Bacteria
UP000029015	Bifidobacterium actinocoloniiforme DSM 22766	1437605	1484	Bacteria
UP000029033	Bifidobacterium scardovii	158787	2477	Bacteria
UP000029046	Bifidobacterium pullorum subsp. gallinarum	78344	1652	Bacteria
UP000029052	Bifidobacterium magnum	1692	1507	Bacteria
UP000029055	Bifidobacterium subtile	77635	2259	Bacteria
UP000029060	Bifidobacterium merycicum	78345	1740	Bacteria
UP000029067	Bifidobacterium cuniculi	1688	2189	Bacteria
UP000029079	Weissella ceti	759620	1338	Bacteria
UP000029080	Bifidobacterium tsurumiense	356829	1629	Bacteria
UP000029082	Bifidobacterium mongoliense DSM 21395	1437603	1798	Bacteria
UP000029093	Bifidobacterium boum	78343	1726	Bacteria
UP000029096	Bifidobacterium bohemicum DSM 22767	1437606	1631	Bacteria
UP000029108	Bifidobacterium biavatii DSM 23969	1437608	2557	Bacteria
UP000029122	Vibrio ponticus	265668	5653	Bacteria
UP000029221	Nonlabens tegetincola	323273	2951	Bacteria
UP000029223	Vibrio variabilis	990271	7941	Bacteria
UP000029224	Vibrio maritimus	990268	6793	Bacteria
UP000029264	Shewanella mangrovi	1515746	3384	Bacteria
UP000029273	Acidihalobacter prosperus	160660	3188	Bacteria
UP000029278	Paenibacillus macerans (Bacillus macerans)	44252	6551	Bacteria
UP000029393	Arenimonas metalli CF5-1	1384056	2775	Bacteria
UP000029481	Cedecea neteri	158822	4293	Bacteria
UP000029482	Streptomyces glaucescens	1907	6550	Bacteria
UP000029499	Pseudomonas rhizosphaerae	216142	3893	Bacteria
UP000029507	Paenibacillus stellifer	169760	4417	Bacteria
UP000029577	Tatumella morbirosei	642227	3697	Bacteria
UP000029644	Algibacter lectus	221126	4609	Bacteria
UP000029692	Spirochaeta lutea	1480694	2285	Bacteria
UP000029708	Oleiagrimonas soli	1543381	2676	Bacteria
UP000029713	Modestobacter caceresii	1522368	3847	Bacteria
UP000029736	Phaeodactylibacter xiamenensis	1524460	5064	Bacteria
UP000029833	Cellulomonas cellasea DSM 20118	1408250	3560	Bacteria
UP000029839	Cellulomonas carbonis T26	947969	3407	Bacteria
UP000029844	Listeria booriae	1552123	3104	Bacteria
UP000029846	Paracoccus halophilus	376733	3457	Bacteria
UP000029858	Paracoccus sanguinis	1545044	2948	Bacteria
UP000029864	Cryobacterium roopkundense	1001240	3249	Bacteria
UP000029917	Paracoccus sphaerophysae	690417	2819	Bacteria
UP000029989	Lysobacter arseniciresistens ZS79	913325	2363	Bacteria
UP000029994	Vibrio navarrensis	29495	3643	Bacteria
UP000030004	Pseudooceanicola atlanticus	1461694	4202	Bacteria
UP000030023	Oenococcus alcoholitolerans	931074	1597	Bacteria
UP000030063	Pseudomonas taeanensis MS-3	1395571	4573	Bacteria
UP000030103	Porphyromonas macacae	28115	1843	Bacteria
UP000030111	Flavobacterium subsaxonicum WB 4.1-42 = DSM 21790	1121898	3785	Bacteria
UP000030125	Porphyromonas cangingivalis	36874	1769	Bacteria
UP000030129	Flavobacterium beibuense F44-8	1406840	3263	Bacteria
UP000030147	Pontibacillus yanchengensis Y32	1385514	3964	Bacteria
UP000030149	Flavobacterium enshiense DK69	1107311	2848	Bacteria
UP000030153	Pontibacillus chungwhensis BH030062	1385513	3684	Bacteria
UP000030185	Sporocytophaga myxococcoides	153721	5042	Bacteria
UP000030300	Nocardioides simplex (Arthrobacter simplex)	2045	5426	Bacteria
UP000030380	Chelonobacter oris	505317	2284	Bacteria
UP000030401	Pontibacillus litoralis JSM 072002	1385512	3202	Bacteria
UP000030403	Pontibacillus marinus BH030004 = DSM 16465	1385511	4252	Bacteria
UP000030408	Ureibacillus sinduriensis BLB-1 = JCM 15800	1384057	3540	Bacteria
UP000030437	Lysinibacillus odysseyi 34hs-1 = NBRC 100172	1220589	4109	Bacteria
UP000030466	Kocuria polaris	136273	3020	Bacteria
UP000030518	Lysobacter dokdonensis DS-58	1300345	3154	Bacteria
UP000030588	Weizmannia ginsengihumi	363870	2914	Bacteria
UP000030595	Ureibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529	1211035	3499	Bacteria
UP000030634	Deinococcus radiopugnans	57497	2886	Bacteria
UP000030826	Aureimonas altamirensis	370622	3519	Bacteria
UP000030832	Alkalihalobacillus okhensis	333138	4332	Bacteria
UP000030901	Frischella perrara	1267021	2270	Bacteria
UP000030905	Clostridium pasteurianum DSM 525 = ATCC 6013	1262449	3930	Bacteria
UP000030960	Mameliella alba	561184	5714	Bacteria
UP000030980	Pseudomonas flexibilis	706570	3275	Bacteria
UP000030982	Sinomonas humi	1338436	3444	Bacteria
UP000030988	Croceibacterium mercuriale	1572751	2758	Bacteria
UP000031030	Microbacterium mangrovi	1348253	3509	Bacteria
UP000031057	Novosphingobium malaysiense	1348853	4270	Bacteria
UP000031386	Parvimonas micra	33033	1418	Bacteria
UP000031397	Fructilactobacillus fructivorans	1614	1281	Bacteria
UP000031408	Flavihumibacter solisilvae	1349421	4215	Bacteria
UP000031419	Saccharopolyspora rectivirgula	28042	3222	Bacteria
UP000031461	Pedobacter glucosidilyticus	1122941	3311	Bacteria
UP000031488	Brevibacterium linens	1703	3434	Bacteria
UP000031518	Pyrinomonas methylaliphatogenes	454194	3179	Bacteria
UP000031521	Celeribacter indicus	1208324	4665	Bacteria
UP000031563	Bacillus thermotolerans (Quasibacillus thermotolerans)	1221996	4016	Bacteria
UP000031572	Noviherbaspirillum autotrophicum	709839	4102	Bacteria
UP000031637	Sulfuritalea hydrogenivorans sk43H	1223802	3578	Bacteria
UP000031641	Metamycoplasma canadense	29554	481	Bacteria
UP000031649	Burkholderiales bacterium GJ-E10	1469502	2955	Bacteria
UP000031671	Vibrio ishigakensis	1481914	5867	Bacteria
UP000031672	Vibrio renipiscarius	1461322	3673	Bacteria
UP000031802	Sphingobacterium deserti	1229276	3969	Bacteria
UP000031838	Burkholderia plantarii	41899	6432	Bacteria
UP000031843	Cupriavidus basilensis	68895	7643	Bacteria
UP000031928	Corynebacterium marinum DSM 44953	1224162	2547	Bacteria
UP000031938	Jeotgalibacillus soli	889306	3938	Bacteria
UP000031950	Jeotgalibacillus alimentarius	135826	3533	Bacteria
UP000031972	Jeotgalibacillus campisalis	220754	3729	Bacteria
UP000031977	Vibrio mytili	50718	3541	Bacteria
UP000031982	Bacillus badius	1455	4479	Bacteria
UP000032120	Leucobacter komagatae	55969	2703	Bacteria
UP000032221	Mycolicibacterium llatzerense	280871	5405	Bacteria
UP000032232	Jannaschia aquimarina	935700	4049	Bacteria
UP000032233	Dethiosulfatarculus sandiegensis	1429043	5388	Bacteria
UP000032254	Micromonospora haikouensis	686309	5591	Bacteria
UP000032266	Gynuella sunshinyii YC6258	1445510	5913	Bacteria
UP000032279	Paucilactobacillus wasatchensis	1335616	1826	Bacteria
UP000032287	Weissella cibaria	137591	2282	Bacteria
UP000032300	Sphingomonas hengshuiensis	1609977	4211	Bacteria
UP000032303	Photobacterium gaetbulicola Gung47	658445	4974	Bacteria
UP000032336	Ferrimicrobium acidiphilum DSM 19497	1121877	2974	Bacteria
UP000032360	Acidithrix ferrooxidans	1280514	3548	Bacteria
UP000032361	Tamlana nanhaiensis	1382798	3029	Bacteria
UP000032414	Tatlockia micdadei (Legionella micdadei)	451	2989	Bacteria
UP000032417	Fermentimonas caenicola	1562970	2391	Bacteria
UP000032431	[Clostridium] cellulosi	29343	2007	Bacteria
UP000032512	Mesobacillus subterraneus	285983	3465	Bacteria
UP000032515	Rhodopseudomonas palustris	1076	5580	Bacteria
