Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	Strain	Genus
Rhodothermus profundi	633813	Bacteria	Bacteroidetes		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Aquatic	Hydrothermal vent									55	80	72,5					https://pubmed.ncbi.nlm.nih.gov/20061490/			Rhodothermus
Thermosipho japonicus	90323	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent	Chemoorganotroph	sulfur-reduction,thiosulfate-reduction	Growth is inhibited by hydrogen. Growth occurs with yeast extract, peptone, tryptone, or casein as the sole carbon and energy source. Growth on these complex organic materials is enhanced in the presence of sulfur or thiosulfate. The species uses maltose and glucose with yeast extract, peptone, or tryptone; it also uses maltose, glucose, galactose, starch, saccharose, and ribose with casein		Anaerobe	5,3	9,3	7,4	45	80	72	200	20	0,04		https://pubmed.ncbi.nlm.nih.gov/10741832/			Thermosipho
Thermosipho japonicus	90323	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent									45	80	72					https://pubmed.ncbi.nlm.nih.gov/10741832/			Thermosipho
Desulfovirgula thermocuniculi	348842	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Terrestrial	Mine									61	80	70,5					https://pubmed.ncbi.nlm.nih.gov/17220449/			Desulfovirgula
Thermoanaerobacter pentosaceus	694059	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Bioreactor	Stirred tank reactor	Chemoorganotroph	fermentation,thiosulfate-reduction	Strain DTU01(T) could ferment arabinose, cellobiose, fructose, galactose, glucose, lactose, mannitol, mannose, melibiose, pectin, starch, sucrose, xylan, yeast extract and xylose, but not cellulose, Avicel, inositol, inulin, glycerol, rhamnose, acetate, lactate, ethanol, butanol or peptone. Ethanol was the major fermentation product and a maximum yield of 1.39 mol ethanol per mol xylose was achieved when sulfite was added to the cultivation medium. Thiosulfate, but not sulfate, nitrate or nitrite, could be used as electron acceptor.		Anaerobe	5,36	8,5	7	50	80	70					https://pubmed.ncbi.nlm.nih.gov/23178727/	https://pubmed.ncbi.nlm.nih.gov/39062/		Thermoanaerobacter
Caldanaerobacter subterraneus	911092	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Oil field 	Chemoorganotroph	fermentation	Acetate, L-alanine, lactate, H2 and CO2 are produced during glucose fermentation. Thiosulfate, but not sulfate, is used as an electron acceptor.		Anaerobe	5,7	9,2	7,25	40	80	70	100		0		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02711-0			Caldanaerobacter
Geobacillus sp	644736370	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terrestrial	Compost heap	Chemoorganotroph,Heterotroph	proteinaceous metabolism	Carbon source is carbohydrate or protein		Facultative Anaerobe	5,8	8	7,5	55	80	70	101				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4847372/		WCH70	Geobacillus
Thermaerobacter subterraneus	175696	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Aquatic	Basin									55	80	70					https://pubmed.ncbi.nlm.nih.gov/12054240/			Thermaerobacter
Desulfurobacterium thermolithotrophum	64160	Bacteria	Aquificae	Aquificae	Aquificales	Desulfurobacteriaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	sulfur-reduction	"It did not use cystine, sulphate, nitrate or nitrite. Growth on sulphur, thiosulphate, polysulphides and sulphite was accompanied by exponential H,S production that paralleled
growth. Nitrate, tryptone and yeast extract were used as nitrogen sources. Yeast extract (0.2 YO) was found to be slightly inhibitory. The new organism was not able to grow in ASR medium in the presence of oxygen, even at low concentrations (0.2-1 %)."		Anaerobe	4,4	8	6	37	80	70	200		0,035		https://pubmed.ncbi.nlm.nih.gov/9734024/			Desulfurobacterium
Thermosipho melanesiensis	640753057	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent	Heterotroph	sulfur-reduction	Growth is supported by yeast extract or brain heart infusion alone or by malt extract, tryptone, and carbohydrates supplemented by yeast extract. For carbohydrates, decreasing yields of growth are obtained with sucrose and starch, glucose and maltose, lactose, cellobiose, and galactose. Meat extract, xylose, fructose, ethanol, mannitol, sorbitol, glycine, glycogen, formate, acetate and Casamino Acids do not support growth, even combined with yeast extract. Hydrogen inhibits growth, but this inhibition is overcome by the reduction of elemental sulfur. Under this condition, hydrogen sulfide is produced		Anaerobe	3,5	9,5	6,5	45	80	70	101		0,03		https://pubmed.ncbi.nlm.nih.gov/9336917/		BI429	Thermosipho
Methanothermobacter tenebrarum	680118	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Industrial	Natural gas field	Lithoautotroph	methanogenesis 	 Acetate, formate, pyruvate, monomethylamine, dimethylamine, trimethylamine, methanol, ethanol, 1-propanol, 2-propanol, 1-butanol and 2-methylpropanol are not utilized for growth or methanogenesis. Non-autotrophic. Requires Casamino acids, tryptone, yeast extract or vitamin mixture for growth. Acetate stimulates growth	Na+	Anaerobe	5,8	8,7	7,3	45	80	70	250		0,0025		https://pubmed.ncbi.nlm.nih.gov/22561588/			Methanothermobacter
Metallosphaera hakonensis	79601	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic 	Hot spring	Chemolithoautotroph 	aerobic respiration	The strain could extract metal ions from sulfidic ore. It was also able to oxidize reduced sulfur compounds. In addition, it was able to use heterogeneous organic materials for organotrophic growth.		Aerobe	1	4	3	50	80	70	101			Also known as Sulfolobus hakonensis	https://www.microbiologyresearch.org/docserver/fulltext/ijsem/61/10/2395_ijs026591.pdf?expires=1604028805&id=id&accname=guest&checksum=2C9CA2A299037B884924480A4BFE1AE7		DSM 7519	Metallosphaera
Thermus antranikianii	1123386	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic 	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	Starch, casein, hide-powder azure and Tween 80 are hydrolyzed. Degradation of arbutin and aesculin is positive. Strains HN3-7T and HN2-7 do not hydrolyze elastin. Strains HN3-7T and HN2-7 utilize d- glucose, d-fructose, d-mannose, d-galactose, d-cellobiose, maltose, pyruvate, malate, L-glutamate, L-asparagine, L-glutamine, L-serine and L-proline. Strains HN3-7T and HN2-7 do not utilize D-xylose, D-melibiose, D-trehalose, D-raffinose, sucrose, D- mannitol, D-sorbitol, ribitol, xylitol, erythritol, myoinositol, L-sorbose, L-arabinose, L-rhamnose or L-fucose.		Aerobe	5	10	8	50	80	70	101				https://pubmed.ncbi.nlm.nih.gov/10826806/			Thermus
Thermus composti	532059	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Terrestrial	Mushroom preparation	Heterotroph	nitrate-reduction,aerobic respiration	Utilizes acetate, Casamino acids, Dfructose, D-glucose, trehalose, maltose and pyruvate. Does not utilize acetamide, citrate, D-galactose, raffinose, Dsorbitol, D-xylose, erythritol, formate, glycerol, lactose, Larabinose, L-rhamnose, L-serine, L-sorbose, myo-inositol or propionate. Weak growth is exhibited on cellobiose, melibiose, L-arginine, L-asparagine, L-glutamate, L-glutamine, malate and succinate.		Aerobe	5	9	7	40	80	70	101		<1.5%		https://pubmed.ncbi.nlm.nih.gov/21856987/			Thermus
Thermus parvatiensis	456163	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	polysaccharide metabolism,aerobic respiration	Strain RLT assimilated d-glucose, l-arabinose, d-mannose, d-mannitol, N-acetyl-glucosamine, d-maltose, potassium gluconate, capric acid, adipic acid, malic acid, trisodium citrate and phenylacetic acid. However the strain RLT did not ferment glucose. Neither did strain RLT hydrolyze esculin nor urease. nitrate-reduction and indole production was found to be negative		Aerobe	7	9	7,2	60	80	70	101		0,01		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627951/			Thermus
Vulcanithermus mediatlanticus	206045	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hydrothermal vent	Chemolithoheterotroph	nitrate-reduction,aerobic respiration	grew chemoorganoheterotrophically with carbohydrates, proteinaceous substrates, organic acids and alcohols using oxygen or nitrate as electron acceptors		Aerobe	5,5	8,4	6,7	37	80	70			0,03		https://pubmed.ncbi.nlm.nih.gov/12892142/			Vulcanithermus
Fervidicola ferrireducens	520764	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Borehole									55	80	70					https://pubmed.ncbi.nlm.nih.gov/19406800/			Fervidicola
Caldicellulosiruptor saccharolyticus	640427106	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III	Aquatic	Hot spring	Chemoorganotroph	fermentation	Acid is produced from arabinose, amorphous cellulose, avicell, cellobiose, fructose, galactose, glucose, glycogen, gum guar, gum locust bean, lactose, laminarin, lichenin, mannose, maltose, pullulan, pectin, rhamnose, Sigmacell 20, Sigmacell 50, Sigmacell 100, starch, sucrose, xylan, and xylose, but not from amygdalin, erythritol, glycerol, inositol, inulin, mannitol, melibiose, melezitose, raffinose, ribose, sorbitol, sorbose. Culture supernatants hydrolyzed carboxymethylcellulose, gum guar, gum locust bean, laminarin, lichenin, pullulan, starch, and xylan, but not arabinogalactan, chitin, glycogen, gum karaya, inulin, mannan		Anaerobe	5,5	8	7	45	80	70	101				https://academic.oup.com/femsle/article/120/3/263/520853		DSM 8903	Caldicellulosiruptor
Thermodesulfatator indicus	2505119042	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	sulfate-reduction	Strictly chemolithoautotrophic using sulfate as electron acceptor and H2 as electron donor. No fermentative metabolism. With H2/CO2 and sulfate, growth is stimulated by methanol, monomethylamine, glutamate, peptone, fumarate, tryptone, isobutyrate, 3-CH3 butyrate, ethanol, propanol and low amounts of acetate. Unable to use sulfur, cystine, thiosulfate, sulfite, fumarate and nitrate as electron acceptor. Ammonium is the preferred nitrogen source		Anaerobe	6	6,7	6,25	55	80	70	101		0,025		https://pubmed.ncbi.nlm.nih.gov/14742485/		CIR29812, DSM 15286	Thermodesulfatator
Thermodesulfobacterium commune	2588253728	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Aquatic	Thermal waters	Chemoorganotroph	fermentation,sulfur-reduction,thiosulfate-reduction	Fumarate and nitrate not reduced. Pyruvate is fermented to H2, C02 and acetate as end products. Growth with hydrogen as sole electron donor for energy metabolism. O		Anaerobe	6	8	7	60	80	70					https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-129-4-1159?crawler=true		DSM 2178	Thermodesulfobacterium
Fervidobacterium pennivorans	2507149014	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	able to use starch, glycogen, pullulan, glucose, fructose, maltose, and xylose as growth substrates. Starch was the preferred carbon source. The new isolate was not able to utilize lactose, amylose, arabinose, casein, collagen, succinate, or Tween 80. The presence of 0.05% yeast extract was required for growth. Hydrogen gas had an inhibitory effect which could be eliminated by the addition of elemental sulfur or thiosulfate to the medium. The new isolate was a fermentative and strictly anaerobic microorganism. As fermentation products ethanol and acetate were found after 48 h of incubation at 708C; acetate was the major fermentation product.		Anaerobe	5,5	8	6,5	50	80	70			0,004	Ability to degrade feathers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1388917/		Ven 5, DSM 9078	Fervidobacterium
Methanofervidicoccus abyssi	2082189	Archaea	Euryarchaeota	Methanococci	Methanococcales		Aquatic	Hydrothermal vent									60	80	70					https://pubmed.ncbi.nlm.nih.gov/30843780/			Methanofervidicoccus
Clostridium fervidus	29344	Bacteria	Firmicutes	Clostridia	Clostridales	Clostridiaceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	 Growth occurred on Trypticase peptone (BBL Microbiology Systems) or yeast extract. However, with the exception of serine, which could be catabolized as the sole carbon source, either peptone or yeast extract was essential for the fermentation of carbohydrates including glucose, maltose, mannose, xylan, starch, and pyruvate. Acetate was always the major fermentation end product. CO2, H2, and minor quantitites of valerate, butyrate, ethanol, and lactate were also produced. 	Na+	Anaerobe	5,5	9	7,25	37	80	68	101				https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-37-2-123			Clostridium
Thermus rehai	153832	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	The species has oxidase and catalase activity. Nitrate is reduced to nitrite. The new species utilizes glucose, acetate and galactose, but does not utilize sucrose and salicin, and does not hydrolyze starch and gelatin.		Aerobe	5	10	8	40	80	67,5	101				https://pubmed.ncbi.nlm.nih.gov/12362405/			Thermus
Fervidobacterium nodosum	640753026	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	wide range of carbohydrates including glucose, sucrose, starch and lactose could be utilized by the organism. Lactate, acetate, hydrogen, and carbon dioxide were the major end products of glucose fermentation with lesser amounts of ethanol being formed		Anaerobe	6	8	7,25	40	80	67,5					https://link.springer.com/article/10.1007/BF00446741		Rt17-B1	Fervidobacterium
Fervidobacterium gondwanense	44754	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Aquifer	Chemoorganotroph	fermentation,sulfate-reduction	Utilizes glucose, mannose, maltose, starch, amylopectin, cellobiose, carboxymethyl cellulose, lactose, dextrin, fructose, xylose, galactose, and pyruvate but not cellulose, Casamino Acids, gelatin, sorbose, ribose, raffinose, arabinose, dextran, xylan, or chitin. Produces acetate, ethanol, lactate, CO,, and H, during glucose fermentation. Reduces sulfur but not thiosulfate, sulfite, or sulfate.		Anaerobe	6	8	7	45	80	66,5			0		https://pubmed.ncbi.nlm.nih.gov/8573506/			Fervidobacterium
Thermoanaerobacter acetoethylicus	2704	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Hot spring	Chemoorganotroph	thiosulfate-reduction	Utilizes a variety of saccharides as energy sources including glucose, mannose, cellobiose, lactose, maltose, sucrose, and starch. Obligate anaerobe. Growth inhibited by air, NaC1 (2~), tetracycline, streptomycin, penicillin G, vankomycin, and neomycin. Major fermentation end products in glucose-complex medium include ethanol, acetate, isobutyrate, butyrate, hydrogen and carbon dioxide, but not lactate. Thiosulfate, but not sulfate, reduced to sulfide. Embden-Meyerhof glycolytic pathway.		Anaerobe	5,5	8,5		40	80	65	101		<2%	fomerly known as Thermobacteroides acetoethylicus	https://link.springer.com/article/10.1007/BF00405914			Thermoanaerobacter
Hydrogenothermus marinus	133270	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	hydrogen-oxidation 	Grows chemolithoautotrophically under an atmosphere of H2 and CO2 (80: 20) with low concentrations of O2 (0±5–8%, optimum at 1–2%). No growth on meat peptone, tryptone, meat extract, yeast extract, lactose, galactose, glucose, ribose, fructose, sucrose, citric acid, maltose hydrate, starch, xylose, alanine, proline, histidine hydrochloride, glycine, methanol, ethanol, acetic acid, pyruvate, disodium fumarate, malate or ammonium formate as a source of energy or cellular carbon. Catalase- and cytochrome-oxidase-positive. No growth on peptone, yeast extract, tryptone, starch, glucose or maltose as sole electron donor. Sulfur and thiosulfate are not utilized as electron donors or sources of energy. Elemental sulfur is necessary for growth. Nitrate and sulfate cannot serve as electron acceptors		Facultative Anaerobe	5	7	6,8	45	80	65	200		0,025		https://pubmed.ncbi.nlm.nih.gov/11594618/			Hydrogenothermus
Thermosipho atlanticus	1123380	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent	Heterotroph	fermentation	Weak growth was observed in the presence of yeast extract and peptone (YPS). Growth yield of strain DV1140T was enhanced either by replacing yeast extract or peptone with 2 g BHI l21 or by the addition of gelatin, starch, galactose, arabinose, glucose, trehalose or cellobiose to YPS. able to ferment BHI and also starch, galactose, arabinose, glucose, trehalose, cellobiose and gelatin in the presence of peptone and yeast extract. Elemental sulfur does not enhance growth.		Anaerobe	5	9	6	45	80	65	101		0,03		https://pubmed.ncbi.nlm.nih.gov/15545417/			Thermosipho
Thermosipho atlanticus	238991	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Aquatic	Hydrothermal vent									45	80	65					https://pubmed.ncbi.nlm.nih.gov/15545417/			Thermosipho
Kosmotoga olearia	651457	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Industrial	Oil production fluid	Chemoorganotroph	thiosulfate-reduction	Maltose, ribose, sucrose, starch, Casamino acids, tryptone and pyruvate can serve as growth substrates. Fructose, galactose, mannose, raffinose, xylan, casein and peptone allow relatively weaker growth. Requires yeast extract for growth. Acetate, lactate and propionate inhibit growth slightly, while malate and butanol prevent growth. Under anaerobic conditions, maltose is fermented primarily into hydrogen, carbon dioxide and acetic acid. Traces of ethanol and propionic acid are detected, but not butyric acid or alanine. Arabinose, CM-cellulose, cellobiose, glucose, lactose, xylose, methanol, propanol, chitin, myo-inositol, putrescine and glycerol do not serve as carbon sources. Thiosulfate enhances growth, while elemental sulfur, nitrate and cystine do not. Sulfate also enhances growth, but sulfide is not produced. Sulfite inhibits growth slightly and nitrite prevents growth.		Anaerobe	5,5	8	6,8	20	80	65	101		0,0275		https://pubmed.ncbi.nlm.nih.gov/19643902/			Kosmotoga
Methanothermobacter crinale sp	1045764	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Terrestrial	Oil field 	Autotroph	methanogenesis 		Na+	Anaerobe	6,7	8,8	6,9	55	80	65	152		0		https://aem.asm.org/content/77/15/5212		Tm2	Methanothermobacter
Thermus igniterrae	1123388	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic 	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	Elastin, starch, fibrin, casein, gelatin and hide-powder azure are hydrolyzed. Arbutin and aesculin are degraded. Strains RF-4T and HN1-8 utilize D-glucose, D-fructose, D-mannose, maltose, ribitol, pyruvate, L-glutamate, L-glutamine and L- proline. Strains RF-4T and HN1-8 do not utilize D-galactose, D-melibiose, D-cellobiose, D-raffinose, D- xylose, D-ribose, lactose, D-mannitol, D-sorbitol, xylitol, erythritol, glycerol, malate, citrate, myo-inositol, L-sorbose, L-fucose, L-arabinose, L-rhamnose, L-serine or L-arginine.		Aerobe	5,5	9,5	8	45	80	65	101				https://pubmed.ncbi.nlm.nih.gov/10826806/			Thermus
Caldicellulosiruptor hydrothermalis	649633022	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III	Aquatic	Hot spring	Chemoorganoheterotroph	fermentation	Utilizes cellulose, CM-cellulose, filter paper, starch, xylan, dextran, pectin, cellobiose, glucose, fructose, sucrose, xylose, maltose, galactose, lactose, arabinose, mannitol and yeast extract. Does not grow with pyruvate, chitin, raffinose, trehalose, ribose or peptone		Anaerobe	6	8	7	50	80	65			<1%		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65236-0#tab2		108	Caldicellulosiruptor
Fervidobacterium islandicum	2423	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Hot spring	Chemoorganotroph	fermentation,sulfur-reduction	"Yeast extract is required for growth. Addition of pyruvate, ribose, glucose, maltose, raffinose, starch, and cellulose stimulates growth. On glucose, 
L(+)lactate, acetate, ethanol, H2, CO2 and traces of  isobutyric and isovaleric acid are formed. Growth strictly anaerobic. H2 inhibits growth. Reduction of S °. "		Anaerobe	6	8	7	50	80	65	300		0		https://link.springer.com/article/10.1007/BF00423318			Fervidobacterium
Fervidobacterium riparium	548918	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Aquatic	Hot spring	Chemoorganotroph	fermentation	ferments peptone, yeast extract, pyruvate, sucrose, glucose, cellobiose, starch, xylan, microcrystalline cellulose (Avicel), CMC, amorphous cellulose, filter paper and birch sawdust. Glycerol, arabinose, lactose, pectin, dextran and chitin do not support growth. The main products of glucose fermentation are H2 and acetate. Elemental sulfur stimulates growth and is reduced by hydrogen, released during the course of fermentation. Sulfate, thiosulfate and nitrate do not influence growth, but sulfite inhibits it.		Anaerobe	5,7	9	7,8	46	80	65					https://pubmed.ncbi.nlm.nih.gov/21169457/			Fervidobacterium
Chloroflexus aurantiacus	641228485	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Aquatic	Hot spring	Photoheterotroph,Chemoheterotroph	anoxygenic photosynthesis	Chloroflexus is not an obligate phototroph, obligate anaerobe, or obligate autotroph. It grows well under fully aerobic conditions as a chemoheterotroph in the light or dark. Chloroflexus is primarily a photoheterotroph, although it may be capable of photoautotrophic growth. The presence of both photoheterotrophic and aerobic chemoheterotrophic metabolisms in Chloro/lexus resembles the physiological adaptability of the purple non-sulfur bacteria (Rhodospirillaceae).		Facultative Anaerobe	5,5	8,5	8	30	80	56			0		https://link.springer.com/article/10.1007/BF00446302		J-10-fl	Chloroflexus
Thermaerobacter composti	554949	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Terrestrial	Compost heap									52	79	70					https://pubmed.ncbi.nlm.nih.gov/19940377/			Thermaerobacter
Thermus aquaticus	271	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic 	Hot spring	Heterotroph	nitrate-reduction,aerobic respiration	No growth factor requirements (one strain tested). Nitrogen sources, amino acids and NH4+. Carbon sources, sugars, and organic acids. Grows best in complex media such as 0.1 to 0.3% tryptone plus yeast extract.		Aerobe	6	9,5	7,65	40	79	70	101				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC249935/			Thermus
Thermus islandicus	1123389	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Aquatic	Hot spring	Heterotroph	sulfur-oxidation,aerobic respiration	"Weak growth is exhibited on cellobiose, lactose and inositol. Does not utilize arabinose, fructose, galactose, glucose, mannose, melibiose, raffinose, rhamnose, ribose,
sucrose, trehalose, xylose, ribitol, mannitol, sorbitol, citrate, malate, L-arginine, L-glutamine, L-serine or Casamino acids. "		Aerobe	5,5	10,5	6,75	45	79	65	101				https://pubmed.ncbi.nlm.nih.gov/19628590/			Thermus
Hydrogenobacter thermophilus	646311936	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquatic	Hot spring	Chemolithotroph	hydrogen-oxidation,aerobic respiration	Respiratory metabolism, using molecular oxygen as the electron acceptor. Chemolithotrophic, using molecular hydrogen as the electron donor and carbon dioxide as the carbon source. Chemoorganotrophic growth has not been found. Ammonium and nitrate salts are utilized as nitrogen sources. Growth factors are not required.		Aerobe			7,5	50	78	72,5	101				https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-34-1-5		TK-6, DSM 6534	Hydrogenobacter
Carboxydothermus hydrogenoformans	637000060	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Aquatic	Hot swamp	Chemolithoautotroph 	carbon monoxide oxidation	Utilizes CO as the sole energy and carbon source with equimolar formation of H2 and CO2 according to the equation CO + H2 0 ---;. CO2 + H2• Other products are not formed. CO and H2 do not inhibit growth. Does not utilize any other inorganic and organic substrates. Does not reduce sulfate or sulfur		Anaerobe	6,4	7,7	6,9	40	78	71	100		0	obligately carboxydotroph	https://www.sciencedirect.com/science/article/abs/pii/S0723202011803772		Z-2901	Carboxydothermus
Thermoanaerobacter italicus	646564579	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Thermal waters	Chemoorganotroph	fermentation,thiosulfate-reduction	Xylan, starch, and glycogen are also utilized as carbon sources and thermoactive xylanolytic (highest activity at 70 degrees - 75 degrees C), amylolytic as well as pullulolytic enzymes (highest activity at 80 degrees - 85 degrees C) are formed		Anaerobe			7	45	78	70			<1%		https://pubmed.ncbi.nlm.nih.gov/9680298/		Ab9, DSM 9252	Thermoanaerobacter
Thermoanaerobacter siderophilus	106578	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	 Thermoanaerobacteraceae	Aquatic	Hydrothermal vent	Chemoorganotroph	fermentation,iron-reduction	The substrates utilized in the presence, as well in the absence, of Fe(II1) as an electron acceptor include peptone, yeast extract, beef extract, starch, glycerol, pyruvate, glucose, sucrose, fructose, maltose, xylose, cellobiose and sorbitol. Utilizes molecular hydrogen in the presence of Fe(II1). No growth occurs with formate, acetate, lactate, methanol, ethanol, propan- 1-ol, propan-2-ol, butan- 1-ol, propionate, n-butyrate, succinate, malate, maleate, glycine, alanine, arginine, L-arabinose, olive oil, xylan or cellulose, either with or without Fe(II1) as an electron acceptor. The fermentation products from glucose are ethanol, lactate, H, and CO,. Reduces amorphous iron(II1) oxide, AQDS, sulfite, thiosulfate, elemental sulfur and MnO,. The products of amorphous iron(II1) oxide reduction are magnetite and siderite. Sulfite, thiosulfate and elemental sulfur are reduced to hydrogen sulfide. Does not reduce nitrate or sulfate and is incapable of growth with 02.		Anaerobe	4,8	8,2	6,4	39	78	70	101		0,0125		https://pubmed.ncbi.nlm.nih.gov/10555328/			Thermoanaerobacter
Thermosulfidibacter takaii	412593	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquatic	Hydrothermal field	Chemolithoautotroph 	sulfur-reduction	Utilization of organic carbon sources was tested in the absence of NaHCO3 in MMJS medium, using H2 as the headspace gas. The following substrates were added at 0.05 % (w/v): yeast extract (Difco), peptone, tryptone peptone (Difco), Casamino acids (Difco), glucose, maltose, fructose, sucrose, lactose, galactose, cellobiose, mannose, rhamnose, xylose, mannitol, glycerol, ethanol, methanol, fumarate, tartrate, acetate, formate, citrate, pyruvate, malate, propionate, succinate, mannitol, glutamate, glycine and alanine. Strain ABI70S6T could not utilize any of the organic compounds tested in this study as a sole carbon source. The results suggest that this strain is a chemolithoautotroph.		Anaerobe	5	7,5	5,75	55	78	70	200		0,03		https://pubmed.ncbi.nlm.nih.gov/18319474/			Thermosulfidibacter
Thermaerobacter litoralis	317015	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Aquatic	Hydrothermal field									52	78	70					https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64203-0			Thermaerobacter
Thermaerobacter nagasakiensis	159723	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Aquatic	Hydrothermal vent									52	78	70					https://pubmed.ncbi.nlm.nih.gov/11889488/			Thermaerobacter
