Name	Strain	Temp	Source_ID
Dolichospermum mucosum	TAC 426 (A10)	20 C	NIES-809
Dolichospermum planctonicum	TAC 421 (A3)	20 C	NIES-810
Dolichospermum planctonicum	TAC 422 (A4)	20 C	NIES-811
Dolichospermum planctonicum	TAC 424 (A7)	20 C	NIES-812
Dolichospermum planctonicum	TAC 434 (A25)	20 C	NIES-813
Dolichospermum planctonicum	TAC 435 (A26)	20 C	NIES-814
Dolichospermum planctonicum		20 C	NIES-815
Dolichospermum planctonicum		20 C	NIES-816
Dolichospermum planctonicum	Inba 2	20 C	NIES-817
Dolichospermum smithii	TAC 116	20 C	NIES-818
Dolichospermum smithii	TAC 428 (A14)	20 C	NIES-819
Dolichospermum smithii	TAC 431 (A18)	20 C	NIES-820
Dolichospermum smithii	TAC 432 (A19)	20 C	NIES-821
Dolichospermum smithii	TAC 450 (A51)	20 C	NIES-822
Dolichospermum smithii	TAC 452 (210)	20 C	NIES-823
Dolichospermum smithii	Ana Ha 1	20 C	NIES-824
Dolichospermum ucrainicum	TAC 448 (A48)	20 C	NIES-825
Dolichospermum ucrainicum	TAC 449 (A50)	20 C	NIES-826
Dolichospermum viguieri	TAC 433 (A23)	20 C	NIES-827
Dolichospermum ucrainicum	Ana V2	20 C	NIES-832
Dolichospermum lemmermannii		20 C	NIES-833
Dolichospermum planctonicum		20 C	NIES-834
Dolichospermum compactum		20 C	NIES-835
Botryococcus braunii		20 C	NIES-836
Emiliania huxleyi	EH-2	20 C	NIES-837
Gephyrocapsa oceanica	GO-01	20 C	NIES-838
Cosmarium dilatatum		22 (25) C	NIES-839
Euastrum biverrucosum		22 (25) C	NIES-840
Staurastrum levanderi		20 (25) C	NIES-841
Staurastrum tsukubicum		20 (25) C	NIES-842
Microcystis aeruginosa	NC7	25 C	NIES-843
Microcystis aeruginosa	BC18	25 C	NIES-901
Planktothrix agardhii		20 C	NIES-905
Planktothrix agardhii	P3-5	20 C	NIES-910
Tychonema bourrellyi		20 C	NIES-846
Planktothrix mougeotii	TR1-5; ANMR 20011	20 C	NIES-844
Planktothrix mougeotii	TR2-4; ANMR 20012	20 C	NIES-911
Planktothrix mougeotii	TK4-5; ANMR 20013	20 C	NIES-912
Planktothrix mougeotii	TK5-1; ANMR 20014	20 C	NIES-913
Planktothrix pseudagardhii	T1-8-4; ANMR 20006	20 C	NIES-845
Planktothrix pseudagardhii	T19-6'-6; ANMR 20007	20 C	NIES-915
Planktothrix pseudagardhii	T19-6'-8; ANMR 20008	20 C	NIES-916
Planktothricoides raciborskii	INBaOR	20 C	NIES-917
Planktothricoides raciborskii	T1-6-2; ANMR 20009	20 C	NIES-918
Planktothricoides raciborskii	Kase1-2	20 C	NIES-920
Planktothricoides raciborskii	Kase3-5	20 C	NIES-921
Planktothricoides raciborskii	P2	20 C	NIES-925
Planktothricoides raciborskii	Ho12-3 Or-4	20 C	NIES-926
Planktothricoides raciborskii	Ho12-3 Or-9	20 C	NIES-927
Limnothrix redekei		22 C	NIES-847
Planktothrix rubescens		20 C	NIES-928
Raphidiopsis sp.	Os-2	20 C	NIES-3080
Astrephomene gubernaculifera		20 C	NIES-853
Astrephomene gubernaculifera		20 C	NIES-854
Astrephomene gubernaculifera		20 C	NIES-855
Eudorina minodii	970728-E-8	20 C	NIES-856
Gonium viridistellatum	88-511-9	20 C	NIES-857
Phacotus lenticularis	KR 91/1	20 C	NIES-858
Phacotus lenticularis		20 C	NIES-859
Pteromonas aculeata	970801-2	20 C	NIES-860
Pteromonas angulosa	KR 91/2	20 C	NIES-861
Pteromonas angulosa	KR 91/3	20 C	NIES-862
Volvox africanus		23 C	NIES-863
Volvox aureus	970717-1	15 C	NIES-864
Volvox carteri		23 C	NIES-865
Volvox carteri		23 C	NIES-866
Volvox gigas		23 C	NIES-867
Volvox obversus		23 C	NIES-868
Volvox tertius		23 C	NIES-869
Yamagishiella unicocca	970730-E-1	15 C	NIES-870
Yamagishiella unicocca	970730-E-7	15 C	NIES-871
Yamagishiella unicocca	970801-E-5 (= Nozaki E-5)	15 C	NIES-872
Yamagishiella unicocca	970801-E-9	15 C	NIES-873
Yamagishiella unicocca	970801-E-10	15 C	NIES-874
Vitreochlamys aulata	Spha-5/1998-3-9	20 C	NIES-875
Vitreochlamys aulata	Spha-8/1998-7-14	20 C	NIES-876
Vitreochlamys aulata		20 C	NIES-877
Vitreochlamys aulata		20 C	NIES-878
Vitreochlamys fluviatilis	Spha-1/1997-12-5	20 C	NIES-879
Vitreochlamys gloeocystiformis	970805-U-4	20 C	NIES-880
Vitreochlamys nekrassovii		20 C	NIES-881
Vitreochlamys ordinata	970804-S-4 (= Nozaki S-4)	20 C	NIES-882
Vitreochlamys pinguis	Spha-12/1998-7-16	20 C	NIES-883
Chlamydomonas debaryana		20 C	NIES-884
Gonium multicoccum		20 C	NIES-885
Pandorina morum		20 C	NIES-886
Pandorina morum		20 C	NIES-887
Pandorina morum		20 C	NIES-888
Pandorina morum		20 C	NIES-889
Pandorina morum	Ishi-1	20 C	NIES-890
Volvox aureus	970717-2	15 C	NIES-891
Volvox aureus	990601-IV-9	15 C	NIES-892
Volvulina boldii		20 C	NIES-893
Volvulina boldii		20 C	NIES-894
Volvulina pringsheimii		20 C	NIES-895
Volvulina steinii		20 C	NIES-896
Volvulina steinii		20 C	NIES-897
Volvulina steinii		20 C	NIES-898
Prorocentrum dentatum	KC37-PD	20 C	NIES-900
Raphidiopsis raciborskii	CYL1	24 C	NIES-930
Gloeocapsa decorticans	GLC2	24 C	NIES-931
Raphidiopsis curvata	RAP1	24 C	NIES-932
Pterosperma cristatum	Pt	20 C	NIES-936
Microcystis aeruginosa	NRC-1 (SS-17)	25 C	NIES-933
Synechococcus sp.	1002	20 C	NIES-969
Synechococcus sp.	T71	20 C	NIES-970
Synechococcus sp.	T7cc1	20 C	NIES-971
Synechococcus sp.	IR11	20 C	NIES-972
Synechococcus sp.	48	20 C	NIES-973
Synechococcus sp.	58E8	20 C	NIES-974
Synechococcus sp.	58g6	20 C	NIES-975
Synechococcus sp.	59	20 C	NIES-976
Synechococcus sp.	taiyo	20 C	NIES-977
Synechococcus sp.	UBR	20 C	NIES-978
Synechococcus sp.	UH7	20 C	NIES-979
Synechococcus sp.	kom	20 C	NIES-980
Cyanobium sp.	Hos	20 C	NIES-981
Synechococcus sp.	Hosso	20 C	NIES-982
Synechococcus sp.	St235	20 C	NIES-983
Synechococcus sp.	TAG	20 C	NIES-984
Synechococcus sp.	HOG	20 C	NIES-3083
Synechococcus sp.	hor	20 C	NIES-3084
Synechococcus sp.	miyaR	20 C	NIES-985
Synechococcus sp.	74	20 C	NIES-986
Synechococcus sp.	FUT	20 C	NIES-987
Synechococcus sp.	miyaY	20 C	NIES-988
Planktothrix agardhii	Mikata1-3	20 C	NIES-989
Planktothrix agardhii	Mikata1-6	20 C	NIES-990
Raphidiopsis raciborskii	DMKU51001	20 C	NIES-3085
Raphidiopsis raciborskii	DMKU51002	20 C	NIES-3086
Raphidiopsis raciborskii	DMKU51003	20 C	NIES-3087
Raphidiopsis raciborskii	DMKU51004	20 C	NIES-3088
Raphidiopsis raciborskii	DMKU51005	20 C	NIES-3089
Raphidiopsis raciborskii	DMKU51007	20 C	NIES-3091
Raphidiopsis raciborskii	DMKU51008	20 C	NIES-3092
Raphidiopsis raciborskii	DMKU51009	20 C	NIES-3093
Raphidiopsis raciborskii	DMKU51010	20 C	NIES-3094
Raphidiopsis raciborskii	DMKU51011	20 C	NIES-3095
Raphidiopsis raciborskii	DMKU51012	20 C	NIES-3096
Raphidiopsis raciborskii	DMKU51013	20 C	NIES-3097
Raphidiopsis raciborskii	DMKU51014	20 C	NIES-3098
Raphidiopsis raciborskii	DMKU51015	20 C	NIES-3099
Raphidiopsis raciborskii	DMKU51016	20 C	NIES-3100
Raphidiopsis raciborskii	DMKU51017	20 C	NIES-3101
Raphidiopsis raciborskii	DMKU51018	20 C	NIES-3102
Raphidiopsis raciborskii	DMKU51019	20 C	NIES-3103
Raphidiopsis raciborskii	CRJ1	20 C	NIES-1040
Raphidiopsis raciborskii	CRJ2	20 C	NIES-1041
Raphidiopsis raciborskii	KJA1	20 C	NIES-991
Raphidiopsis raciborskii	KJA2	20 C	NIES-992
Raphidiopsis raciborskii	KJA3	20 C	NIES-993
Raphidiopsis raciborskii		20 C	NIES-994
Mesostigma viride	Hojo1	20 C	NIES-995
Pseudomarvania ampulliformis	Handa-299(f)	20 (25) C	NIES-996
Calyptrosphaera sphaeroidea	13K	20 C	NIES-997
Chrysochromulina quadrikonta	CQ13T	20 C	NIES-998
Gephyrocapsa oceanica		20 C	NIES-1000
Glossomastix chrysoplasta		20 C	NIES-1002
Dicrateria rotunda	Iman2	20 C	NIES-1001
Pelagomonas calceolata		20 C	NIES-1003
Chroomonas coerulea	#74	15 C	NIES-1004
Proteomonas sp.	M-23	15 C	NIES-1005
Rhodomonas sp.	M-40	15 C	NIES-1006
Synura petersenii	#73	15 C	NIES-1007
Pedinella squamata	M-11	20 C	NIES-1008
Gonyostomum semen	M-87	15 C	NIES-1009
Ophiocytium capitatum	#86	15 C	NIES-1011
Cafeteria roenbergensis	#106	15 C	NIES-1012
Placidia cafeteriopsis	#51	15 C	NIES-1013
Placidia cafeteriopsis	#69	15 C	NIES-1014
Wobblia lunata	#1	15 C	NIES-1015
Hymenomonas coronata	M-27	15 C	NIES-1016
Prymnesium parvum	#22	15 C	NIES-1017
Prymnesium parvum	M-25	15 C	NIES-1018
Tetraselmis striata	#96	20 C	NIES-1019
Apiocystis brauniana	#115	15 C	NIES-1020
Chlamydomonas coccoides	#95	20 C	NIES-1021
Chlamydomonas parkeae	#97	20 C	NIES-1022
Microcystis aeruginosa	Doutyou-1-3	20 C	NIES-1025
Microcystis aeruginosa	Doutyou-1-4	20 C	NIES-1026
Microcystis aeruginosa	Takahama-Ma-2	20 C	NIES-1027
Microcystis aeruginosa	TEGA-Mv-1	20 C	NIES-1028
Microcystis aeruginosa	DU-MA-6-1	20 C	NIES-1029
Microcystis aeruginosa	TS1-6-2	20 C	NIES-3105
Microcystis aeruginosa	TS1-7-1	20 C	NIES-3106
Microcystis aeruginosa	TS1-7-2	20 C	NIES-3107
Microcystis aeruginosa	Thai2001-MA-2-1	20 C	NIES-3109
Microcystis aeruginosa	Thai2001-MA-3-1	20 C	NIES-3110
Microcystis aeruginosa	Thai2001-MA-4-3	20 C	NIES-3111
Microcystis aeruginosa	DU-MA-4-1	20 C	NIES-1043
Schizocladia ischiensis	KU-333	20 C	NIES-1044
Cylindrotheca closterium		15 C	NIES-1045
Cylindrotheca fusiformis	WAT13	15 C	NIES-1046
Cylindrotheca sp.		15 C	NIES-1047
Chlamydomonas noctigama	2001-814-C10	20 C	NIES-1048
Microcystis aeruginosa	TAC 4	18 C	NIES-1050
Microcystis aeruginosa	TAC 6	18 C	NIES-1051
Microcystis aeruginosa	TAC 15	18 C	NIES-1052
Microcystis aeruginosa	TAC 19	18 C	NIES-1053
Microcystis aeruginosa	TAC 20	18 C	NIES-1054
Microcystis aeruginosa	TAC 38-1	18 C	NIES-1055
Microcystis aeruginosa	TAC 39	18 C	NIES-1056
Microcystis aeruginosa	TAC 40	18 C	NIES-1057
Microcystis aeruginosa	TAC 45-1	18 C	NIES-1058
Microcystis aeruginosa	TAC 46	18 C	NIES-1059
Microcystis aeruginosa	TAC 50	18 C	NIES-1060
Microcystis aeruginosa	TAC 51	18 C	NIES-1061
Microcystis aeruginosa	TAC 57-1	18 C	NIES-1062
Microcystis aeruginosa	TAC 60	18 C	NIES-1063
Microcystis aeruginosa	TAC 61	18 C	NIES-1064
Microcystis aeruginosa	TAC 62	18 C	NIES-1065
Microcystis aeruginosa	TAC 63	18 C	NIES-1066
Microcystis aeruginosa	TAC 65-2	18 C	NIES-1067
Microcystis aeruginosa	TAC 66-1	24 C	NIES-1068
Microcystis aeruginosa	TAC 67	18 C	NIES-1069
Microcystis aeruginosa	TAC 69-1	20 C	NIES-1070
Microcystis aeruginosa	TAC 70-1	18 C	NIES-1071
Microcystis aeruginosa	TAC 71-1	18 C	NIES-1072
Microcystis aeruginosa	TAC 72	18 C	NIES-1073
Microcystis aeruginosa	TAC 73-1	18 C	NIES-1074
Microcystis aeruginosa	TAC 74-1	18 C	NIES-1075
Microcystis aeruginosa	TAC 75-1	18 C	NIES-1076
Microcystis aeruginosa	TAC 76	20 C	NIES-1077
Microcystis aeruginosa	TAC 79	18 C	NIES-1078
Microcystis aeruginosa	TAC 80-1	18 C	NIES-1079
Microcystis aeruginosa	TAC 81-1	18 C	NIES-1080
Microcystis aeruginosa	TAC 82-1	18 C	NIES-1081
Microcystis aeruginosa	TAC 83-1	24 C	NIES-1082
Microcystis aeruginosa	TAC 84	18 C	NIES-1083
Microcystis aeruginosa	TAC 85	18 C	NIES-1084
Microcystis aeruginosa	TAC 86-1	18 C	NIES-1085
Microcystis aeruginosa	TAC 87-1	18 C	NIES-1086
Microcystis aeruginosa	TAC 88	18 C	NIES-1087
Microcystis aeruginosa	TAC 89	18 C	NIES-1088
Microcystis aeruginosa	TAC 90	18 C	NIES-1089
Microcystis aeruginosa	TAC 91-1	18 C	NIES-1090
Microcystis aeruginosa	TAC 92-1	18 C	NIES-1091
Microcystis aeruginosa	TAC 93-1	18 C	NIES-1092
Microcystis aeruginosa	TAC 95-1	18 C	NIES-1093
Microcystis aeruginosa	TAC 96	18 C	NIES-1094
Microcystis aeruginosa	TAC 97	20 C	NIES-1095
Microcystis aeruginosa	TAC 98	18 C	NIES-1096
Microcystis aeruginosa	TAC 109	20 C	NIES-1097
Microcystis aeruginosa	TAC 110-1	18 C	NIES-1098
Microcystis aeruginosa	TAC 113-1	18 C	NIES-1099
Microcystis aeruginosa	TAC 114-1	18 C	NIES-1100
Microcystis aeruginosa	TAC 115-1	18 C	NIES-1101
Microcystis aeruginosa	TAC 122	18 C	NIES-1102
Microcystis aeruginosa	TAC 123	18 C	NIES-1103
Microcystis aeruginosa	TAC 124	18 C	NIES-1104
Microcystis aeruginosa	TAC 125-1	18 C	NIES-1105
Microcystis aeruginosa	TAC 126	18 C	NIES-1106
Microcystis aeruginosa	TAC 128	18 C	NIES-1107
Microcystis aeruginosa	TAC 129	18 C	NIES-1108
Microcystis aeruginosa	TAC 130	18 C	NIES-1109
Microcystis aeruginosa	TAC 131	18 C	NIES-1110
Microcystis aeruginosa	TAC 132	18 C	NIES-1111
Microcystis aeruginosa	TAC 133	18 C	NIES-1112
Microcystis aeruginosa	TAC 134	18 C	NIES-1113
Microcystis aeruginosa	TAC 135	18 C	NIES-1114
Microcystis aeruginosa	TAC 136-1	18 C	NIES-1115
Microcystis aeruginosa	TAC 137	24 C	NIES-1116
Microcystis aeruginosa	TAC 138-1	18 C	NIES-1117
Microcystis aeruginosa	TAC 141	18 C	NIES-1118
Microcystis aeruginosa	TAC 143	18 C	NIES-1119
Microcystis aeruginosa	TAC 144	18 C	NIES-1120
Microcystis aeruginosa	TAC 145	18 C	NIES-1121
Microcystis aeruginosa	TAC 146-1	18 C	NIES-1122
Microcystis aeruginosa	TAC 147	24 C	NIES-1123
Microcystis aeruginosa	TAC 148	24 C	NIES-1124
Microcystis aeruginosa	TAC 149	18 C	NIES-1125
Microcystis aeruginosa	TAC 150	18 C	NIES-1126
Microcystis aeruginosa	TAC 151	18 C	NIES-1127
Microcystis aeruginosa	TAC 152	18 C	NIES-1128
Microcystis aeruginosa	TAC 153	18 C	NIES-1129
Microcystis aeruginosa	TAC 154-1	18 C	NIES-1130
Microcystis aeruginosa	TAC 155	18 C	NIES-1131
Microcystis aeruginosa	TAC 156-1	18 C	NIES-1132
Microcystis aeruginosa	TAC 157-2	18 C	NIES-1133
Microcystis aeruginosa	TAC 159-1	18 C	NIES-1134
Microcystis aeruginosa	TAC 160-1	18 C	NIES-1135
Microcystis aeruginosa	TAC 162	18 C	NIES-1136
Microcystis aeruginosa	TAC 163	18 C	NIES-1137
Microcystis aeruginosa	TAC 164-1	18 C	NIES-1138
Microcystis aeruginosa	TAC 165	18 C	NIES-1139
Microcystis aeruginosa	TAC 166	18 C	NIES-1140
Microcystis aeruginosa	TAC 167	18 C	NIES-1141
Microcystis aeruginosa	TAC 169	18 C	NIES-1142
Microcystis aeruginosa	TAC 170-1	18 C	NIES-1143
Microcystis aeruginosa	TAC 171	18 C	NIES-1144
Microcystis aeruginosa	TAC 172	18 C	NIES-1145
Microcystis aeruginosa	TAC 173	18 C	NIES-1146
Microcystis aeruginosa	TAC 174	18 C	NIES-1147
Microcystis aeruginosa	TAC 175	18 C	NIES-1148
Microcystis aeruginosa	TAC 176	18 C	NIES-1149
Microcystis aeruginosa	TAC 177	18 C	NIES-1150
Microcystis aeruginosa	TAC 178	18 C	NIES-1151
Microcystis aeruginosa	TAC 179	18 C	NIES-1152
Microcystis aeruginosa	TAC 180	18 C	NIES-1153
Microcystis aeruginosa	TAC 181	18 C	NIES-1154
Microcystis aeruginosa	TAC 182	18 C	NIES-1155
Microcystis aeruginosa	TAC 183	18 C	NIES-1156
Microcystis aeruginosa	TAC 185	18 C	NIES-1157
Microcystis aeruginosa	TAC 186	18 C	NIES-1158
Microcystis aeruginosa	TAC 187	18 C	NIES-1159
Microcystis aeruginosa	TAC 188	18 C	NIES-1160
Microcystis aeruginosa	TAC 189	18 C	NIES-1161
Microcystis aeruginosa	TAC 190	18 C	NIES-1162
Microcystis aeruginosa	TAC 191	18 C	NIES-1163
Microcystis aeruginosa	TAC 192	18 C	NIES-1164
Microcystis aeruginosa	TAC 193	18 C	NIES-1165
Microcystis aeruginosa	TAC 194	18 C	NIES-1166
Microcystis aeruginosa	TAC 195	18 C	NIES-1167
Microcystis aeruginosa	TAC 196	18 C	NIES-1168
Microcystis aeruginosa	TAC 197	18 C	NIES-1169
Microcystis aeruginosa	TAC 198	18 C	NIES-1170
Microcystis aeruginosa	TAC 199	18 C	NIES-1171
Microcystis aeruginosa	TAC 200	18 C	NIES-1172
Microcystis aeruginosa	TAC 311	18 C	NIES-1173
Microcystis aeruginosa	TAC 312	18 C	NIES-1174
Microcystis aeruginosa	TAC 313	18 C	NIES-1175
Microcystis aeruginosa	TAC 314	18 C	NIES-1176
Microcystis aeruginosa	TAC 315	18 C	NIES-1177
Microcystis aeruginosa	TAC 316	18 C	NIES-1178
Microcystis aeruginosa	TAC 317	18 C	NIES-1179
Microcystis aeruginosa	TAC 319	18 C	NIES-1180
Microcystis aeruginosa	TAC 320	18 C	NIES-1181
Microcystis aeruginosa	TAC 321	18 C	NIES-1182
Microcystis aeruginosa	TAC 322	18 C	NIES-1183
Microcystis aeruginosa	TAC 323	18 C	NIES-1184
Microcystis aeruginosa	TAC 325	18 C	NIES-1185
Microcystis aeruginosa	TAC 326	18 C	NIES-1186
Microcystis aeruginosa	TAC 327	18 C	NIES-1187
Microcystis aeruginosa	TAC 328	18 C	NIES-1188
Microcystis aeruginosa	TAC 329	18 C	NIES-1189
Microcystis aeruginosa	TAC 330	18 C	NIES-1190
Microcystis aeruginosa	TAC 331	18 C	NIES-1191
Microcystis aeruginosa	TAC 332	18 C	NIES-1192
Microcystis aeruginosa	TAC 333	18 C	NIES-1193
Microcystis aeruginosa	TAC 335	18 C	NIES-1194
Microcystis aeruginosa	TAC 336	18 C	NIES-1195
Microcystis aeruginosa	TAC 337	18 C	NIES-1196
Microcystis aeruginosa	TAC 338	18 C	NIES-1197
Microcystis aeruginosa	TAC 339	18 C	NIES-1198
Microcystis aeruginosa	TAC 340	18 C	NIES-1199
Microcystis aeruginosa	TAC 341	18 C	NIES-1200
Microcystis aeruginosa	TAC 342	18 C	NIES-1201
Microcystis aeruginosa	TAC 343	18 C	NIES-1202
Microcystis aeruginosa	TAC 344	18 C	NIES-1203
Microcystis aeruginosa	TAC 345	18 C	NIES-1204
Microcystis aeruginosa	TAC 346	18 C	NIES-1205
Microcystis aeruginosa	TAC 347	24 C	NIES-1206
Microcystis aeruginosa	TAC 348	18 C	NIES-1207
Microcystis aeruginosa	TAC 349	18 C	NIES-1208
Microcystis aeruginosa	TAC 350	18 C	NIES-1209
Microcystis aeruginosa	TAC 351	18 C	NIES-1210
Microcystis aeruginosa	TAC 352	24 C	NIES-1211
Microcystis aeruginosa	TAC 353	18 C	NIES-1212
Microcystis aeruginosa	TAC 355	18 C	NIES-1213
Microcystis aeruginosa	TAC 356	18 C	NIES-1214
Microcystis aeruginosa	TAC 357	18 C	NIES-1215
Microcystis aeruginosa	TAC 358	18 C	NIES-1216
Microcystis aeruginosa	TAC 359	18 C	NIES-1217
Microcystis aeruginosa	TAC 360	18 C	NIES-1218
Microcystis aeruginosa	TAC 361	18 C	NIES-1219
Microcystis aeruginosa	TAC 362	18 C	NIES-1220
Microcystis aeruginosa	TAC 363	18 C	NIES-1221
Microcystis aeruginosa	TAC 364	18 C	NIES-1222
Microcystis aeruginosa	TAC 365	18 C	NIES-1223
Microcystis aeruginosa	TAC 368	18 C	NIES-1224
Microcystis aeruginosa	TAC 369	18 C	NIES-1225
Microcystis aeruginosa	TAC 370	18 C	NIES-1226
Microcystis aeruginosa	TAC 371	18 C	NIES-1227
Microcystis aeruginosa	TAC 372	18 C	NIES-1228
Microcystis aeruginosa	TAC 373	24 C	NIES-1229
Microcystis aeruginosa	TAC 374	18 C	NIES-1230
Microcystis aeruginosa	TAC 375	18 C	NIES-1231
Microcystis aeruginosa	TAC 376	18 C	NIES-1232
Microcystis aeruginosa	TAC 377	18 C	NIES-1233
Microcystis aeruginosa	TAC 378	24 C	NIES-1234
Microcystis aeruginosa	TAC 379	18 C	NIES-1235
Microcystis aeruginosa	TAC 380	18 C	NIES-1236
Microcystis aeruginosa	TAC 381	18 C	NIES-1237
Microcystis aeruginosa	TAC 382	18 C	NIES-1238
Microcystis aeruginosa	TAC 383	18 C	NIES-1239
Microcystis aeruginosa	TAC 384	18 C	NIES-1240
Microcystis aeruginosa	TAC 385	18 C	NIES-1241
Microcystis aeruginosa	TAC 386	18 C	NIES-1242
Microcystis aeruginosa	TAC 387	18 C	NIES-1243
Microcystis aeruginosa	TAC 388	18 C	NIES-1244
Microcystis aeruginosa	TAC 389	18 C	NIES-1245
Microcystis aeruginosa	TAC 390	18 C	NIES-1246
Microcystis aeruginosa	TAC 391	24 C	NIES-1247
Microcystis aeruginosa	TAC 392	18 C	NIES-1248
Microcystis aeruginosa	TAC 393	18 C	NIES-1249
Microcystis aeruginosa	TAC 394	18 C	NIES-1250
Microcystis aeruginosa	TAC 395	18 C	NIES-1251
Microcystis aeruginosa	TAC 396	18 C	NIES-1252
Microcystis aeruginosa	TAC 401	18 C	NIES-1253
Microcystis aeruginosa	TAC 402	18 C	NIES-1254
Microcystis aeruginosa	TAC 405	18 C	NIES-1255
Microcystis aeruginosa	TAC 406	18 C	NIES-1256
Microcystis aeruginosa	TAC 407	24 C	NIES-1257
Chroogloeocystis siderophila	5.2 s.c.1	24 C	NIES-1031
Planktothrix agardhii	SUI-CT-1	22 C	NIES-1258
Raphidiopsis raciborskii	GOU-CR-1	20 C	NIES-1259
Raphidiopsis raciborskii	GOU-CR-2	20 C	NIES-1260
Raphidiopsis raciborskii	SHI-CR-3	20 C	NIES-1261
Raphidiopsis raciborskii	SHI-CR-5	20 C	NIES-1262
Planktothrix agardhii	DU-Oa-2-3	20 C	NIES-1263
Planktothrix agardhii	DU-Oa-3-3	20 C	NIES-1264
Planktothrix agardhii	DU-Oa-5-5	20 C	NIES-1265
Planktothrix rubescens	DU-Oa-4-1	20 C	NIES-1266
Planktothrix rubescens	DU-Oa-4-2	20 C	NIES-1267
Planktothricoides raciborskii	Thai-10-3	20 C	NIES-3114
Amphidinium testudo	M-44	20 C	NIES-1268
Chlorella vulgaris	M-56	20 C	NIES-1269
Picochlorum sp.	M-66	20 C	NIES-1270
Trebouxia anticipata	AYO4776	20 (25) C	NIES-1271
Trebouxia anticipata	AYO4780	20 (25) C	NIES-1272
Trebouxia anticipata	AYO4870	20 (25) C	NIES-1273
Trebouxia arboricola	AYO4775	20 (25) C	NIES-1274
Trebouxia arboricola	AYO4779	20 (25) C	NIES-1275
Trebouxia arboricola	AYO5316	20 (25) C	NIES-1276
Trebouxia arboricola	AYO5321	20 (25) C	NIES-1277
Trebouxia corticola	AYO4774	20 (25) C	NIES-1278
Trebouxia corticola	AYO4777	20 (25) C	NIES-1279
Trebouxia corticola	AYO4860	20 (25) C	NIES-1280
Trebouxia corticola	AYO4863	20 (25) C	NIES-1281
Trebouxia corticola	AYO4864	20 (25) C	NIES-1282
Trebouxia corticola	AYO4865	20 (25) C	NIES-1283
Trebouxia corticola	AYO4867	20 (25) C	NIES-1284
Trebouxia corticola	AYO4882	20 (25) C	NIES-1286
Trebouxia corticola	AYO4884	20 (25) C	NIES-1287
Trebouxia corticola	AYO5330	20 (25) C	NIES-1288
Trebouxia higginsiae	AYO4781	20 (25) C	NIES-1289
Trebouxia higginsiae	AYO4782	20 (25) C	NIES-1290
Trebouxia higginsiae	AYO4866	20 (25) C	NIES-1291
Trebouxia higginsiae	AYO4877	20 (25) C	NIES-1292
Trebouxia higginsiae	AYO4879	20 (25) C	NIES-1293
Trebouxia higginsiae	AYO4880	20 (25) C	NIES-1294
Trebouxia higginsiae	AYO4887	20 (25) C	NIES-1295
Trebouxia higginsiae	AYO4885	20 (25) C	NIES-1296
Trebouxia showmanii	AYO4778	20 (25) C	NIES-1297
Asterochloris cf. glomerata	AYO4871	20 (25) C	NIES-1298
Asterochloris cf. glomerata	AYO4872	20 (25) C	NIES-1299
Asterochloris cf. glomerata	AYO4874	20 (25) C	NIES-1300
Asterochloris cf. glomerata	AYO4875	20 (25) C	NIES-1301
Trebouxia sp.	AYO4869	20 (25) C	NIES-2349
Glossomastix chrysoplasta	GLOSSO	20 C	NIES-1302
Fibrocapsa japonica	YK03-75	20 C	NIES-1303
Calcidiscus leptoporus	MH 34	20 C	NIES-1304
Calcidiscus leptoporus	MH 68	20 C	NIES-1305
Calyptrosphaera sphaeroidea	MK18	20 C	NIES-1308
Calyptrosphaera sphaeroidea	MK21	20 C	NIES-1309
Chrysoculter rhomboideus	TKB-54	20 C	NIES-1874
Emiliania huxleyi	MH 9	20 C	NIES-1310
Emiliania huxleyi	MH 27	15 C	NIES-1311
Emiliania huxleyi	MH 28	15 C	NIES-1312
Emiliania huxleyi	MH 74	20 C	NIES-1313
Emiliania huxleyi	YK3-87	20 C	NIES-1314
Gephyrocapsa oceanica	MH 38	20 C	NIES-1315
Gephyrocapsa oceanica	MH 63	20 C	NIES-1316
Gephyrocapsa oceanica	MH 64	20 C	NIES-1317
Gephyrocapsa oceanica	MH 73	20 C	NIES-1318
Gephyrocapsa oceanica	YK3-7	20 C	NIES-1319
Oolithotus fragilis	MH 35	20 C	NIES-1320
Oolithotus fragilis	MH 58	20 C	NIES-1321
Oolithotus fragilis	MH 80	20 C	NIES-1322
Umbilicosphaera sibogae	MH 67	20 C	NIES-1324
Thoracosphaera heimii	MH 36	20 C	NIES-1325
Thoracosphaera heimii	MH 78	20 C	NIES-1326
Cryptomonas sp.	#00266	15 C	NIES-1327
Gephyrocapsa oceanica	TKB-001 (ym-01)	20 C	NIES-1328
Gephyrocapsa oceanica	TKB-061 (ym-06)	20 C	NIES-1329
Prymnesium calathiferum	TKB-062 (ym-07)	20 C	NIES-1330
Asterococcus superbus	Asteroco-4	20 C	NIES-1331
Cyanidioschyzon merolae	10D	37 C	NIES-1332
Chrysochromulina sp.	TKB-079 (nrc063)	20 C	NIES-1333
Kathablepharis japonica	TKB-090 (nrc066)	20 C	NIES-1334
Leucocryptos marina	TKB-081 (nrc057)	20 C	NIES-1335
Nitzschia sp.	A6	15 C	NIES-1339
Nitzschia sp.	B4	15 C	NIES-1340
