Name	Strain	Temp	ncbiTaxID	Genome
Microbulbifer halophilus	YIM 91118	37	453963	
Salibacterium halochares	MSS4	37	520043	
Halomonas lutea	YIM 91125	37	453962	
Streptomonospora flavalba	YIM 91394 	37	505256	
Streptomonospora amylolytica	YIM 91353	37	505254	
Gracilibacillus quinghaiensis	YIM-C229	37	470774	
Lachnoanaerobaculum saburreum	CCUG 28089	37	467210	
Pannonibacter indicus	HT23	37	466044	
Pelotomaculum isophthalicicum	JI	37	947010	
Desulfovibrio tunisiensis	RB22	37	-1	
Actibacter sediminis	JC2129	37	449463	
Paenibacillus telluris	PS38	37	446370	
Bacillus isabeliae	 CVS-8	37	432607	
Modicisalibacter tunisiensis	LIT2	37	390637	
Brevibacterium album	YIM 90718	37	417948	
Paenibacillus tarimensis	SA-7-6	37	416012	
Actinopolyspora erythraea	 YIM 90600	37	414996	GCA_002263515.1
Sediminibacillus albus	NHBX5	37	407036	
Haloactinospora alba	YIM 90648	37	405555	
Paenibacillus ginsengarvi	Gsoil 139	37	400777	
Salinicoccus kunmingensis	YIM Y15	37	399363	
Halobacillus alkaliphilus	FP5	37	396056	
Paenibacillus nanensis	MX2-3	37	393251	
Syntrophomonas cellicola	19J-3	37	382673	
Salinicoccus siamensis	PN1-2	37	381830	
Salicola salis	B2	37	338884	
Ochrobactrum pseudintermedium	ADV31	37	-1	
Salinicoccus salsiraiae	RH1	37	365049	
Paenibacillus panacisoli	Gsoil 1411	37	-1	
Bifidobacterium tsurumiense	OMB115	37	356829	
Pelotomaculum propionicicum	MGP	37	258475	
Lentibacillus kapialis	PN7-6	37	340214	
Gracilibacillus orientalis	XH-63	37	334253	
Lysinibacillus boronitolerans	10a	37	309788	
Lentibacillus salis	BH113	37	297171	
Halomonas organivorans	G-16.1	37	257772	
Thalassobacillus devorans	G-19.1	37	279813	
Salibacterium qingdaonense	CM1	37	266892	
Microbulbifer salipaludis	SM-1	37	187980	
Actinomadura fibrosa	A82810.1	37	111802	
Lentibacillus juripiscarius	IS40-3	37	257446	
Chromohalobacter salexigens	Chromohalobacter salexigens	37	158080	GCA_000055785.1
Bacillus catenulatus	18C	37	-1	
Peptostreptococcus russellii	RT-10B	37	215200	
Allokutzneria albata	R761-7	37	211114	
Alkaliphilus crotonatoxidans	B11-2	37	185693	
Alkalispirochaeta americana	ASpG1	37	159291	
Hungatella hathewayi	1313	37	154046	
Clostridium thiosulfatireducens	Lup 21	37	150336	
Chromohalobacter marismortui	ATCC 17056	37	42055	
Clostridium nitritogenes	ATCC 25547	37	83340	
Selenomonas infelix	ATCC 43532	37	679201	
Selenomonas flueggei	ATCC 43531	37	638302	
Selenomonas dianae	ATCC 43527	37	1316584	
Eubacterium multiforme	ATCC 25552	37	83339	
Clostridium budayi	ATCC 25541	37	83338	
Eubacterium ruminantium	ATCC 17233	37	42322	
Eubacterium ventriosum	ATCC 27560	37	411463	
Fusibacter paucivorans	SEBR 4211	37	76009	
Desulfovibrio senezii	�CVL	37	-1	
Desulfovibrio alaskensis	Al1	37	-1	GCA_000012665.1
Anaerofilum pentosovorans	F	37	52787	
Anaerofilum agile	Fae	37	52786	
Arhodomonas aquaeolei	HA-1	37	2369	
Butyrivibrio crossotus	ATCC 29175	37	45851	
Tissierella creatinini	BN11	37	43143	
Eubacterium ramulus	ATCC 29099	37	1256908	
Andreesenia angusta	MK-1	37	39480	
Absiella dolichum	ATCC 29143	37	-1	
Prevotella disiens	 ATCC 29426	37	28130	
Eubacterium limosum	ATCC 8486	37	1736	GCA_000807675.2
Clostridium subterminale	ATCC 25774	37	1550	
Clostridium malenominatum	ATCC 25776	37	1539	
Hathewaya limosa	ATCC 25620	37	1536	
Eubacterium barkeri	ATCC 25849	37	1528	
Clostridium beijerinckii	ATCC 25752	37	1520	GCA_000833105.2
Bacillus mannanilyticus	AM-001	37	-1	
Bacillus akibai	1139	37	-1	
Bacillus cereus	ATCC 14579	37	226900	GCA_006094295.1
Butyrivibrio fibrisolvens	ATCC 19171	37	831	
Enterococcus eurekensis	PC4B	37	1159753	
Lactobacillus kimchicus	DCY51	37	-1	
Streptococcus halotolerans	HTS9	37	1814128	GCA_001598035.1
Lactobacillus gigeriorum	202	37	1203069	
Lactobacillus colini	111144-L1	37	1819254	
Lactobacillus formosensis	S215 	37	-1	
Microbacterium luticocti	SC-087B	36	451764	
Halovivax limisalsi	IC38	35	1453760	
Methanocalculus natronophilus	 Z-7105	35	1262400	
Methanocalculus pumilus	MHT-1	35	152007	
Ferroplasma acidiphilum	Y	35	74969	GCA_002078355.1
Halobacillus marinus	KGW1	35	2699466	
Arenimonas soli	Y3L17	35	2269504	
Blastococcus atacamensis	P6	35	2070508	
Larsenimonas suaedae	ST307	35	1851019	
Hyphobacterium vulgare	WM6	35	1736751	
Domibacillus iocasae	S6	35	1714016	
Pantoea intestinalis	29Y89B	35	-1	
Bacillus solani	FJAT-18043	35	-1	
Sulfurovum riftiae	1812E	35	1630136	
Haliea atlantica	SM1351 	35	1548455	
Klebsiella michiganensis	W14	35	1134687	GCA_000276705.2
Lentibacillus amyloliquefaciens	LAM0015	35	1472767	GCA_001307805.2
Clostridium huakuii	LAM1030	35	1335065	
Rothia endophytica	YIM 67072	35	1324766	
Salinivirga cyanobacteriivorans	L21-Spi-D4	35	1307839	GCA_001443605.1
Salinispira pacifica	L21-RPul-D2	35	1307761	GCA_000507245.1
Clostridium bornimense	M2/40	35	1216932	GCA_000577895.1
Euryhalocaulis caribicus	JL2009	35	1161401	
Flavobacterium marinum	SW105	35	-1	
Lysinibacillus varians	GY32	35	1145276	GCA_000600105.1
Rhizobium helianthi	Xi19	35	1132695	
Marinobacter persicus	M9B	35	930118	
Aliicoccus persicus	A76	35	930138	
Oceanobacillus limi	H9B	35	930131	
Oceanobacillus halophilus	J8B	35	930130	
Alteribacillus iranensis	X5B	35	930128	
Oceanobacillus longus	T9B	35	930120	
Saliterribacillus persicus	X4B	35	930114	
Ferrovibrio denitrificans	Sp-1	35	664789	
Prevotella fusca	W1435 	35	589436	GCA_001262015.1
Roseovarius halotolerans	 HJ50	35	505353	
Sporolactobacillus putidus	QC81-06	35	492735	
Nocardia wallacei	ATCC 49873	35	480035	
Microbulbifer pacificus	SPO729	35	407164	
Salinicoccus iranensis	QW6	35	393538	
Tindallia texcoconensis	IMP-300	35	361365	
Aquitalea magnusonii	TRO-001DR8	35	332411	GCA_002217795.2
Clostridium aciditolerans	JW/YJL-B3	35	339861	
Photobacterium ganghwense	FR1311	35	320778	
Halomonas taeanensis	BH539	35	284577	
Bacillus toyonensis	BCT7112	35	155322	GCA_000496285.1
Halomonas anticariensis	FP35	35	258591	
Anaerovirgula multivorans	SCA	35	312168	
Salinicola halophilus	CG4.1	35	184065	
Desulfovibrio hydrothermalis	AM13	35	-1	
Seinonella peptonophila	ATCC 27302	35	112248	
Halanaerobium fermentans	R-9	35	88362	
Zobellia galactanivorans	Dsij	35	63186	GCA_000973105.1
Enterococcus crotali	ETRF1	35	1453587	
Ornithinibacter aureus	HB09001	34	622664	
Sporomusa sphaeroides	E	34	47679	
Prauserella rugosa	 ATCC 43014	34	43354	
Halanaerobium acetethylicum	EIGI	34	42421	
Alkalibacterium psychrotolerans	 IDR2-2	34	254784	
Pelagibacterium lentulum	MCCC 1K03218	33	2029865	
Geofilum rhodophaeum	HF401	33	1965019	
Pelobacter propionicus	 Ott Bd 1	33	29543	GCA_000015045.1
Bacillus endozanthoxylicus	1404	32	-1	
Muricauda marina	H19-56	32	1775168	
Bacillus canaveralius	KSC SF8b	32	1403243	
Idiomarina fontislapidosi	F23	32	263723	
Magnetospirillum aberrantis	SpK	31	908842	
Halohasta litchfieldiae	tADL	30	1073996	GCA_002788215.1
Halorubrum salinum	GX71	30	767517	
Halostagnicola kamekurae	194-10	30	619731	
Halogeometricum pallidum	BZ256	30	411361	
Methanocorpusculum sinense	China Z	30	83985	
Sphingosinithalassobacter portus	FM6	30	2676234	
Bacillus salidurans	KNUC7312	30	-1	
Martelella lutilitoris	GH2-6	30	2583532	
Streptomyces aquilus	GGCR-6	30	2548456	GCA_003955715.1
Bacillus taxi	M5HDSG1-1	30	-1	
Paenibacillus ottowii	MS2379	30	2315729	
Novosphingobium humi	R1-4	30	2282397	
Paenibacillus elymi	 KUDC6143	30	2259011	
Clostridium bovifaecis	BXX	30	2184719	
Mesorhizobium ephedrae	6GN-30	30	2116701	
Massilia armeniaca	ZMN-3	30	-1	GCA_003028855.1
Amycolatopsis rhizosphaerae	DH51B-4-3	30	2053003	
Roseomonas aerofrigidensis	HC1	30	2038730	
Bacillus tropicus	N24	30	2026188	GCA_006457285.1
Bacillus pacificus	EB422	30	2026187	
Bacillus paranthracis	Mn5	30	2026186	GCA_005848985.1
Paenibacillus konkukensis	SK-3146	30	2020716	
Ochrobactrum endophyticum	EGI 60010	30	-1	
Swionibacillus sediminis	BW11-2	30	1960324	
Aliidiomarina soli	Y4G10-17	30	1928574	
Bacillus terrae	RA9	30	-1	
Lysinibacillus alkalisoli	Y2A20	30	1911548	
Chryseobacterium reticulitermitis	Ra1	30	1907530	
Salibacterium lacus	GSS13	30	1898109	
Marinovum faecis	 YP194	30	1894968	
Actinomyces glycerinitolerans	G10	30	1892869	
Paenibacillus tritici	RTAE36	30	1873425	
Massilia neuiana	PTW21	30	1850242	
Demequina litorisediminis	GHD-1	30	1849022	
Planococcus salinus	LCB217	30	1848460	
Streptomyces capparidis	EGI 6500195	30	1840415	
Paracoccus aestuariivivens	GHD-30	30	1820333	
Actinomadura alkaliterrae	D310AT	30	1735446	
Phytoactinopolyspora alkaliphila	EGI 80629	30	1783498	
Salinicola tamaricis	F01	30	1771309	GCA_003006155.1
Leucobacter populi	06C10-3-11	30	1774087	
Microbulbifer aggregans	CCB-MM1	30	1769779	GCA_001750105.1
Dyadobacter endophyticus	65	30	1749036	
Bacillus oryzisoli	1DS3-10	30	-1	
Paenibacillus radicis	694	30	-1	
Nitratireductor aestuarii	2-2-12-1	30	1735103	
Delftia deserti	YIMY792	30	1651218	
Wukongibacter baidiensis	DY30321	30	1723361	
Pyruvatibacter mobilis	GYP-11	30	1712261	
Ornithinimicrobium algicola	JC311	30	1671577	
Bacillus ciccensis	5L6	30	-1	GCA_006704205.1
Kordiimonas lipolytica	M41	30	1662421	
Mycolicibacterium oryzae	JC290	30	1648871	
Paenibacillus wenxiniae	373	30	1636843	
Roseomonas oryzae	JC288 	30	1608942	
Paenibacillus rhizoryzae	1ZS3-5	30	1604721	
Pseudogracilibacillus marinus	NIOT.bflm.S4	30	1593363	
Salinicola acroporae	S4-41	30	1541440	
Kurthia populi	10y-14	30	1562132	
Nocardioides solisilvae	Ka25 	30	1542435	
Flavobacterium endophyticum	522	30	1540163	
Fusibacter fontis	KhalAKB1 	30	1537567	
Micromonospora oryzae	CP2R9-1 	30	1530046	
Micromonospora soli	SL3-70 	30	1530045	
Streptomyces pini	PL19	30	1520580	
Brevibacillus halotolerans	LAM0312	30	1507437	
Halopolyspora algeriensis	H195	30	1500506	
Bacillus formosensis	CC-LY275	30	-1	
Bacillus ectoiniformans	NE-14	30	1494429	
Caballeronia jiangsuensis	MP-1	30	1458357	
Flavobacterium arsenatis	Z	30	1484332	
Lysinibacillus contaminans	FSt3A	30	1293441	
Paenibacillus populi	LAM0705	30	1473572	
Paenibacillus enshidis	RP-207	30	1458439	
Lysinibacillus alkaliphilus	OMN17	30	1450019	
Lactobacillus oryzae	SG293	30	-1	
Paenibacillus shenyangensis	A9	30	1434724	
Kurthia huakuii	LAM0618	30	1334046	
Fontibacillus phaseoli	BAPVE7B	30	1416533	
Bacillus filamentosus	SGD-14	30	-1	
Paenibacillus oceanisediminis	L10	30	1356243	
Rufibacter immobilis	MCC P1	30	1348778	
Mobilisporobacter senegalensis	Gal1	30	1329262	
Aliidiomarina sanyensis	GYP-17	30	1249555	
Aquamicrobium terrae	hun6	30	1324945	
Luteimonas huabeiensis	HB2	30	1442599	
Saccharothrix hoggarensis	SA181	30	913853	
Bacillus massiliosenegalensis	JC6	30	-1	
Crassaminicella profunda	Ra1766H	30	1286698	
Ornithinibacillus halotolerans	GD04	30	1274357	
Ornithinibacillus contaminans	CCUG 53201	30	694055	
Pacificimonas aurantium	 JLT2012	30	1250540	
Halomonas huangheensis	BJGMM-B45 	30	1178482	GCA_001431725.1
Heliimonas saccharivorans	L2-4	30	1239958	
Lysinibacillus fluoroglycofenilyticus	cmg86	30	-1	
Salimicrobium jeotgali	MJ3	30	1230341	GCA_001685435.3
Paenibacillus doosanensis	CAU 1055	30	1229154	
Bacillus qingshengii	G19	30	-1	
Tumebacillus algifaecis	THMBR28	30	1214604	GCA_002243515.1
Rhizobium ipomoeae	shin9-1	30	-1	
Rhizobium paknamense	L6-8	30	1206817	
Lysinibacillus chungkukjangi	2RL3-2	30	-1	
Bacillus mesonae	FJAT-13985	30	-1	GCA_003999735.1
Wohlfahrtiimonas larvae	KBL006	30	1157986	
Olivibacter ginsenosidimutans	BS18	30	1176537	
Halomonas lionensis	RHS90	30	1144478	
Paenibacillus triticisoli	BJ-18	30	1155956	
Bacillus bingmayongensis	FJAT-13831	30	1150157	
Algoriphagus chungangensis	CAU 1002	30	1134595	
Paraburkholderia paradisi	WA	30	1081790	
Bacillus ligniniphilus	L1	30	-1	
Cohnella plantaginis	YN-83	30	1133857	
Cohnella capsici	YN-59	30	1133855	
Saccharomonospora amisosensis	DS3030	30	1128677	
Micromonospora yasonensis	DS3186	30	1128667	
Paenibacillus beijingensis	BJ-18	30	1126833	GCA_000961095.1
Effusibacillus consociatus	CCUG 53762	30	1117041	
Terriglobus tenax	DRP 35	30	1111115	
Hungatella effluvii	UB-B.2	30	1096246	
Williamsia spongiae	B138	30	1087277	
Domibacillus robiginosus	WS 4628	30	1071054	
Bacillus songklensis	CAU 1033	30	1069116	
Deinococcus enclensis	NIO-1023	30	1049582	
Aliidiomarina minuta	MLST1	30	880057	
Saccharothrix saharensis	SA152	30	571190	
Microbacterium enclense	NIO-1002	30	993073	
Desulfosporosinus acidiphilus	SJ4	30	646529	GCA_000255115.3
Actinomadura geliboluensis	A8036	30	882440	
Pseudodesulfovibrio piezophilus	C1TLV30	30	1322246	
Marinobacter daqiaonensis	YCSA40	30	650891	
Paenibacillus chartarius	CCUG 55240	30	747481	
Bacillus daliensis	DLS13	30	-1	
Fictibacillus nanhaiensis	JSM 082006	30	742169	
Paenibacillus puldeungensis	CAU 9324	30	696536	
Paenibacillus chungangensis	CAU 9038	30	696535	
Bacillus deserti	ZLD-8	30	-1	
Pseudoxanthomonas jiangsuensis	wax	30	619688	
Pseudomonas sesami	SI-P133	30	582700	
Nocardioides caricicola	YC6903	30	634770	
Parapedobacter composti	4M40	30	623281	
Parapedobacter luteus	4M29	30	623280	
Bacillus chungangensis	CAU 348	30	587633	
Halobacillus salsuginis	JSM 078133	30	578693	
Virgibacillus litoralis	JSM 089168	30	578221	
Virgibacillus zhanjiangensis	JSM 079157	30	578220	
Actinopolyspora egyptensis	HT371	30	420776	
Lysinibacillus sinduriensis	BLB-1 	30	-1	
Salinicoccus carnicancri	Crm	30	1235755	
Brachybacterium saurashtrense	JG 06	30	556288	GCA_003355475.1
Microbacterium ginsengiterrae	DCY37	30	546115	
Deinococcus aerophilus	5516T-11 	30	522488	
Brevibacillus fluminis	CJ71	30	511487	
Vogesella perlucida	DS-28	30	450366	
Lutimaribacter saemankumensis	SMK-117	30	490829	
Phenylobacterium composti	4T-6	30	457173	
Kribbella swartbergensis	HMC25	30	324852	
Luteimonas composti	CC-YY255	30	398257	
Paenibacillus taiwanensis	G-soil-2-3	30	401638	
Lysobacter panaciterrae	Gsoil 068	30	-1	
Clostridium nitrophenolicum	1D	30	382954	
Nocardiopsis terrae	YIM 90022	30	372655	
Amycolatopsis niigatensis	LC11	30	369932	
Amycolatopsis echigonensis	LC2	30	369930	
Salinicoccus luteus	YIM 70202	30	367840	
Bacillus panaciterrae	Gsoil 1517	30	-1	
Bacillus ginsengihumi	Gsoil 114	30	-1	
Virgibacillus olivae	E 308	30	340172	
Pseudoxanthomonas suwonensis	4M1	30	314722	GCA_000185965.1
Porphyrobacter donghaensis	SW-132	30	-1	
Alkanibacter difficilis	MN154.3	30	159478	
Lentibacillus halodurans	81	30	237679	
Alkalibacillus filiformis	4AG	30	200990	
Halomonas alimentaria	YKJ-16	30	147248	
Chromohalobacter israelensis	ATCC 43985	30	141390	
Bacillus luciferensis	Logan SSI061	30	-1	
Chromohalobacter canadensis	ATCC 43984	30	141389	
Acidipropionibacterium microaerophilum	M5	30	118367	
Streptomyces capillispiralis	A49492	30	68182	
Clostridium aceticum	ATCC 35044	30	84022	GCA_001042715.1
Clostridium moniliforme	ATCC 25546	30	39489	
Brevibacillus reuszeri	H.W. Reuszer Army strain 39	30	54915	
Brevibacillus formosus	F12	30	54913	GCA_002215075.1
Acetobacterium wieringae	C	30	52694	
Clostridium grantii	A-1	30	40575	
Lysinibacillus macroides	LMG 18474	30	33935	
Serratia oryzae	J11-6	30	2034155	
Lelliottia jeotgali	PFL01 	30	1907578	GCA_002271215.1
Bacillus megaterium	ATCC 14581	30	-1	GCA_000832985.1
Lactobacillus insicii	TMW 1.2011	30	-1	
Lactobacillus terrae	KCTC 21093	30	2269374	GCA_002762335.1
Lactobacillus mixtipabuli	IWT30	30	-1	
Lactobacillus silagei	IWT126	30	-1	
Lactobacillus pontis	LTH 2587	30	-1	GCA_009428965.1
Enterococcus ureasiticus	CCRI-16986	30	903984	
Cohnella lubricantis	KSS-154-50	28	2163172	
Gordonia didemni	B204	28	1934933	
Sphaerimonospora triticiradicis	NEAU-HRGS1-10	28	2666283	
Microbispora fusca	NEAU-HEGS1-5	28	2576905	
Streptomyces durbertensis	NEAU-S1GS20	28	2448886	
Microbispora triticiradicis	NEAU-HRDPA2-9	28	2200763	
Lentzea terrae	NEAU-LZS 42	28	2200761	
Thiomicrorhabdus indica	13-15A	28	2267253	GCA_004293625.1
Actinocorallia populi	A251	28	2079200	
Nocardia tengchongensis	CFH S0057	28	2055889	
Microbacterium album	SYSU D8007	28	2053191	
Microbacterium deserti	SYSU D8014	28	2053190	
Ponticoccus alexandrii	AT2-A	28	1943633	
Echinicola sediminis	001-Na2	28	1928082	
Photobacterium proteolyticum	13-13	28	1903952	
Isoptericola cucumis	AP-38	28	1776856	
Actinorectispora metalli	KC 198	28	1873423	
Yimella radicis	py1292	28	1847819	
Streptomyces mangrovicola	GY1	28	1578834	
Psychromarinibacter halotolerans	YBW-35	28	1775175	
Paraphaeobacter pallidus	DCSW07	28	-1	
Croceitalea marina	H01-35	28	1775166	
Corynebacterium faecale	YIM 101505	28	1758466	
Corynebacterium crudilactis	JZ16	28	1652495	GCA_001643015.1
Celeribacter persicus	SBU1	28	1651082	
Pontibacter mucosus	PB3	28	1649266	
Aliiroseovarius zhejiangensis	JB3	28	1632025	
Tessaracoccus flavus	RP1	28	1610493	GCA_001997295.1
Pontibacter ummariensis	NKM1	28	1610492	
Corynebacterium pollutisoli	VDS11	28	1610489	
Streptomyces jiujiangensis	JXJ 0074	28	1434256	
Rhodococcus soli	DSD51W	28	-1	
Bradyrhizobium ferriligni	CCBAU 51502 	28	1534803	
Streptosporangium subfuscum	NEAU-TWSJ13	28	1461353	
Rhodococcus kronopolitis	NEAU-ML12	28	1460226	
Cohnella rhizosphaerae	CSE-5610	28	1457232	
Prauserella shujinwangii	XJ46	28	1453103	
Pontibacter chinhatensis	LP51	28	1436961	
Plantactinospora veratri	NEAU-FHS4	28	1436122	
Saccharopolyspora griseoalba	AFM 10238	28	1431848	
Cellulomonas carbonis	T26	28	947969	
Streptomyces graminisoli	JR-19	28	1367504	
Haloactinomyces albus	AFM 10258	28	1352928	
Geomicrobium sediminis	YIM M13075	28	1347788	
Arenimonas taoyuanensis	YN2-31A	28	1329367	
Streptomonospora sediminis	YIM M11335	28	1323732	
Pseudaestuariivita atlantica	22II-S11-z3	28	1317121	
Pseudomonas songnenensis	NEAU-ST5-5	28	1176259	
Rhizobium oryzicola	ZYY136	28	1232668	
Catenovulum agarivorans	YM01	28	659495	
Aliifodinibius sediminis	YIM J21	28	1214077	
Saccharomonospora oceani	YIM M11168	28	1155536	
Streptomyces phytohabitans	KLBMP 4601	28	1150371	
Streptomyces yaanensis	Z4	28	1142239	
Pseudonocardia kujensis	A4038 	28	1128675	
Chitinophaga cymbidii	R156-2	28	1096750	
Pontibacter lucknowensis	DM9	28	1077936	
Amycolatopsis dongchuanensis	YIM 75904	28	1070866	
Saccharothrix stipae	D34	28	1049182	
Streptomyces xinghaiensis	S187	28	1038929	
Streptomyces shenzhenensis	172115	28	943815	
Fulvimarina manganoxydans	8047	28	937218	
Pseudonocardia cypriaca	KT2142	28	882449	
Lysinibacillus pakistanensis	NCCP-54	28	759811	
Lysinibacillus composti	NCCP-36	28	720633	
Micromonospora luteiviridis	SGB14	28	709896	
Micromonospora phytophila	SG15	28	709888	
Micromonospora halotolerans	CR18	28	709879	
Allostreptomyces indica	YIM 75704	28	665083	
Sphingomonas rubra	BH3	28	634430	
Novosphingobium aquiterrae	 E-II-3	28	624388	
Amycolatopsis xylanica	CPCC 202699	28	589385	
Celeribacter halophilus	ZXM137	28	576117	
Micrococcus yunnanensis	YIM 65004	28	566027	
Jiangella alba	YIM 61503	28	561176	
Rhizobium sphaerophysae	CCNWGS0238	28	560535	
Dietzia lutea	YIM 80766	28	546160	GCA_003096075.1
Georgenia thermotolerans	TT02-04 	28	527326	
Dietzia schimae	YIM 65001	28	-1	
Amycolatopsis marina	Ms392A	28	490629	
Streptomyces artemisiae	CCTCC AA 208059	28	481002	
Cohnella phaseoli	GSPC1 	28	456490	
Halolactibacillus alkaliphilus	H-5	28	442899	
Verrucosispora lutea	YIM 013	28	-1	
Saccharopolyspora jiangxiensis	W12	28	-1	
Marinobacter koreensis	DD-M3	28	335974	
Sinobaca qinghaiensis	YIM 70212	28	342944	
Alcanivorax dieselolei	B-5 	28	-1	GCA_000300005.1
Bacillus endophyticus	2DT	28	-1	
Pseudomonas abyssi	MT5	28	170540	
Nocardiopsis valliformis	CGMCC 4.2135	28	239974	
Paenibacillus thiaminolyticus	DSM 7262	28	49283	
Serratia aquatilis	2015-2462-01	28	1737515	
Nocardioides luteus	KCTC 9575	28	1844	
Actinokineospora fastidiosa	NRRL B-16697	28	1816	
Parahaliea aestuarii	S2-26	25	1852021	
Oryzomicrobium terrae	TPP412	25	1735038	GCA_008274805.1
Sphingomonas zeicaulis	541	25	1632740	
Thalassotalea fusca	G-MB1	25	1390224	
Wenxinia saemankumensis	S-22	25	1447782	
Flavobacterium fontis	MIC3010	25	1124188	
Mucilaginibacter litoreus	BR-18	25	1048221	
Arenimonas aquatica	NA-09	25	706174	
Nocardia amikacinitolerans	W9988	25	756689	
Bacillus butanolivorans	K9	25	-1	GCA_003410415.1
Tetrasphaera remsis	3-M5-R-4	25	-1	
Persicobacter psychrovividus	Asr22-19	25	387638	
Roseovarius pacificus	812	25	337701	
Actinoplanes lobatus	 ATCC 15350	25	113568	
Actinoplanes digitatis	ATCC 15349	25	1868	
Enterobacter oligotrophica 	CCA6	20	-1	GCA_009176645.1
Hazenella coriacea	23436	43,5	1179467	
Coprococcus comes	ATCC 27758	41	470146	
Coprococcus catus	ATCC 27761	41	116085	
Mycobacterium shimoidei	ATCC 27962	41	29313	
Coprococcus eutactus	ATCC 27759	41	411474	
Clostridium acetireducens	30A	41	76489	
Streptomyces gulbargensis	DAS 131	40,5	364901	
Halolamina salifodinae	WSY15-H1 	39,5	1202767	
Methanoculleus horonobensis	T10	39,5	528314	
Heliobacterium chlorum	ATCC 35205	38,5	2698	
Desulfatitalea tepidiphila	S28bF	38	1185843	
Citromicrobium bathyomarinum	JF-1	31	72174	
Halococcus salsus	ZJ1	39	2162894	
Halolamina sediminis	halo-7	38,5	1480675	
Methanobrevibacter boviskoreani	JH1	38,5	1214066	
Natronomonas moolapensis	8.8.11 	38,5	416273	GCA_000591055.1
Halorubrum tibetense	8W8	38,5	175631	
Alkalibacterium putridalgicola	T129-2-1	38,5	426703	
Marinilactibacillus psychrotolerans	M13-2	38,5	191770	
Ferruginivarius sediminum	WD2A32	38,5	2661937	
Leucobacter ruminantium	A2	38,5	1289170	
Veillonella magna	lac18	38,5	464322	
Marinobacter oulmenensis	Set74	38,5	643747	
Idiomarina insulisalsae	CVS-6	38,5	-1	
Lentibacillus salinarum	AHS-1	38,5	446820	
Alloscardovia omnicolens	CCUG 31649	38,5	419015	
Bacillus subterraneus	COOI3B	38,5	-1	
Halolactibacillus miurensis	M23-1	38,5	306541	
Clostridium colicanis	 3WC2	38,5	179628	
Haliangium tepidum	SMP-10	38,5	162028	
Sporobacterium olearium	SR1	38,5	100133	
Halorubrum halophilum	B8	37,5	413816	
Halococcus qingdaonensis	CM5	37,5	224402	
Methanothrix soehngenii	GO6	37,5	2223	GCA_000204415.1
Methanosarcina acetivorans	ATCC35395	37,5	2214	GCA_000007345.1
Domibacillus epiphyticus	SAB 38	37,5	1714355	
Proteiniphilum saccharofermentans	M3/6	37,5	1642647	GCA_900095135.1
Geodermatophilus sabuli	BMG8133	37,5	1564158	
Macellibacteroides fermentans	LIND7H	37,5	879969	
Oceanicaulis stylophorae	GISW-4	37,5	763065	
Succinatimonas hippei	YIT 12066	37,5	762983	
Tessaracoccus profundi	CB31	37,5	566569	
Pontibacillus yanchengensis	Y32	37,5	1385514	
Azoarcus olearius	DQS-4	37,5	418699	GCA_001682385.1
Paenibacillus gansuensis	B518	37,5	306542	
Sporotomaculum syntrophicum	FB	37,5	182264	
Vibrio diabolicus	HE800	37,5	50719	GCA_002953395.1
Halanaerobium kushneri	VS-751	37,5	56779	
Guyparkeria hydrothermalis	ATCC 51453	37,5	923	
Sphaerimonospora mesophila	JCM 3151	37,5	37483	
Bacillus fermenti	Bf-1	36,5	-1	
Aridibacter nitratireducens	A24_SHP_-5_238	36,5	1911421	
Dermabacter jinjuensis	32	35	1667168	GCA_002443115.1
Bacillus oryziterrae	ZYK	35	-1	
Aliidiomarina taiwanensis	AIT1	35	946228	
Oceanobacillus caeni	S-11	35	405946	
Staphylococcus capitis	LK499	35	29388	GCA_001028645.1
Staphylococcus auricularis	WK 811M	35	29379	GCA_900478415.1
Clostridium sporogenes	ATCC 3584	35	1509	GCA_001020205.1
Staphylococcus warneri	AW25	35	1292	GCA_900636385.1
Staphylococcus hominis	ATCC 27844	35	1290	
Staphylococcus intermedius	H 11/68	35	1285	
Staphylococcus haemolyticus	ATCC 29970	35	1283	GCA_000009865.1
Staphylococcus carnosus	361	35	1281	GCA_000009405.1
Flavobacterium cloacae	wh15	32,5	-1	
Paenibacillus pinisoli	KACC 17472	32,5	1276110	
Staphylococcus simulans	MK148	32,5	1286	GCA_001559115.2
Methanobacterium subterraneum	A8p	30	59277	GCA_002813695.1
Massilia agri	K-3-1	30	1886785	
Sphingobium naphthae	K-3-6	30	1886786	
Chryseobacterium nepalense	C-5-3	30	1854498	
Glucerabacter canisensis	NATH-2371	38	-1	
Agathobacter ruminis	JK623	37	1712665	
Bacillus berkeleyi	KMM 6244	35,5	-1	
Actinoallomurus oryzae	GMKU 370	35,5	502180	
Alkalispirillum mobile	SL-1	36,5	85925	
Marinobacter adhaerens	HP15	36	225937	
Eisenbergiella tayi	B086562	38	1432052	
Polygonibacillus indicireducens	In2-9	36	1652101	
Virgibacillus oceani	MY11	36	1479511	
Gaiella occulta	F2-233	36	1002870	
Gracilibacillus ureilyticus	MF38	36	531814	
Marinobacter salsuginis	SD-14B	36	1260625	
Sporomusa intestinalis	Tc2A	36	316996	
Pseudoramibacter alactolyticus	ATCC 23263	36	887929	
Bacteroides uniformis	ATCC 8492	36	411479	GCA_006742345.1
