genus_and_species	taxonomy_id	strain	superkingdom	phylum	class	order	family	genus	assembly_or_accession	Genome_GC	Genome_size	16S_accssion	16S_GC	Tmin	Topt_ave	Topt_low	Topt_high	Tmax	Tmax_Tmin
Eubacterium ruminantium	42322	ATCC 17233	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				AB008552	52,7	30	37			45	15
Eubacterium ventriosum	39496	ATCC 27560	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				L34421	52,3	25	37			45	20
Fusibacter paucivorans	76009	SEBR 4211	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XII. Incertae Sedis	Fusibacter		43		AF050099	52,8	20	37			45	25
Desulfovibrio senezii	76007	 CVL	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		62		AF050100	56,3	25	37			45	20
Desulfovibrio alaskensis	58180	Al1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	GCA_000012665.1	57,8	3,7	Y11984	56,5	10	37			45	35
Anaerofilum pentosovorans	52787	F	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum		55		X97852	52,6	17	37			45	28
Anaerofilum agile	52786	Fae	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum		55		X98011	52,6	17	37			45	28
Arhodomonas aquaeolei	2369	HA-1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Arhodomonas		67		M26631	57,4	20	37			45	25
Butyrivibrio crossotus	45851	ATCC 29175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio		37		X89981	51,6	30	37			45	15
Tissierella creatinini	43143	BN11	Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella		32		X75909	52,6	20	37			45	25
Eubacterium ramulus	39490	ATCC 29099	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		39		L34623	52,9	30	37			45	15
Andreesenia angusta	39480	MK-1	Bacteria	Firmicutes	Tissierellia	Tissierellales	Gottschalkiaceae	Andreesenia		40		L34612	53,4	18	37			45	27
Absiella dolichum	31971	ATCC 29143	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella		39		L34682	50,7	30	37			45	15
Prevotella disiens	28130	 ATCC 29426	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		41		L16483	51,5	25	37			45	20
Eubacterium limosum	1736	ATCC 8486	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	GCA_000807675.2	47,2	4,4	M59120	52,1	30	37			45	15
Clostridium subterminale	1550	ATCC 25774	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		28		AF241844	51,9	25	37			45	20
Clostridium malenominatum	1539	ATCC 25776	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		28		M59099	49,9	25	37			45	20
Hathewaya limosa	1536	ATCC 25620	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hathewaya		24		M59096	51,7	25	37			45	20
Eubacterium barkeri	1528	ATCC 25849	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		45		M23927	51,8	25	37			45	20
Clostridium beijerinckii	1520	ATCC 25752	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	GCA_000833105.2	30	6,5	X68179	52,5	25	37			45	20
Bacillus mannanilyticus	1418	AM-001	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		37,4		AB043864	54,2	20	37			45	25
Bacillus akibai	1411	1139	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		34,4		AB043858	54,4	20	37			45	25
Bacillus cereus	1396	ATCC 14579	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	GCA_006094295.1	35,3	5,4	D16266	53,4	10	37			45	35
Butyrivibrio fibrisolvens	831	ATCC 19171	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio		42		X89970	52,5	30	37			45	15
Enterococcus eurekensis	1159753	PC4B	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		37,9		NR_114649	53	10	37			45	35
Lactobacillus kimchicus	528209	DCY51	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		39,7		EU678893	52,8	15	37			45	30
Streptococcus halotolerans	1814128	HTS9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	GCA_001598035.1	39,2	2,2	KU865003	52	20	37			45	25
Lactobacillus gigeriorum	1203069	202	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		41,9		FR681899	54	20	37			45	25
Lactobacillus colini	1819254	111144-L1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		35,6		KU161105	51,7	25	37			45	20
Lactobacillus formosensis	1617889	S215 	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		36,2		AB794060	51,1	25	37			45	20
Microbacterium luticocti	451764	SC-087B	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium		72		AM747814	56,7	27	36			45	18
Halovivax limisalsi	1453760	IC38	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax		62,6		KF805151	58,2	25	35			45	20
Methanocalculus natronophilus	1262400	 Z-7105	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocalculaceae	Methanocalculus		50,2		JX966306	56,7	15	35			45	30
Methanocalculus pumilus	152007	MHT-1	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocalculaceae	Methanocalculus		51,9		AB008853	55,6	25	35			45	20
Ferroplasma acidiphilum	74969	Y	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	GCA_002078355.1	36,5	1,8	AJ224936	51	20	35			45	25
Halobacillus marinus	2699466	KGW1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus		47		KJ563233	55,6	15	35			45	30
Arenimonas soli	2269504	Y3L17	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas		65,4		KX756571	56,6	15	35			45	30
Blastococcus atacamensis	2070508	P6	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus		73,1		KX926540	58,9	10	35			45	35
Larsenimonas suaedae	1851019	ST307	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Larsenimonas		60,5		FJ463811	56,6	5	35			45	40
Hyphobacterium vulgare	1736751	WM6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphobacterium		59,8		KR611720	55,5	10	35			45	35
Domibacillus iocasae	1714016	S6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Domibacillus		44,4		KT724336	56,3	10	35			45	35
Pantoea intestinalis	1615494	29Y89B	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Mixta		59,1		KP326384	55,7	15	35			45	30
Bacillus solani	1637975	FJAT-18043	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		48,8		KP268082	54,5	20	35			45	25
Sulfurovum riftiae	1630136	1812E	Bacteria	Proteobacteria	Epsilonproteobacteria			Sulfurovum		47,4		KP896689	50,4	25	35			45	20
Haliea atlantica	1548455	SM1351 	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea		62		KM117233	55,8	4	35			45	41
Klebsiella michiganensis	1134687	W14	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	GCA_000276705.2	55,5	6,6	JQ070300	54,3	10	35			45	35
Lentibacillus amyloliquefaciens	1472767	LAM0015	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	GCA_001307805.2	42,1	3,9	KJ002449	56,7	15	35			45	30
Clostridium huakuii	1335065	LAM1030	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		31,2		KC967412	52,7	25	35			45	20
Rothia endophytica	1324766	YIM 67072	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia		53,2		KC806052	56,3	4	35			45	41
Salinivirga cyanobacteriivorans	1307839	L21-Spi-D4	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Salinivirgaceae	Salinivirga	GCA_001443605.1	39	4,8	NR_146659	51	20	35			45	25
Salinispira pacifica	1307761	L21-RPul-D2	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	GCA_000507245.1	51,9	3,8	KC665949	53,8	20	35			45	25
Clostridium bornimense	1216932	M2/40	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	GCA_000577895.1	29,5	3,6	JQ388596	52,8	20	35			45	25
Euryhalocaulis caribicus	1161401	JL2009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Euryhalocaulis		70,5		JN798464	55,8	15	35			45	30
Flavobacterium marinum	1159016	SW105	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		36,2		JN867054	49,8	15	35			45	30
Lysinibacillus varians	1145276	GY32	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	GCA_000600105.1	37,2	4,7	JN860068	52,8	15	35			45	30
Rhizobium helianthi	1132695	Xi19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium		60,2		JQ032629	55,9	10	35			45	35
Marinobacter persicus	930118	M9B	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter		58,6		HQ433441	55,1	25	35			45	20
Aliicoccus persicus	930138	A76	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Aliicoccus		38,8		HQ433462	52,9	20	35			45	25
Oceanobacillus limi	930131	H9B	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus		37,1		HQ433455	54,2	25	35			45	20
Oceanobacillus halophilus	930130	J8B	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus		39,2		HQ433454	54	20	35			45	25
Alteribacillus iranensis	930128	X5B	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Alteribacillus		42,4		HQ433452	56,4	25	35			45	20
Oceanobacillus longus	930120	T9B	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus		42,9		HQ433443	54,2	25	35			45	20
Saliterribacillus persicus	930114	X4B	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Saliterribacillus		35,2		HQ433437	55,4	20	35			45	25
Ferrovibrio denitrificans	664789	Sp-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Ferrovibrio		64,2		GQ365620	56	5	35			45	40
Prevotella fusca	589436	W1435 	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	GCA_001262015.1	44,1	3,3	FJ545433	55,8	25	35			45	20
Roseovarius halotolerans	505353	 HJ50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius		59		EU431217	54,5	10	35			45	35
Sporolactobacillus putidus	492735	QC81-06	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus		47,5		AB374522	56,2	30	35			45	15
Nocardia wallacei	480035	ATCC 49873	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia		65		EU099357	58,6	25	35			45	20
Microbulbifer pacificus	407164	SPO729	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer		57,9		DQ993341	54,8	15	35			45	30
Salinicoccus iranensis	393538	QW6	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus		54,4		DQ767692	56,1	5	35			45	40
Tindallia texcoconensis	361365	IMP-300	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Tindallia		40		DQ234901	53,5	25	35			45	20
Aquitalea magnusonii	332411	TRO-001DR8	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquitalea	GCA_002217795.2	59,3	4,9	DQ018117	54,5	4	35			45	41
Clostridium aciditolerans	339861	JW/YJL-B3	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		30,8		DQ114945	52	20	35			45	25
Photobacterium ganghwense	320778	FR1311	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium		44		AY960847	55,2	10	35			45	35
Halomonas taeanensis	284577	BH539	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas		65		AY671975	55,4	10	35			45	35
Bacillus toyonensis	155322	BCT7112	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	GCA_000496285.1		5	AJ310100	53,5	10	35			45	35
Halomonas anticariensis	258591	FP35	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas		60		AY489405	56,5	20	35			45	25
Anaerovirgula multivorans	312168	SCA	Bacteria	Firmicutes	Clostridia	Clostridiales		Anaerovirgula		34,2		AB201750	53,6	10	35			45	35
Salinicola halophilus	184065	CG4.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola		63,6		AJ427626	56,6	15	35			45	30
Desulfovibrio hydrothermalis	191026	AM13	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		47		AF458778	54,3	20	35			45	25
Seinonella peptonophila	112248	ATCC 27302	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Seinonella		40		AF138735	56	25	35			45	20
Halanaerobium fermentans	88362	R-9	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium		33,3		AB023308	52,2	15	35			45	30
Zobellia galactanivorans	63186	Dsij	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zobellia	GCA_000973105.1	42,8	5,5	AF208293	53,3	13	35			45	32
Enterococcus crotali	1453587	ETRF1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus				KF803651	53,7	10	35			45	35
Ornithinibacter aureus	622664	HB09001	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinibacter		69,6		FJ796074	56,7	4	34			45	41
Sporomusa sphaeroides	47679	E	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa		46,7		AJ279801	53,7	15	34			45	30
Prauserella rugosa	43354	 ATCC 43014	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Prauserella		68		AF051342	58,6	10	34			45	35
Halanaerobium acetethylicum	42421	EIGI	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium		32		X89071	52,4	15	34			45	30
Alkalibacterium psychrotolerans	254784	 IDR2-2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium		40,6		AB125938	53,1	5	34			45	40
Pelagibacterium lentulum	2029865	MCCC 1K03218	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pelagibacterium		58,6		KX989461	54,3	4	33			45	41
Geofilum rhodophaeum	1965019	HF401	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Geofilum		50,8		KY659246	52,1	4	33			45	41
Pelobacter propionicus	29543	 Ott Bd 1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	GCA_000015045.1	58,5	4,2	X70954	55	4	33			45	41
Bacillus endozanthoxylicus	2036016	1404	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		39,4		KX865139	54,1	15	32			45	30
Muricauda marina	1775168	H19-56	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda		43,6		KU315479	55,8	16	32			45	29
Bacillus canaveralius	1403243	KSC SF8b	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		40,6		DQ870688	55,3	15	32			45	30
Idiomarina fontislapidosi	263723	F23	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina		46		AY526861	54	4	32			45	41
Magnetospirillum aberrantis	1105283	SpK	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum		62,6		GU724731	55,6	20	31			45	25
Halohasta litchfieldiae	1073996	tADL	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halohasta	GCA_002788215.1	58,9	3,3	JF421969	56,3	25	30			45	20
Halorubrum salinum	767517	GX71	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum		67,1		HM063951	57,6	25	30			45	20
Halostagnicola kamekurae	619731	194-10	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halostagnicola		59,8		AB489220	57,8	20	30			45	25
Halogeometricum pallidum	411361	BZ256	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum		65,4		EF055454	57,7	25	30			45	20
Methanocorpusculum sinense	83985	China Z	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum		51,8		AF095268	52,4	15	30			45	30
Sphingosinithalassobacter portus	2676234	FM6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinithalassobacter		63,8		MG798699	53,6	20	30			45	25
Bacillus salidurans	2595041	KNUC7312	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		39,8		KX904715	54,5	10	30			45	35
Martelella lutilitoris	2583532	GH2-6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Martelella		61,9		MG650290	54,8	20	30			45	25
Streptomyces aquilus	2548456	GGCR-6	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	GCA_003955715.1	70,8	10,4	MH718844	58,7	10	30			45	35
Bacillus taxi	2499688	M5HDSG1-1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		37,5		MK355518	54,1	10	30			45	35
Paenibacillus ottowii	2315729	MS2379	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		45,9		MH842737	55,1	10	30			45	35
Novosphingobium humi	2282397	R1-4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		64,4		KY658458	53,9	15	30			45	30
Paenibacillus elymi	2259011	 KUDC6143	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		50,3		KX858537	55,7	25	30			45	20
Clostridium bovifaecis	2184719	BXX	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		33,7		MH346511	53,7	20	30			45	25
Mesorhizobium ephedrae	2116701	6GN-30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium		66,4		MH105075	57,2	15	30			45	30
Massilia armeniaca	2072590	ZMN-3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	GCA_003028855.1	66,3	6,3	KY432691	54,1	10	30			45	35
Amycolatopsis rhizosphaerae	2053003	DH51B-4-3	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis		68,2		LC333387	58,6	15	30			45	30
Roseomonas aerofrigidensis	2038730	HC1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas		70,1		KY126356	58,4	10	30			45	35
Bacillus tropicus	2026188	N24	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	GCA_006457285.1	35,6	6,2	KJ812435	53,4	15	30			45	30
Bacillus pacificus	2026187	EB422	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		35,2		KJ812450	53,5	15	30			45	30
Bacillus paranthracis	2026186	Mn5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	GCA_005848985.1	35,5	5,3	KJ812420	53,5	15	30			45	30
Paenibacillus konkukensis	2020716	SK-3146	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		53,8		KX462877	56	18	30			45	27
Ochrobactrum endophyticum	1963359	EGI 60010	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum		60,4		KP721485	56,1	10	30			45	35
Swionibacillus sediminis	1960324	BW11-2	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Swionibacillus		43,3		KY635836	54,3	15	30			45	30
Aliidiomarina soli	1928574	Y4G10-17	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina		49,3		KX355166	53,7	4	30			45	41
Bacillus terrae	1914933	RA9	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		43,1		KY072724	56	15	30			45	30
Lysinibacillus alkalisoli	1911548	Y2A20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus		39		KX258757	53,7	10	30			45	35
Chryseobacterium reticulitermitis	1907530	Ra1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium		39,9		KX752421	50,4	15	30			45	30
Salibacterium lacus	1898109	GSS13	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salibacterium		52,1		KX818201	57,5	10	30			45	35
Marinovum faecis	1894968	 YP194	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marinovum		63,1		LC177380	54,2	4	30			45	41
Actinomyces glycerinitolerans	1892869	G10	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces		68,5		KC866613	59,7	25	30			45	20
Paenibacillus tritici	1873425	RTAE36	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		53,4		KX530777	55,1	15	30			45	30
Massilia neuiana	1850242	PTW21	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		64,6		KX066866	53,9	10	30			45	35
Demequina litorisediminis	1849022	GHD-1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Demequina		68,7		KX129916	56,6	10	30			45	35
Planococcus salinus	1848460	LCB217	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus		49,4		KX008965	57,3	10	30			45	35
Streptomyces capparidis	1840415	EGI 6500195	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		74,1		KX119420	59,7	10	30			45	35
Paracoccus aestuariivivens	1820333	GHD-30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		62		KU696538	55,4	15	30			45	30
Actinomadura alkaliterrae	1735446	D310AT	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura				KT876993	59,1	25	30			45	20
Phytoactinopolyspora alkaliphila	1783498	EGI 80629	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae	Phytoactinopolyspora		67,3		KU042078	59,6	15	30			45	30
Salinicola tamaricis	1771309	F01	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola	GCA_003006155.1	65,7	4,3	KT343976	56,8	15	30			45	30
Leucobacter populi	1774087	06C10-3-11	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter		69,8		KT359554	56,5	10	30			45	35
Microbulbifer aggregans	1769779	CCB-MM1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	GCA_001750105.1	58,9	3,9	KU736842	54,9	15	30			45	30
Dyadobacter endophyticus	1749036	65	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter		46,6		KT003984	53,1	20	30			45	25
Bacillus oryzisoli	1737571	1DS3-10	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		33,5		KT886063	54,3	10	30			45	35
Paenibacillus radicis	1737354	694	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		46,9		KR610523	55	10	30			45	35
Nitratireductor aestuarii	1735103	2-2-12-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor		56,7		KU057958	56,2	25	30			45	20
Delftia deserti	1651218	YIMY792	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		70,3		KP300804	53,5	20	30			45	25
Wukongibacter baidiensis	1723361	DY30321	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Wukongibacter		33,4		KT783480	53,7	10	30			45	35
Pyruvatibacter mobilis	1712261	GYP-11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Pyruvatibacter		63		KR078282	55,5	15	30			45	30
Ornithinimicrobium algicola	1671577	JC311	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium		70,4		LN866650	58,2	25	30			45	20
Bacillus ciccensis	1670641	5L6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	GCA_006704205.1	37,4	5,2	KP965576	54,5	4	30			45	41
Kordiimonas lipolytica	1662421	M41	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas		56,3		KR919608	54,4	15	30			45	30
Mycolicibacterium oryzae	1648871	JC290	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium		69,8		LN846834	58,4	25	30			45	20
Paenibacillus wenxiniae	1636843	373	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		46		KP212687	54,6	15	30			45	30
Roseomonas oryzae	1608942	JC288 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas		67,5		LN810637	58,9	4	30			45	41
Paenibacillus rhizoryzae	1604721	1ZS3-5	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		47,5		KP675984	54,7	15	30			45	30
Pseudogracilibacillus marinus	1593363	NIOT.bflm.S4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus		39,1		KJ575074	53,3	4	30			45	41
