Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Salmonella enterica subsp. enterica serotype Bonariensis	6481 C 12 6, 8:i:e, n, x	NCTC 6481	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Madelia	6482 Minnesota 611 (CN 1134) 1, 6, 14, 25:y:1, 7	NCTC 6482	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDAI 184	NCTC 6484	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Montana 1	NCTC 6485	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Mississippi	53	NCTC 6487	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Javiana	N 140	NCTC 6495	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	Inhibitor	NCTC 6507	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus epidermidis	108/3	NCTC 6513	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Grumpensis	6533 161 (Cob 220) 13, 23:d:1, 7	NCTC 6533	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Weltevreden	147 (15773)	NCTC 6534	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium tetani	8491 (a)	NCTC 6547	No	neo-peptone agar,37, strict anaerobe	meat broth,37, strict anaerobe
Staphylococcus aureus	Heatley Oxford	NCTC 6571	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Hafnia alvei	Cadaveris	NCTC 6578	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Subamma	NCTC 6585	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Adelaide	Edwards (CN 1430)	NCTC 6586	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Claibornei	Edwards (JT 151)	NCTC 6587	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Concord	Cal 523	NCTC 6588	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Pomona	6589 Cal 404 28:y:1, 7	NCTC 6589	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Inverness	Fla C 2382	NCTC 6591	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Thompson	D 19970	NCTC 6592	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Enteritidis	Harke Ram	NCTC 6676	No	nutrient agar,37, facultative anaerobe	nutrient agar,37, facultative anaerobe
Lactococcus lactis subsp. lactis	O J	NCTC 6681	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Clostridium novyi	RB 977	NCTC 6687	No	neo-peptone agar,37, strict anaerobe	neo-peptone broth,37, strict anaerobe
Burkholderia pseudomallei	Haigh 11787	NCTC 6700	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Infantis	Conn 2076	NCTC 6703	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Newport	6704 Conn 214 6, 8:e, h:1, 2	NCTC 6704	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Lomalinda	174	NCTC 6705	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	A 118	NCTC 6719	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium novyi	Denecke	NCTC 6736	No	Fastidious anaerobe agar, 72 hours, 37°C, anaerobic	meat broth,37, facultative anaerobe
Clostridium novyi	Benson	NCTC 6737	No	neo-peptone agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium novyi	Hennessy	NCTC 6738	No	neo-peptone agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Pseudomonas aeruginosa	Radlett	NCTC 6749	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Pseudomonas aeruginosa	Radlett Feb	NCTC 6750	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, aerobic
Pseudomonas aeruginosa	Radlett	NCTC 6751	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Salmonella enterica subsp. Enterica	6754 Gard (JT 182) 4, 5, 12:y:1, 2	NCTC 6754	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Heves	Gard (CN 1432)	NCTC 6755	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Schwarzengrund	6756 Gard (CN 1428) 1, 4, 12, 27:d:1, 7	NCTC 6756	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Solt	6757 Sven Gard 11:y:1, 5	NCTC 6757	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Sundsvall	Sven Gard	NCTC 6758	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Taksony	6759 Alpha (CN 1423) 1, 3, 19:i:z6	NCTC 6759	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Nocardia asteroides	Conant	NCTC 6761	No	glucose agar,37, aerobic	nutrient broth,37, aerobic
Shigella dysenteriae	Bucharest Smooth	NCTC 6781	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	Cambridge, BW 21	NCTC 6785	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Clostridium bifermentans	A 189 Ad	NCTC 6800	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium bifermentans	A 190a	NCTC 6801	No	3% neopeptone ano2,37, strict anaerobe	meat broth,37, strict anaerobe
Salmonella enterica subsp. enterica serotype Hartford	Faithful (S 44)	NCTC 6802	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	Glaxo 417	NCTC 6816	No	nutrient agar,37, aerobic	nutrient agar,37, aerobic
Neisseria gonorrhoeae	Gono 4	NCTC 6820	No	chocolate blood agar,37, aerobic	nutrient broth,37, aerobic
Actinomyces israelii	Burnett	NCTC 6826	No	blood agar,37, strict anaerobe	blood agar,nutrient broth,37, strict anaerobe
Actinomyces israelii	Goldberg	NCTC 6827	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Actinomyces israelii	Ratcliffe	NCTC 6830	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Actinomyces israelii	West	NCTC 6831	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Salmonella enterica subsp. enterica serotype Georgia	6849 176 6, 7:b:e, n, z15	NCTC 6849	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Papuana	177 (N 158)	NCTC 6850	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Champaign	Illinois 268 (ATCC 9779, CN 4092)	NCTC 6851	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Panama	186	NCTC 6852	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Napoli	6853 417 (187) 9, 12:l, z13:e, n, x	NCTC 6853	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium bifermentans	A 506	NCTC 6927	No	blood agar ano2,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium bifermentans	A 127a	NCTC 6928	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium bifermentans	A 112	NCTC 6929	No	blood agar ano2,37, strict anaerobe	nutrient broth,37, strict anaerobe
Providencia rustigianii	50	NCTC 6932	No	nutrient agar,nutrient broth,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rustigianii	53028	NCTC 6933	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Providencia rustigianii	58511	NCTC 6934	No	nutrient agar,nutrient broth,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Pensacola	6946 Edwards 9, 12:m, t:-	NCTC 6946	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella sp.	Edwards	NCTC 6947	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. salamae serotype Canastel	Edwards	NCTC 6948	No	nutrient agar,37, facultative anaerobe	nutrient brothh,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Horsham	Taylor	NCTC 6949	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhi	Osteomyelitis	NCTC 6964	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	133	NCTC 6966	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient agar,37, facultative anaerobe
Mycobacterium marinum	Neon tetra 1	NCTC 7010	No	glucose agar,30, aerobic	glucose broth,30, aerobic
Micrococcus luteus	Hutner 2	NCTC 7011	No	blood agar,37, aerobic	lemco brot,37, aerobic
Mycobacterium tuberculosis	H 37	NCTC 7016	No	lowenstein-jensen,37, aerobic	lowenstein-jensen,dorsett egg,37, aerobic
Mycobacterium smegmatis	ATCC 607	NCTC 7017	No	nutrient agar,37, facultative anaerobe	glucose broth,37, facultative anaerobe
Streptococcus equi	Collett	NCTC 7022	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus equi subsp. zooepidemicus	S 34	NCTC 7023	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Norwich	JT 129	NCTC 7077	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Aneurinibacillus migulanus	Gramicidin S strain	NCTC 7096	Yes	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Cubana	Edwards 207	NCTC 7101	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Daytona	Edwards 205	NCTC 7102	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Gatuni	Edwards	NCTC 7103	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Senegal	7104 Edwards 206 11:r:1, 5	NCTC 7104	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Luciana	7105 Edwards 204 11:a:e, n, z15	NCTC 7105	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Richmond	7107 Edwards 203 6, 7:y:1, 2	NCTC 7107	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Shoreditch	Edwards	NCTC 7108	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Veneziana	Edwards 200	NCTC 7109	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Miami	Edwards	NCTC 7112	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	CN 56 (Wood 46)	NCTC 7121	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Clostridium histolyticum	CN 949 (JS)	NCTC 7123	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium histolyticum	CN 920	NCTC 7124	No	meat broth,37, strict anaerobe	nutrient broth,37, strict anaerobe
Neisseria gonorrhoeae	S 1	NCTC 7129	No	Chocolate blood agar, 24 hours, 37°C, requires carbon dioxide	Nutrient broth, 37°C, Carbon dioxide required
Streptococcus dysgalactiae subsp. equisimilis	Milne	NCTC 7136	No	Columbia blood agar, 24-48 hours, 37°C, requires carbon dioxide	nutrient broth,37, facultative anaerobe
Janthinobacterium lividum	8	NCTC 7150	No	blood agar,22, facultative anaerobe	nutrient broth,22, facultative anaerobe
Staphylococcus pseudintermedius	9505/46	NCTC 7151	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	alpha Fairbrother	NCTC 7152	No	Nutrient agar, 24-48 hours, 37°C, aerobic	lemco broth,34, facultative anaerobe
Clostridium clostridiiforme	132 Nobel	NCTC 7155	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Streptococcus sp.		NCTC 7161	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7162	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7163	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7164	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nurient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7165	No	lemco agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7167	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7168	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7169	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus hirae		NCTC 7170	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 11	NCTC 7171	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7173	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 14	NCTC 7174	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus hirae		NCTC 7175	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecium	Grumbach serotype 16	NCTC 7176	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7178	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus casseliflavus		NCTC 7179	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7180	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Lactococcus garvieae	Grumbach serotype 23	NCTC 7182	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.		NCTC 7183	No	lemco agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus licheniformis	Glaxo 6	NCTC 7198	No	nutrient agar,37, facultative anaerobe	nutrient agar,37, facultative anaerobe
Streptococcus dysgalactiae	H 46A	NCTC 7201	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium xerosis	Shaw	NCTC 7238	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Klebsiella pneumoniae sensu stricto	Klebsiella 41	NCTC 7242	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient agar,37, facultative anaerobe
Corynebacterium amycolatum	D 98594	NCTC 7243	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pseudomonas aeruginosa	American Cyanamid Co. 140	NCTC 7244	No	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, aerobic
Acinetobacter baumannii	Bellairs	NCTC 7250	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Au 18 S	NCTC 7251	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Egypt 100	NCTC 7253	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	102 Egypt	NCTC 7254	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Egypt 109	NCTC 7258	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Egypt 117	NCTC 7260	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Hikojima	NCTC 7270	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium botulinum	Beans	NCTC 7273	No	blood heart infusion ano2,37, strict anaerobe	nutrient broth,37, strict anaerobe
Haemophilus influenzae	Rosher 2 Biotype I	NCTC 7279	No	chocolate blood agar,	nutrient broth4,
Kocuria rosea	SL 67	NCTC 7281	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Manchester 207	NCTC 7282	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Liverpool 28197	NCTC 7283	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Glasgow 14	NCTC 7284	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Watford 2619	NCTC 7285	No	blood agar,37, facultative anaerobe	n broth +serum,37, facultative anaerobe
Corynebacterium diphtheriae	Cork 5	NCTC 7286	No	blood agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Corynebacterium diphtheriae	Berlin 113	NCTC 7287	No	blood agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Corynebacterium diphtheriae	Hull G 7	NCTC 7288	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Hull 100a	NCTC 7289	No	blood agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Corynebacterium diphtheriae	Mass B36	NCTC 7290	No	blood agar,37,	lemco broth,37,
Staphylococcus warneri	S 34	NCTC 7291	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus saprophyticus subsp. saprophyticus	S 41	NCTC 7292	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Arizona (Rubin, CN 3070)	NCTC 7293	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Mass 74 (CN 3071)	NCTC 7294	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDAI 125 (CN 3072)	NCTC 7295	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 126 (CN 3073)	NCTC 7296	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella sp.	N 178 (4778-57, CN 3069)	NCTC 7297	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 143	NCTC 7299	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDAI 44	NCTC 7300	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 8	NCTC 7301	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 16 (CN 4245)	NCTC 7302	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	S 39	NCTC 7303	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Cal 138	NCTC 7304	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 105	NCTC 7305	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 107	NCTC 7306	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Cal 166	NCTC 7307	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 50	NCTC 7308	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDAI 184	NCTC 7309	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 190	NCTC 7310	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	CDAI 426	NCTC 7311	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 20	NCTC 7312	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 73	NCTC 7313	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 146	NCTC 7314	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 9	NCTC 7315	No		
Salmonella enterica subsp. arizonae	So 102 (CN 4244)	NCTC 7316	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. houtenae serotype Wassenaar	N 99	NCTC 7318	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 64	NCTC 7319	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Va Morton	NCTC 7320	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	36608	NCTC 7321	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 37	NCTC 7322	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Sp B 92	NCTC 7323	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 1	NCTC 7324	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 10	NCTC 7325	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Ore 181	NCTC 7326	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Sp 21	NCTC 7327	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 14	NCTC 7328	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 95	NCTC 7329	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 41	NCTC 7330	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 101 (CN 4239)	NCTC 7331	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	NJ 4	NCTC 7332	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 61	NCTC 7333	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 28 1450-53	NCTC 7334	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Hudson	NCTC 7335	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 123	NCTC 7336	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 139	NCTC 7337	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Mont 1	NCTC 7339	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 5	NCTC 7340	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. arizonae	Pc 145	NCTC 7341	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 148	NCTC 7342	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. arizonae	So 53	NCTC 7343	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	7344 Pc 167 21:1, 2, 6	NCTC 7344	No	nutrient agar,37, aerobic	nutrient agar,37, aerobic
Salmonella enterica subsp. arizonae	So 82	NCTC 7345	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	So 103	NCTC 7346	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. arizonae	So 116	NCTC 7347	No	nutrient agar,37, facultative anaerobe	nutrient agar,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 195	NCTC 7348	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. arizonae	So 57	NCTC 7349	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 166	NCTC 7350	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. arizonae	Pc 155	NCTC 7351	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. arizonae	Pc 196	NCTC 7352	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
